,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,30% Mobilisation Fee,,,CSPO,Variation SOR Validation additional,Variation Construction Rev ,Total Variation,Total Rev,Validation Cost,Estimated Construction Cost,Total Cost,Margin %,Margin $
,,$855.22,,Inv 13747,"$9,407.40",,"$8,552.18",,MW417R000169-2MIR-29-STELLAR NPDL_MWR (A417)-Miranda,"$28,507.28","$22,507.28","$32,020.00","$54,527.28","$83,034.56","$3,000.00","$20,400.00","$23,400.00",72%,"$59,634.56"
,,$543.43,,Inv 13750,"$5,977.75",,"$5,434.32",,MW417R000172-2MON-25-STELLAR NPDL_MWR (A417)-Mona Vale,"$18,114.40","$12,114.40","$8,620.00","$20,734.40","$38,848.80","$9,760.00","$2,400.00","$12,160.00",69%,"$26,688.80"
,,$600.82,,Inv 13745,"$6,608.98",,"$6,008.16",,MW417R000170-2MIR-22-STELLAR NPDL_MWR (A417)-Miranda,"$20,027.20","$14,027.20","$46,060.00","$60,087.20","$80,114.40","$11,080.00","$31,200.00","$42,280.00",47%,"$37,834.40"
,,$784.44,,Inv 13748,"$8,628.89",,"$7,844.45",,MW417R000174-2MIR-26-STELLAR NPDL_MWR (A417)-Miranda,"$26,148.16","$20,148.16","$46,060.00","$66,208.16","$92,356.32","$15,304.00","$31,200.00","$46,504.00",50%,"$45,852.32"
,,$692.47,,Inv 13746,"$7,617.17",,"$6,924.70",,MW417R000166-2MIR-31-STELLAR NPDL_MWR (A417)-Miranda,"$23,082.32","$17,082.32","$13,300.00","$30,382.32","$53,464.64","$12,840.00","$6,000.00","$18,840.00",65%,"$34,624.64"
,,"$1,612.24",,Inv 13749,"$17,734.62",,"$16,122.38",,MW417R000180-2MIR-25-STELLAR NPDL_MWR (A417)-Miranda,"$53,741.26","$47,692.48","$117,820.00","$165,512.48","$219,253.74","$34,356.00","$86,400.00","$120,756.00",45%,"$98,497.74"
,,,,,,,"$4,603.15",,"2CTH-20, Cresent Heads, Validation","$15,343.82","$8,097.52","$58,427.00","$66,524.52","$81,868.34","$9,325.25","$38,300.00","$47,625.25",42%,"$34,243.09"
,,,,,,,"$5,387.40",,"2DRG-20, Dorrigo Validation","$17,958.00","$10,508.00","$47,821.60","$58,329.60","$76,287.60","$10,256.50","$30,020.00","$40,276.50",47%,"$36,011.10"
,,,,,,,"$3,620.14",,"2NDS-01, Nords Wharf, Validation","$12,067.14","$4,617.14","$26,209.90","$30,827.04","$42,894.18","$5,136.50","$14,420.00","$19,556.50",54%,"$23,337.68"
,,,,,,,$808.41,,"2LCT-01, Lake Cathie, Validation","$2,694.70",$744.70,"$17,645.40","$18,390.10","$21,084.80","$1,151.00","$8,420.00","$9,571.00",55%,"$11,513.80"
,,,,,,,"$5,971.57",,"2ERP-20, Eastern Creek Validation","$19,905.24","$14,405.24","$35,140.00","$49,545.24","$69,450.48","$9,452.00","$22,800.00","$32,252.00",54%,"$37,198.48"
,,,,,,,$920.12,,"2BGI-20, Boggabri Validations","$3,067.05","$1,117.05","$9,490.90","$10,607.95","$13,675.00","$1,782.50","$2,420.00","$4,202.50",69%,"$9,472.50"
,,,,,,,"$3,112.69",,"2WWA-20, Wee Waa Validations","$10,375.62","$3,425.62","$11,121.80","$14,547.42","$24,923.04","$2,088.50","$3,620.00","$5,708.50",77%,"$19,214.54"
,,,,,,,"$3,112.69",,"2MAN-20, Manilla Validations","$10,375.62","$3,060.48","$14,383.60","$17,444.08","$27,819.70","$4,926.50","$6,020.00","$10,946.50",61%,"$16,873.20"
,,,,,,,"$2,706.60",,"2WLH-20, Walcha Validations","$9,022.00","$2,072.00","$14,383.60","$16,455.60","$25,477.60","$2,547.50","$3,620.00","$6,167.50",76%,"$19,310.10"
,,,,,,,$0.00,,"2MIR-21, Miranda Valiadation, Only Build",,,,$0.00,$0.00,,,$0.00,,$0.00
,,,,,,,"$5,070.89",,2SPW-20 - Springwood Valiadation,"$16,902.96","$10,902.96","$39,820.00","$50,722.96","$67,625.92","$8,924.00","$26,400.00","$35,324.00",48%,"$32,301.92"
,,,,,,,"$4,439.66",,2SPW-21 - Springwood Valiadation,"$14,798.88","$8,798.88","$71,020.00","$79,818.88","$94,617.76","$7,472.00","$50,400.00","$57,872.00",39%,"$36,745.76"
,,,,,,,"$10,025.04",,2MIR-24 - Miranda Valiadation,"$33,416.80","$27,416.80","$161,500.00","$188,916.80","$222,333.60","$20,672.00","$120,000.00","$140,672.00",37%,"$81,661.60"
,,,,,,,$586.92,,2POR-20 - Portland Valiadation,"$1,956.40",$956.40,"$11,740.00","$12,696.40","$14,652.80","$1,467.50","$4,800.00","$6,267.50",57%,"$8,385.30"
,,,,,,,"$6,868.92",,2MON-28 - Mona Vale Valiadation,"$22,896.40","$16,896.40","$91,300.00","$108,196.40","$131,092.80","$13,060.00","$66,000.00","$79,060.00",40%,"$52,032.80"
,,,,,,,"$8,093.11",,2SPW-28 Springwood Validation,"$26,977.04","$20,977.04",,"$20,977.04","$47,954.08","$15,876.00",,"$15,876.00",67%,"$32,078.08"
,,,,,,,"$3,291.41",,2NYG-20 Nyngun Validation,"$10,971.38","$4,021.38","$16,014.50","$20,035.88","$31,007.26",,"$7,220.00","$7,220.00",77%,"$23,787.26"
,,,,,,,"$3,540.65",,2ORC-21 Orchard Hills Validation,"$11,802.16","$5,802.16","$35,140.00","$40,942.16","$52,744.32",,"$22,800.00","$22,800.00",57%,"$29,944.32"
,,,,,,,"$2,086.92",,2ERP-21 Estern Creek Validation,"$6,956.40",$956.40,,$956.40,"$7,912.80",,,$0.00,100%,"$7,912.80"
,,,,,,,,,,,,,,,,,,,
,,,,,,," $	125,132.47 ",,,"$417,108.23","$278,348.01","$925,038.30","$1,203,386.31","$1,620,494.54","$200,477.75","$604,860.00","$805,337.75",58%," $	815,156.79 "
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"$1,202,549.79",30% onto the construction costs a more realistist number,,,,,,
