,,,,,,,,,,
,,,,,,,,,,
,Row Labels,Sum of Total Revenue,,,,,Row Labels,Sum of Debit,,
,Jan-00,$640.70,,,,,NBN Greenfields - AYCA-1QR3ND Hillview Rise,"$6,108.91",,
,"INC000007115529 – UNIT 1 95 LURLINE ST, KATOOMBA",$512.56,,,,,DJC,"$5,973.70",,
,"INC000007194856 – 31 SUNBEAM AV, BLACKHEATH ",$128.14,,,,,DJC Internals,$135.21,,
,May-17,"$122,363.31",,,,,Revenue,,,
,MW20264 - 2NLB-02 - AYCA-32ARIB - Dowling St ,"$6,033.93",,,,,NBN Greenfields - AYCA-2B2DZQ - Greenview Parade ,$336.12,,
,2BLK-07  Huntingwood - Additional Variations,$766.97,,,,,DJC Internals,$336.12,,
,MW20386 - 2CBT-03 - AYCA-39MU9X - Macarthur Mazda,"$20,426.45",,,,,NBN Greenfields - AYCA-2CZWG0 - ARV Kingswood,"$6,284.56",,
,MW20475 - 2ROU-03 - AYCA-3HUY3N- 4 Wickham Blvd,"$10,233.06",,,,,DJC,"$5,626.58",,
,"MW20489 - AYCA-3ZU1PE - 89 Old Hume Highway, Camden","$3,116.85",,,,,DJC Internals,$657.99,,
,MW20552 - 2WYO-02 - AYCA-394Y1I - 13 Colonial St ,"$6,909.29",,,,,Revenue,,,
,MW20543 - AYCA-3SR1C6 - 1140 Pemberton St Albury,"$5,010.57",,,,,NBN Greenfields - AYCA‐2Q7AAG Land and Housing Penrith,"$3,122.87",,
,MW20554 - 2DAP-02 - AYCA-2DO5HN - MNJG 145,"$4,400.38",,,,,DJC,"$1,264.37",,
,MW20409 - AYCA-2ONMWX -  Brookwood Estate - 2,"$2,943.37",,,,,DJC Internals,"$1,858.50",,
,"MW20673 - 2BLK-11 - AYCA-3RN6QW - 19-21 Irelands Road, Blacktown","$1,134.27",,,,,Revenue,,,
,MW20660 - AYCA-45D358 NSB Albuera Close SITE SURVEY,"$2,760.00",,,,,NBN Greenfields - AYCA-32OIQA - Gracewood Kellyville ,"$4,288.33",,
,MW20749 - 2KEL-07 - AYCA-3R9JM5 - 31 Memorial Av,$465.57,,,,,DJC,"$3,430.42",,
