,,,"$116,745.60","$735,167.78",,,,,Days average for PC Accpetance,,"$169,644.79",$0.00,,,,,,,,,,,,,,,,
Date,PM,Site Name,Pending on Outcome,Quoted Sum Won,Comments,PC Request Submit Date,PC Due Date,PC Cert issued,Date PC Approved,Day difference between PC Request and PC Granted,Quoted Sum Loss,Tech Choices Projects Yet award,Won Less than $2K,Won Greater than 2K to 5K,Won Greater than 5K,,,,Row Labels,Count of Quoted Sum Won,Count of Won Less than $2K,Count of Won Greater than 2K to 5K,Count of Won Greater than 5K,Total Jobs Per PM,Win % per PM,,,
3/21/17,Andrew Patarlis,AYCA-2IMIS4 - Merewether St  Llewellyn St Merewether,"$4,127.45",,,,,,,,,,,,,,,,Andrew Mahassy,10,,,,0,0%,,,
3/22/17,Andrew Patarlis,AYCA‐403X85 ‐ 55‐57 Bexley Road Campsie – 1,"$6,742.66",,,,,,,,,,,,,,,,Dave Yoemans,9,,,,0,0%,,,
4/3/17,Nabeel Jaimon,AYCA-41AC7Q - Horsley Drive Business Park,"$5,142.39",,,,,,,,,,,,,,,,Ertan Cicek,12,,,,0,0%,,,
4/3/17,Nabeel Jaimon,AYCA-4118T1 - HORSLEY DRIVE BUSINESS PARK ,"$3,109.73",,,,,,,,,,,,,,,,Lindy Chan,3,,1,,1,33%,,,
4/26/17,Ertan Cicek,AYCA-2VZLWA - National Ave & Glades Parkway - 1.,"$2,563.91",,,,,,,,,,,,,,,,Mark Leal,18,,,,0,0%,,,
5/8/17,Ertan Cicek,AYCA-47WSFU - 4 Hansons Rd North Nowra,"$2,010.00",,,,,,,,,,,,,,,,Michael Tram,2,,,1,1,50%,,,
5/19/17,Lindy Chan,AYCA‐46PUI1 ‐2HBD‐21 ‐ 724 Pittwater Rd Brookvale – 1,,"$2,139.28",,,,,,,,,,1,,,,,Nabeel Jaimon,6,,,,0,0%,,,
5/22/17,Andrew Mahassy,AYCA-45XOFT - 2LIV-04 - Lodges Road – 1,"$12,795.53",,,,,,,,,,,,,,,,Andrew Patarlis,2,,,,0,0%,,,
5/23/17,Andrew Mahassy,AYCA-42RWMG - Hat Hill Road – 1,"$14,978.69",,,,,,,,,,,,,,,,Grand Total,62,,1,1,2,3%,,,
5/29/17,Andrew Mahassy,AYCA-3NYZIL - 2 Cathay Pl,,,,,,,,,"$6,899.94",,,,,,,,,,,,,0,,,,
5/29/17,Michael Tram,AYCA-42J4C9 - 54 Tyrone Pl,,"$6,073.69",,,,,,,,,,,1,,,,,,,,,0,,,,
