,,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,,,,,,,,Count of Total Revenue,Column Labels,,,,,,,,,,,
Actual Cost Overhead + Gilbert, $	-   , $	-   , $	-   , $	-   , $	-   , $	-   ,,, $	-   , $	-   , $	-   , $	-   , $	-   ,,,,,,,,Row Labels,A401/Greenfield,A417 Greenfield MDU,Grand Total,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Aug-17,3,6,9,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Jul-17,9,12,21,,,,,,,,,
OH Allocation,,100%,100%,101%,100%,100%,100%,100%,0%,0%,0%,0%,0%,,,,,,,,Jun-17,9,6,15,,,,,,,,,
PIPE,0%,0%,0%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%,,,,,,,,May-17,9,2,11,,,,,,,,,
"NBN Greenfields, Minor Works",20%,30%,30%,30%,35%,35%,40%,43%,0%,0%,0%,0%,0%,,,,,,,,Sep-17,2,5,7,,,,,,,,,
NBN A417 Greenfield & MDU,24%,35%,35%,35%,44%,44%,49%,43%,0%,0%,0%,0%,0%,,,,,,,,Oct-17,1,2,3,,,,,,,,,
Minor Works Various,6%,10%,10%,10%,10%,10%,10%,15%,0%,0%,0%,0%,0%,,,,,,,,Nov-17,,1,1,,,,,,,,,
ARRNet,8%,25%,25%,25%,10%,10%,0%,0%,0%,0%,0%,0%,0%,,,,O/head Cost per month,,,,Feb-18,,1,1,,,,,,,,,
,50.5%,,,,,,,,,,,,,,,,,,,,Mar-18,1,3,4,,,,,,,,,
,,,,,,,,,,,,,,,,,Damo," $	20,891.67 ",,,Grand Total,34,38,72,,,,,,,,,
PIPE, $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   , $	-   ,,,,Steve," $	11,103.33 ",,,,,,,,,,,,,,,
