Item Number,Contract,Project Name,Document Name,Issue,Date Submitted,Response Date,Number of days since response submission,Number of days from payment Schedule to payment,Variation Claim Amount,Total Payment Claim Amount,Comments,,Date,,,,Clause 15.9 & 19.7 Payment 15 days from submission of payment claim,The average payment date timeframe from submission of payment claim to payment in the last 7 months  is 26 days.  Contracted 15 days
652,A417 MDU New Devs,"MW22037-AYCA-53063P-2LIV-03-23 Mayberry Cres, Liverpool",Request for PC,Approved,4/10/18,5/24/18,44d,,,,,,,,,,,
690,A417 MDU New Devs,"MW21966-AYCA-52950S-2BUR-65-147 - 153 Liverpool Rd, Burwood",Variation Proposal,Approved,4/26/18,5/10/18,14d,,,,,,,,,,,
691,A417 MDU New Devs,MW22032-AYCA-4C48KZ-2MDG-01-4 Lewis Street Mudgee,Request for PC,Approved,4/30/18,5/9/18,9d,,,,,,,,,,,
692,A417 MDU New Devs,MW22065-AYCA-4FM8T4-2DBB-01-1L Hennessy Dr Drive Dubbo,Request for PC,Approved,4/30/18,5/9/18,9d,,,,,,,,,,,
693,A417 MDU New Devs,"MW21967-AYCA-4UKN6A-2WET-65-727 The Horsley Dr, Smithfield",Request for PC,Approved,4/30/18,5/9/18,9d,,,,,,,,,,,
694,A417 MDU New Devs,"MW21861-AYCA-4GPKZN-2RED-03-713-717 Elizabeth St, Waterloo",Request for PC,Approved,4/30/18,5/9/18,9d,,,,,,,,,,,
695,A417 MDU New Devs,MW21724-AYCA-3TP6RP-2SIL-04-Majors Bay Mortlake Residential ,Variation Proposal,Approved,5/1/18,5/10/18,9d,,,,,,,,,,,
696,A401 Greenfields,MW22239 -AYCA-552R88 -  2KTB-01 - Lot33-36 The Escarpments - 1,Request for PC,Approved,4/30/18,5/10/18,10d,,,,,,,,,,,
697,A401 Greenfields,MW22098-AYCA-4RWURH-2CES-02-147 Mathieson Street Bellbird Heights ,Request for PC,Approved,4/30/18,5/10/18,10d,,,,,,,,,,,
698,A401 Greenfields,MW22098-AYCA-4RWURH-2CES-02-147 Mathieson Street Bellbird Heights ,Variation Proposal,Approved,5/1/18,5/7/18,6d,,,,,,,,,,,
699,A417 MDU New Devs,"MW21861-AYCA-4GPKZN-2RED-03-713-717 Elizabeth St, Waterloo",Variation Proposal,Approved,5/1/18,5/10/18,9d,,,,,,,,,,,
700,A417 MDU New Devs,MW20116 - AYCA-3I8XUO - 2RDL-60 - Highgardens – 1- EXTERNAL,Variation Proposal,Approved,5/2/18,5/23/18,21d,,,,,,,,,,,
701,A417 MDU New Devs,MW22105-AYCA-48L8EZ-2MIL-01-27 Tugela Rise Edmondson Park,Variation Proposal,Approved,5/18/18,5/24/18,6d,,,,,,,,,,,
702,A401 Greenfields,MW21287 - AYCA-4BSSM6 - 2WAG-10 - 10 Fisher Place Lloyd,Payment Claim,Payment Schedule Received,5/2/18,5/3/18,1d,5d,,,Payment Date 8/5/18,,5/8/18,,,,,
703,A417 MDU New Devs,MW22065-AYCA-4FM8T4-2DBB-01-1L Hennessy Dr Drive Dubbo,Variation Proposal,Approved,5/3/18,5/15/18,12d,,,,,,,,,,,
704,A417 MDU New Devs,"MW21967-AYCA-4UKN6A-2WET-65-727 The Horsley Dr, Smithfield",Variation Proposal,Approved,5/3/18,5/10/18,7d,,,,,,,,,,,
705,A401 Greenfields,MW20507 - AYCA-2Y5DX4 - Bridgeland Investment,Request for PC,Approved,5/3/18,5/16/18,13d,,,,,,,,,,,
706,A401 Greenfields,MW20507 - AYCA-2Y5DX4 - Bridgeland Investment,Variation Proposal,Approved,5/8/18,5/10/18,2d,,,,,,,,,,,
707,A417 MDU New Devs,"MW22057 - AYCA-4EOA07-2MIR-24 - 298-300 Taren Point Rd, Caringbah",Request for PC,Approved,5/3/18,5/16/18,13d,,,,,,,,,,,
708,A417 MDU New Devs,"MW22022--AYCA-3TBATE-2PAR-6111 Hassall St, Paramatta",Request for PC,Approved,5/3/18,5/16/18,13d,,,,,,,,,,,
709,A401 Greenfields,MW22208-AYCA-4PWSOZ- 2KEL-07-1B Fairway Dr Kellyville,Request for PC,Approved,5/3/18,5/16/18,13d,,,,,,,,,,,
710,A417 MDU New Devs,MW22080-2QUA-02-AYCA-3I5VJ6-67 Dongola Circuit Schofields,Request for PC,Approved,5/3/18,5/16/18,13d,,,,,,,,,,,
711,A401 Greenfields,"MW22183-AYCA-55F4KR-2REV-20-15 Fitzpatrick St, Revesby",Request for PC,Approved,5/3/18,5/17/18,14d,,,,,,,,,,,
712,A417 MDU New Devs,"MW21921-AYCA-4MOKVP-2TAR-01-22 Elwell CL, Beresfield",Payment Claim,Payment Schedule Received,5/8/18,5/10/18,2d,,,,,,,,,,,
713,A417 MDU New Devs,"MW22243 - AYCA-4EUBZX - 2PTH-06 - 82 Cox Avenue, Penrith ",Request for PC,Approved,5/4/18,5/16/18,12d,,,,,,,,,,,
714,A417 MDU New Devs,MW22223-AYCA-4S0RD5-2RIV-03-14 Argowan Rd Schofields,Request for PC,Approved,5/7/18,5/17/18,10d,,,,,,,,,,,
715,A401 Greenfields,MW22171-AYCA-54VFA3-2COR-02- 50 Squires Cres Coledale,Request for PC,Approved,5/7/18,5/17/18,10d,,,,,,,,,,,
716,A401 Greenfields,MW22188-AYCA-4YPJJH-2BAN-60-62 Hume Hwy Chullora ,Request for PC,Approved,5/7/18,5/17/18,10d,,,,,,,,,,,
717,A417 MDU New Devs,MW22203-AYCA-2LIFV6-2ROU-02-4 Stringer Rd Kellyville,Request for PC,Approved,5/7/18,5/17/18,10d,,,,,,,,,,,
