,,Pipe PO No:,Datateks Invoice No:,Invoice Submission date,Invoice Month,Invoices paid,Description:,Submitted Invoice Month,Submitted Value,Remaining Claim,Part Claim,Submitted Invoice ,Outstanding payments from Pipe Networks,Total Revenue,Cost,Margin,Margin %,,,,,
,,64008,Inv 11478,9/30/16,Sep-16,,"RT622706 - DF Link - Level 1, 28 George Street, Sydney NSW to Level 1, 17-23 Talavera Road,",,"$48,180.34",,,,,"$50,220.34",,,,,,,,
,,64642,Inv 11477,9/30/16,Sep-16,,"RT622706 - DF Link - Level 1, 28 George Street, Sydney NSW to Level 1, 17-23 Talavera Road, Splicing",,"$2,040.00",,,,,,,,,,,,,
,,64065,Inv 11567,10/30/16,Oct-16,,"IX5257C01 Duct Access Study Request - CA3777096 - Dark Fibre link between Ground Floor, 21 Vidler Avenue Woy Woy NSW and 42 Mann Street, Gosford NSW",,"$26,995.05",,,,,"$26,995.05",,,,,,,,
,,64405,Inv 11418,9/1/16,Sep-16,,RT632496 RT632497 - Cust Project - 30 Ross St to 400 Harris St ,,$640.00,,,,,"$1,120.00",,,,,,,,
,,64787,Inv 11419,9/1/16,Sep-16,,RT632496 RT632497 - Cust Project - 30 Ross St to 400 Harris St ,,$480.00,,,,,,,,,,,,,
,,66187,Inv 11568,10/30/16,Oct-16,,"RT625696, CN25786 (External/Internal Hauling, Splicing) 21 Vidler Avenue Woy Woy NSW and 42 Mann Street, Gosford NSW",,"$6,659.30",,,,,"$6,659.30",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,Row Labels,Sum of Submitted Value,,,,,,,,,,,,,,,,,
,,,,Sep-16,"$51,340.34",,,,,,,,,"$84,994.69",,,,,,,,
,,,,(blank),,,,,,,,,,,,,,,,,,
,,,,Oct-16,"$33,654.35",,,,,,,,,,,,Average over the project,,,,,
,,,,Grand Total,"$84,994.69",,,,,,,,,,,,,,,,,
