,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Forecast Rev By Month,,,,,,,,,,,,,,,,,,
,Sum of Total Revenue,Column Labels,,,,,,,,,,,,,,,,,
,Row Labels,A401/Greenfield,A401/Minor works,A417 Greenfield MDU,AARnet,Craig Comms,Field Solutions,NBN Assurance Sydney,NBN Assurance Wagga,NBN FttC Drops,VPL,VPL New Devs,Grand Total,,,,,,
,Apr-18,"$76,932.22","$32,554.75","$104,242.66",,,,"$2,683.73","$4,275.79",,,"$71,187.30","$291,876.45",,,,,,
,Aug-17,"$53,229.24","$18,859.54","$71,800.10","$23,006.15",,,,,"$140,678.42",,,"$307,573.45",,,,,,
,Dec-17,"$97,881.29","$39,299.64","$78,473.27",,,,,,,,,"$215,654.19",,,,,,
,Feb-18,"$99,099.31","$34,300.34","$79,417.84",,,,"$6,636.82","$3,760.50",,,,"$223,214.81",,,,,,
,Jan-18,"$32,097.90","$70,587.47","$75,561.54",,,,,,,,,"$178,246.91",,,,,,
,Jul-17,"$120,154.02",,"$39,534.88",,,,,,,,,"$159,688.90",,,,,,
,Jun-18,"$71,050.45","$7,097.72","$182,981.34",,,,,,,,"$211,622.56","$472,752.08",,,,,,
,Mar-18,"$52,134.78","$64,116.50","$252,389.39",,,"$9,741.52","$53,328.29","$16,295.17",,,,"$448,005.64",,,,,,
,May-18,"$98,413.74",,"$111,034.05",,,,,,,,"$48,461.73","$257,909.52",,,,,,
,Nov-17,"$40,159.17","$13,823.63","$87,330.14",,,,,,,"$32,819.04",,"$174,131.98",,,,,,
,Nov-18,,,"$5,863.21",,,,,,,,,"$5,863.21",,,,,,
,Oct-17,"$77,688.99","$19,825.00","$54,284.32","$68,329.85",,,,,,,,"$220,128.16",,,,,,
,Oct-18,"$7,336.89",,"$57,308.04",,,,,,,,,"$64,644.93",,,,,,
,Sep-17,"$82,870.98","$5,490.09","$93,218.72",,"$1,475.00",,,,,,,"$183,054.79",,,,,,
,Sep-18,"$19,483.74",,"$67,991.35",,,,,,,,,"$87,475.09",,,,,,
