,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Amount,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,7/31/17,8/31/17,9/30/17,10/31/17,11/30/17,12/31/17,1/31/18,2/28/18,3/31/18,4/30/18,5/13/18,5/26/18,5/31/18,6/1/18,6/7/18,6/19/18,6/20/18,6/26/18,6/27/18,6/30/18,7/1/18,7/5/18,7/31/18,Grand Total,
Altus,"$1,789.04","$2,234.21","$5,528.47",,,,"$3,269.75",,"$17,427.67","$8,950.71",,,"$3,784.86",,,,,,,"$1,954.03",,,$285.00,"$45,223.74",
Craig Comms,"$2,050.94","$9,273.49","$3,276.90",,"$19,016.23","$1,746.62","$9,051.32","$3,187.16","$6,505.68","$2,399.96",,,"$30,267.86",,,,,,,,,,"$21,775.64","$108,551.80",
Quibcon,,"$7,000.00",,,,,,,,,,,,,,,,,,,,,,"$7,000.00",
Schokmans,,,"$23,778.19","$29,325.93","$47,578.58","$45,508.73","$27,388.61",,,,,,,,,,,,,,,,,"$173,580.04",
Wireless & Optical,,,,,,,,,,"$1,360.00",,,,,,,,,,,,,,"$1,360.00",
Qubicon,,,,,,,,,,,,,,,,,,,,"$7,628.67",,,,"$7,628.67",
L&M Trenchless,,,,"$6,331.58",,,,,,,,,,,,,,,,"$13,346.45",,,,"$19,678.03",
OS Cable Services,,,"$12,519.54",,,,,,,,,,,,,,,,,,,,,"$12,519.54",
KSJDA,,"$4,740.05",,"$1,265.00",,$748.00,"$9,353.57","$1,934.64",,$903.00,,,,,,,,,,,,,,"$18,944.26",
Central Coast Council,"$1,925.79",,,,,,,,,,,,,,,,,,,,,,,"$1,925.79",
Rainer,,$90.00,,,$450.00,,,,,,,,,,,,,,,,,,,$540.00,
COG,"$3,615.93",$581.00,,,,,,,,,,,,,,,,,,,,,,"$4,196.93",
Hills Council,,,,,,,,,,,,,"$4,410.54",,,,,,,,,,"$3,361.68","$7,772.22",
Sand 4 U,$77.27,,,,,,,,,,,,,,,,,,,,,,,$77.27,
Alliance Geotechnical,,,,$150.00,,,,,,,,,,,,,,,,,,,,$150.00,
Pacific Utilities,,,,,"$1,610.00",,,"$2,315.00",,"$2,299.00",,,,,,,,,,,,,,"$6,224.00",
LCC,,,"$8,825.86",,"$1,480.00","$4,369.75",,,,,,,,,,,,,,,,,,"$14,675.61",
