Job No.,Job Name,ID No.,Type of Cost,Cost Code,Project Cost,Date,Month Incurred Credit or Debit,Memo,Debit,Project Revenue,Credit,Sydney Staff & Wagga staff,Cost breakup,,,,,,,
CN,NBN Sydney,CN-12453,Revenue,NBN A401 Minor Works Credit,NBN Minor Works - MW20680 - 2BLK-02/07 - MPS-032 & MPS-010,7/1/17,Jul-17,NBN Co Sydney - 2BLK-02/07 - MPS-032 & MPS-010 ,"-$2,247.43",,,,,,,,,,,
CN,NBN Sydney,CN-12411,Revenue,NBN A417 MDU Credit,NBN A417 - MW20531 - AYCA-2TB25H - Glenmore Park 2 ,7/1/17,Jul-17,NBN Co Sydney - AYCA-2TB25H - Glenmore Park 2 - 1,-$0.06,,,,,,,,,,,
CN,NBN Sydney,CN-12409,Revenue,NBN A401 New Devs Credit,NBN A401 New Devs - MW20387- AYCA-3HE07T - 37 Bridge Street - 1,7/1/17,Jul-17,"NBN Co Sydney - AYCA-3HE07T - 37 Bridge Street - 1 
difference from RCTI ",-$2.00,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A417 MDU DJC Internals,NBN New Devs - MW20877 - AYCA-4992YE - 2RIV-02 - 34-36 Schofields - North Park  - 9,7/31/17,Jul-17,"E-Toll Business Operations Centre - TAG NO 10166426 DMJ74G",$18.00,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A417 MDU DJC Internals,NBN New Devs - MW20786 - SOPR MWI - 2LIV-03 - AYCA-47DIBW - Dale Development,7/31/17,Jul-17,"E-Toll Business Operations Centre - TAG NO 10166426 DMJ74G",$18.00,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A417 MDU DJC Internals,NBN New Devs - MW20644 - AYCA-35B3X9 -  Renocorp Australia Pty Ltd ,7/31/17,Jul-17,"E-Toll Business Operations Centre - TAG NO 10166426 DMJ74G",$18.00,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A401 New Devs DJC Internals,"NBN New Devs - MW20441 - AYCA-3KSRGR - Norberta St, The Entrance",7/31/17,Jul-17,"E-Toll Business Operations Centre - TAG NO 10166426 DMJ74G",$18.00,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A401 New Devs DJC Internals,NBN New Devs - MW20729 - COR-04 - AYCA-4D6AY6 - 94 POPES RD,7/31/17,Jul-17,"E-Toll Business Operations Centre - TAG NO 10166426 DMJ74G",$18.00,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A417 MDU DJC Internals,NBN New Devs - MW20758 - 2BAN-64 - AYCA-3ETV2Y - 21-25 Leonard Street,7/31/17,Jul-17,"E-Toll Business Operations Centre - TAG NO 10166426 DMJ74G",$18.00,,,,,,,,,,,
INV,NBN Sydney,B VISA E-TOLL July 2017,DJC,NBN A417 MDU DJC Internals,NBN New Devs - MW20876 - 2RIV-02 -AYCA-499AY5 - 34-36 Schofields - North Park - 10,7/31/17,Jul-17,"E-Toll Business Operations Centre - TAG NO 10166426 DMJ74G",$18.00,,,,,,,,,,,
