Contract,Project Title,Location,,Inv No.,Date Invoice Created,Date Project Completions handed over,PC Request Date Submitted,Variation Request submitted,Variation Approval,PC Due,Payment Date,Month Claimed,Actual Payment Date,maximoOrderNumber,FSAM/MPS,Suburb,Amount,Variation,Total Revenue,GST Inc,DJC Cost,Internat DJC Cost,Total Cost,Margin,%,NBN PO/PM,Project Quote Submitted,Project Award Date,Days to Award,Customer required date,Difference CRD to Award
A401/Greenfield,MW20264 - 2NLB-02 - AYCA-32ARIB - Dowling St,Nth Coast,,Inv 12261,31/05/2017,18/05/2017,18/05/2017,,,30/06/2017,24/08/2017,May-17,Aug-17,,MW20264 - 2NLB-02 - AYCA-32ARIB - Dowling St,Nelson Bay,"$6,033.93",,"$6,033.93","$6,637.32",,,$0.00,"$6,033.93",100%,Mark Leal,17/11/2016,25/11/2016,8d,16/12/2016,21d
A401/Greenfield,"MW20367 - AYCA-3H6ZBG - 2NRN-03 - 61 Smeaton Grange Rd,",Sydney,,Inv 12150 & 12150b,01/06/2017,13/06/2017,14/06/2017,26/06/2017,25/07/2017,14/07/2017,15/08/2017,Jun-17,Aug-17,,"MW20367 - AYCA-3H6ZBG - 2NRN-03 - 61 Smeaton Grange Rd,",Smeaton Grange,"$2,081.76","$6,995.47","$9,077.23","$9,984.95","$1,574.16","$3,292.54","$4,866.70","$4,210.53",46%,John Luker,23/01/2017,06/02/2017,14d,21/02/2017,15d
A401/Minor works,2BLK-07  Huntingwood - Additional Variations,Sydney,,Inv 11969b,28/02/2017,14/02/2017,02/05/2017,02/05/2017,09/05/2017,16/05/2017,25/05/2017,May-17,May-17,,2BLK-07  Huntingwood - Additional Variations,Huntingwood,,$766.97,$766.97,$843.67,,,$0.00,$766.97,100%,Shaher Aslam / Jay Shrestha,02/09/2016,22/09/2016,20d,19/10/2016,27d
A401/Minor works,MW20154 - 2WLG-01 & 02,Sth Coast,,Inv 13377,15/03/2018,07/02/2018,07/02/2018,07/02/2017,20/02/2018,20/02/2018,15/03/2018,Feb-18,Mar-18,,MW20154 - 2WLG-01 & 02,Wollongong,"$5,867.23","$28,433.11","$34,300.34","$37,730.37",$254.55,,$254.55,"$34,045.79",99%,Milan Khanal,,,,,
A401/Minor works,MW20311 - 2LIV-04 - Liverpool various sites,Sydney,,Inv 12876,29/11/2017,19/09/2017,19/09/2017,,,20/11/2017,05/12/2017,Sep-17,Dec-17,,MW20311 - 2LIV-04 - Liverpool various sites,Liverpool,"$1,505.23",,"$1,505.23","$1,655.75",,,$0.00,"$1,505.23",100%,Milan Khanal,,,,,
A401/Minor works,MW20425 - 2WLG - MPS-062-144-191-190-197-241 & 2WLG-08,Sth Coast,,Inv 12812,16/11/2017,10/08/2017,10/08/2017,,,31/08/2017,21/11/2017,Aug-17,Nov-17,,MW20425 - 2WLG - MPS-062-144-191-190-197-241 & 2WLG-08,Wollongong,"$8,027.19",,"$8,027.19","$8,829.91",,,$0.00,"$8,027.19",100%,Milan Khanal,,,,,
A401/Greenfield,"MW20385 - AYCA-38OMCL - 6 Hepher Rd, Campbelltown",Sydney,,Inv 12352,26/06/2017,27/06/2017,27/06/2017,27/06/2017,22/09/2017,08/08/2017,03/10/2017,Jun-17,Oct-17,,"MW20385 - AYCA-38OMCL - 6 Hepher Rd, Campbelltown",Campbelltown,"$10,952.80","$2,567.12","$13,519.92","$14,871.91","$1,702.74",,"$1,702.74","$11,817.18",87%,Michael Tram,18/02/2017,14/03/2017,24d,15/03/2017,1d
A401/Greenfield,"MW20441 - AYCA-3KSRGR - Norberta St, The Entrance - 1",Central Coast,,Inv 12641,10/10/2017,17/07/2017,17/07/2017,14/08/2017,07/09/2017,08/08/2017,10/10/2017,Jul-17,Oct-17,,"MW20441 - AYCA-3KSRGR - Norberta St, The Entrance - 1",Long Jetty,"$8,188.78",$496.57,"$8,685.35","$9,553.89",,,$0.00,"$8,685.35",100%,Andrew Partalis,25/02/2017,13/03/2017,16d,29/03/2017,16d
A401/Greenfield,MW20386 - 2CBT-03 - AYCA-39MU9X - Macarthur Mazda,Sydney,,Inv 12262,31/05/2017,30/05/2017,30/05/2017,01/06/2017,21/06/2017,08/08/2017,15/08/2017,May-17,Aug-17,,MW20386 - 2CBT-03 - AYCA-39MU9X - Macarthur Mazda,Campbelltown,"$7,705.93","$12,720.52","$20,426.45","$22,469.10",,,$0.00,"$20,426.45",100%,Michael Tram,18/02/2017,15/03/2017,25d,10/03/2017,-5d
A401/Greenfield,MW20475 - 2ROU-03 - AYCA-3HUY3N- 4 Wickham Blvd,Sydney,,Inv 12265,31/05/2017,05/05/2017,05/05/2017,,,06/06/2017,28/07/2017,May-17,Jul-17,,MW20475 - 2ROU-03 - AYCA-3HUY3N- 4 Wickham Blvd,Rouse Hill,"$10,233.06",,"$10,233.06","$11,256.37",,,$0.00,"$10,233.06",100%,Andrew Mahassy,15/03/2017,27/03/2017,12d,29/03/2017,2d
A401/Greenfield,MW20442 - 2TGL-02 - AYCA-30RVNV - Rockpool – 1,Sydney,,Inv 12353,30/06/2017,05/06/2017,05/06/2017,25/06/2017,12/07/2017,16/06/2017,28/08/2017,Jun-17,Aug-17,,MW20442 - 2TGL-02 - AYCA-30RVNV - Rockpool – 1,Terrigal,"$1,026.44","$8,543.55","$9,569.99","$10,526.98",,,$0.00,"$9,569.99",100%,Andrew Partalis,01/03/2017,10/03/2017,9d,29/03/2017,19d
A401/Greenfield,MW20318 - AYCA-35AM2J - NENSW0608 - Yarrandale Road,Central West,,Inv 12691,11/10/2017,31/07/2017,31/07/2017,05/09/2017,11/09/2017,08/09/2017,17/10/2017,Jul-17,Oct-17,,MW20318 - AYCA-35AM2J - NENSW0608 - Yarrandale Road,Dubbo,"$16,626.70","$8,393.07","$25,019.77","$27,521.75","$2,317.00",,"$2,317.00","$22,702.77",91%,Dave Yoemans,14/12/2016,28/03/2017,104d,07/12/2016,-111d
A401/Greenfield,"MW20489 - AYCA-3ZU1PE - 89 Old Hume Highway, Camden",Sydney,,Inv 12264,31/05/2017,15/05/2017,15/05/2017,30/05/2017,26/06/2017,25/05/2017,28/07/2017,May-17,Jul-17,,"MW20489 - AYCA-3ZU1PE - 89 Old Hume Highway, Camden",Camden,"$2,091.71","$1,025.14","$3,116.85","$3,428.54",,,$0.00,"$3,116.85",100%,Nabel Jaimon,20/03/2017,07/04/2017,18d,04/04/2017,-3d
A401/Greenfield,MW20491 - AYCA-3W8T05 - 2PAR-60 - Amos St,Sydney,,Inv 12637,27/09/2017,11/08/2017,14/08/2017,,,28/08/2017,03/10/2017,Aug-17,Oct-17,,MW20491 - AYCA-3W8T05 - 2PAR-60 - Amos St,Parramatta,"$3,449.71",,"$3,449.71","$3,794.68",,,$0.00,"$3,449.71",100%,Nabel Jaimon,20/03/2017,08/04/2017,19d,05/04/2017,-3d
