Technology,Delivery Partner Name,Warehouse Suburb,Warehouse State,nbn item number,Product description,Unit of measure (UOM),Warehouse stock on hand quantity (SOH),Faulty SOH- Count,Report run date
New Devs Minor Work,Datateks,,ACT,10002129,Site Manager Connector D type,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10018146,Cable Drop 1F Easy Access Optitap to stub 20m,Each,3,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10018147,Cable Drop 1F Easy Access Optitap to stub 30m,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10018148,Cable Drop 1F Easy Access Optitap to stub 40m,Each,11,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10018149,Cable Single Fibre Easy Access Drop 60m,Each,11,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10018150,Cable Single Fibre Easy Access Drop 80m,Each,25,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10018151,Cable Single Fibre Easy Access Drop 120m,Each,43,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10018152,Cable Single Fibre Easy Access Drops 200m,Each,6,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10018153,Cable Single Fibre Easy Access Drop 300m,Each,36,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10018154,Cable Single Fibre Easy Access Drop 500m,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013490,Cable Ribbon Feeder 12F Terminated One Connector 40m,Each,13,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013491,Cable Ribbon Feeder 70m F12 JODP,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013492,Cable Ribbon Feeder 110m F12 JODP,Each,7,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013493,Cable Ribbon Feeder 150m F12 JODP,Each,4,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013494,Cable Ribbon Feeder 200m F12 JODP,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013495,Cable Ribbon Feeder 250m 12F JODP,Each,4,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013496,Cable Ribbon Feeder 300m 12F JODP,Each,3,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013497,Cable Ribbon Feeder 400m 12F JODP,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10006722,Cable Ribbon Feeder 450m 12F JODP,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013498,Cable Ribbon Feeder 12F Terminated One Connector 500m JODP,Each,7,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013532,Cable Ribbon Feeder 12F Terminated One Connector 600m JODP,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013533,Cable Ribbon Feeder 12F Terminated One Connector 700m JODP,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013534,Cable Ribbon Feeder 12F Terminated One Connector 750m JODP,Each,4,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10017450,Feeder Cable 12 Fibre Ribbon 1000m,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015127,Cable Tether Extension 12f Underground Optitip Con 10m JPDP,Each,6,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015128,Cable Tether Extension 12f Underground Optitip Con 20m JPDP,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015130,Cable Tether Extension 12F Underground OPTITIP Connector Double Terminated 40m JPDP,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015131,Cable Tether Extension 12F Underground Optitip Con 30m JPDP,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015133,Cable Tether Extension 12F Underground Optitip Con 100m JPDP,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015134,Cable Tether Extension 12f Underground Optitip Connector Double Terminated 110m JPDP,Each,7,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015135,Cable Tether Extension 12f Underground Optitip Connector 150m JPDP,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015136,Cable Tether Extension 12F Underground Optitip Connector 200m JPDP,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015137,Cable Tether Extension 12F Underground Optitip Connector 500m JPDP,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10029407,Cable Ribbon Extender 12F Female to stub Connector 50m PODP,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10029408,Cable Ribbon Extender 12F Female to stub Connector 100m PODP,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10029409,Cable ribbon extender 12F Female to stub connector 200m PODP,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10029410,Cable ribbon extender 12F Female to stub connector 300m PODP,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10029411,Cable ribbon extender 12F Female to stub connector 400m PODP,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10029412,Cable ribbon extender 12F Female to stub connector 500m PODP,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10009871,Cable Tether Extension 100m 12F,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10023542,COPPER PCD 1 2 LINES,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10018125,Heat Shrink Boot 4 Way,Each,16,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10023536,Scotchlok Connector 2-Wire 3m Yellow Box of 100,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10023498,Openable Joint 30 Series 50 Pair,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10023499,Openable Joint 31 Series 100 Pair,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015316,NTD Enclosure,Each,33,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015317,Converter ACDC 12V Black Brick PSU with Molex for Indoor NTD I 240G R with Customised 580mm Black DC Cables,Each,20,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10016057,User Guide Fibre,Each,18,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015429,Cable AC Power Supply NTD Angled Length 0.8m,Each,28,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015431,Cable AC Power Supply NTD Angled length 3.0m,Each,32,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10017437,GPON NTD ONT Indoor G-240G-P 2 POTS 4 GE 0 RF,Each,15,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002831,Premise Connection Device PCD Type 2,Each,27,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002475,Battery for SDU UPS,Each,5,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002470,UPS for NTD SDU Indoor,Each,18,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002470,UPS for NTD SDU Outdoor,Each,8,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002471,Cable 3m extension for UPS for NTD SDU Indoor,Each,27,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002464,NTD SDU Outdoor,Each,5,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10013324,CTL 12 Ports SC APC Stubless Input with Unpinned O,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002329,ODF Subrack Splice Patch 72F Ribbon A SC 8x3 LP 19,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10016048,Multiport 12 Port Small Footprint,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10016047,Multiport 8 Port Small Footprint,Each,3,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10016046,Multiport 4 Port Small Footprint,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10029058,Multiport Branch Small Form,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015122,Branch Multiport 0.5m Tail UNAP,Each,27,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015124,Multiport Series 6 Port Aerial with 0.5m Tail,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10015123,Multiport Series 4 Port Aerial with 0.5mm Tail,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10020290,Single Fibre Heat Shrink Splice Protector 45mm MOQ 100 Units,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002192,Splice Enclosure Ribbon Splice Protectors,Each,1,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10026445,Flexibility Joint Location Splice Closure pre-populated with 3 of 4way PLC splitters and cable entry glands MT-LFN (FJL) ,Each,4,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10023633,OFDC-A4 WITH MOUNTING BRACKET AND NO SPLITTER (BJL),Each,5,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10023612,Small Footprint Multi-port with Integrated 1:4 Splitter (SMP),Each,4,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10023613,Small Footprint Multi-port with Integrated 1:8 Splitter (SMP),Each,14,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10023895,Splitter Planar 1:4 for FJL BJL Unterminated,Each,4,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10024796,Patch Cord Simplex Red SC APC to SC APC 1.5m,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002306,Patch Cord Simplex SC APC to SC APC 2m,Each,0,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002307,Patch Cord Connector SC APC to SC APC 2.5m,Each,15,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10009967,Patch Cord Connector SC APC to SC APC 3m,Each,35,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002308,Patch Cord Connector SC APC to SC APC 4.5m,Each,2,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002309,Patch Cord Connector SC APC to SC APC 5.0m,Each,7,0,17/05/2020
New Devs Minor Work,Datateks,,ACT,10002310,Patch Cord Connector SC APC to SC APC 5.5m,Each,12,0,17/05/2020
