Request ID,SAM ID,Build Type,Type,"SOW 
Received
Date","NDD 
Submission Forecast Date","NDD 
Actual Submission Date","NDD 
Resubmission 
Date","NDD 
Status","NDD
Approved 
Date","10.1.1 GML Submission 
Date","PON Patching Request 
Date","PON SOW 
Received 
Date","DDD 
Submission Forecast Date","DDD 
Actual Submission Date","DDD 
Resubmission 
Date","DDD 
Status","DDD
Approved 
Date","LAAN
Submission
Date","HEC
Submission
Date","HEC
Approval
Date","LAAN
Start",DP Comments,NBN Comments
AYCA-3G1TZ6,2PYM-62,MDU Internal ,MDU,08/04/2019,,,,,,NA,,,,14/05/2019,20/05/2019,Approved,20/05/2019,,,,,"-8/04SOW received ,
-14/05 MDU Internal Design Submitted 
-20/05  DDD Feedback  received and Re-Submitted  and Approved",
AYCA-4TEWKF ,9BLC-22,MDU Internal ,MDU,08/04/2019,,,,,,NA,,,,15/05/2019,24/05/2019,Approved,25/05/2019,,,,,"-8/04SOW received 
-10/04 Internal MDU Design WIP
15/05 DDD submitted
-24/05 DDD Feedback received and Re submitted
-25/05 DDD approved",
AYCA-5NXLZB,2TGL-02,MDU Internal ,MDU,08/04/2019,,,,,,NA,,,,03/06/2019,,Submitted,,,,,,"-8/04SOW received ,
-14/05 RFI Sent to Atul 
-3/06 DDD Submitted 
",
AYCA-60KQLM,2HMK-20,B+E,MDU TFL,28/03/2019,4/4/19,4/4/19,,Submitted,,4/4/19,,,,26/04/2019,07/05/2019,Resubmitted,,NA,02/05/2019,21/05/2019,NA,"-29/03 NDD WIP , NDD ETA 4/04
-8/04 NDD Submitted
-16/04 DDD WIP
-26/04/2019(DDD) Submitted
-02/05 Heritage exemption documents wil be submitted today at Sydney Council
-7/05 GML and BOQ Resubmitted
-21/05 Heritage exemption approved.",
AYCA-5VXRM8,2MIR-25,B+E,MDU TFL,28/03/2019,4/8/19,,,RFI,,4/26/19,4/26/19,4/29/19,,26/04/2019,,Approved,01/05/2019,30/04/2019,NA,NA,15/05/2019,"-29/03 NDD WIP , NDD ETA 4/04
-03/04 RFI email sent to Malcolm/Atul
-23/04 RFI resolved 
-26/04 DDD Submitted
-30/04 CLAAN sent with a start date of 15/05
-1/05 DDD Approved",
AYCA-36XIQO,2KEL-07,D,SDU TFL,27/03/2019,4/8/19,,,Submitted,,4/15/19,,,,15/04/2019,,Approved,23/04/2019,16/04/2019,NA,NA,06/05/2019,"-29/03 NDD WIP ,NDD ETA 5/04
-10/04 DDD WIP, ETA 12/04
-15/04/2019 DDD Submitted
-16/04 CLAAN sent with a start date of 06 May
-23/04 DDD Approved",
AYCA-5EJRTN,2CAM-02,B+E,MDU TFL,27/02/2019,,3/15/19,,Submitted,,3/15/19,,,,26/03/2019,,Approved,16/04/2019,03/04/2019,NA,NA,18/04/2019,"-27/02 SOW  received 
-15/03 NDD pack Delivered
-26/03 DDD Delivered
-03/04  CLAAN sent with a start date of 18/04
-10/04 Waiting for NBN feedback on DDD",
AYCA-5IOF6P,2BAN-60,B+E,MDU TFL,27/02/2019,,3/7/19,,Submitted,,3/7/19,3/26/19,4/3/19,,29/03/2019,15/04/2019,Approved,16/04/2019,01/04/2019,NA,NA,16/04/2019,"-27/02 SOW  received 
-RFI raised to NBN on 04/03/ rfi resolved on 05/03 
NDD Pack submitted to NBN 7/03 , waiting for response
-29/03 DDD Delivered
-01/04 CLAAN sent with a start date of 16/04
-15/04 DDD resubmitted",
AYCA-5LZJ26,2BAN-70,B+E,MDU TFL,27/02/2019,,3/15/19,,Submitted,,3/15/19,,,,23/04/2019,,Approved,29/04/2019,15/04/2019,NA,NA,03/05/2019,"-26/02 SOW  received 
- 05/03 received new SOW.
-15/03 NDD Delivered 
-10/04 DDD WIP ETA 15/04
-15/04 CLAAN sent with a start date of 03/05.
-23/04 DDD Submitted
-29/04 DDD approved",
AYCA-4QNRBL,2KEL-03,B+E,MDU TFL,27/02/2019,,3/11/19,,Submitted,,3/11/19,,,,22/03/2019,,Approved,16/04/2019,29/03/2019,NA,NA,15/04/2019,"-27/02 SOW  received 
-11/03 NDD Submitted
-22/03 DDD Delivered
-29/03 CLAAN sent with a start date of 15/04
-10/04 Waiting for NBN feedback on DDD
-16/04 DDD Approved",
