Item Number,Contract,Project Name,Document Name,Issue,Date Submitted,Response Date,Number of days since submission,Number of days from payment Schedule to payment,Variation Claim Amount,Total Payment Claim Amount,Comments,,Date,,,,,,,,,,
1221,A417 MDU New Devs,MW22435-AYCA-5576QH-2TGL-02-3 Ghersi Ave Wambera,Variation Proposal,Approved,10/5/18,11/14/18,40d,,,,,,,,,Terms,,,,,,,
1222,A401 Greenfields,"MW417R001092-AYCA-5GPSWE-TTFN-2CAM-20-100A- 100B Northcote Street, Canterburry",Payment Claim,Payment Schedule Received,10/8/18,10/16/18,8d,2d,,,Payment Date 18/10/18,,10/18/18,,,,,,,,,,
1223,A417 MDU New Devs,"MW417R000741-AYCA-4BC75L-2BLK-11-Fairwater Boulevard, Blacktown",Payment Claim,Payment Schedule Received,10/8/18,10/12/18,4d,7d,,,Payment Date 19/10/18,,10/19/18,,,Request for PC,,10 Business day from Submission,,,,,
1224,A417 MDU New Devs,"MW417R000704-AYCA-57Y170-2BRY-01-17 Hitchcocks Ln, Berry",Variation Proposal,Approved,10/9/18,11/14/18,36d,,,,,,,,,,,,,,,,
1225,A401 Greenfields,"MW417R001195--AYCA-5D4EG4-2CAS-238 Totness Court, Castle Hill ",Payment Claim,Payment Schedule Received,10/8/18,10/12/18,4d,3d,,,Payment Date 15/10/18,,10/15/18,,,Variation Proposal,,10 Business day from Submission,,,,,
1226,A401 Greenfields,"MW417R001196-AYCA-5CYZU8-2ROU-02-12 Highgate Circuit, Kellyville",Payment Claim,Payment Schedule Received,10/8/18,10/12/18,4d,3d,,,Payment Date 15/10/18,,10/15/18,,,,,,,,,,
1227,A417 FttC Serviceability,MW417R001252-2KYO-20-STELLAR NPDL_MWR (A417)- Kyogle,Variation Proposal,Approved,10/5/18,10/11/18,6d,,,,,,,,,Payment Claim ,,15 Business days form Submission,,,,,
1228,A417 FttC Serviceability,MW417R000557-2POR-20-STELLAR NPDL_MWR (A417)-Portland,Variation Proposal,Approved,10/5/18,10/11/18,6d,,,,,,,,,,,,,,,,
1229,A417 FttC Serviceability,MW417R000541-2DRG-20-STELLAR NPDL_MWR (A417)-Dorrigo,Request for PC,Approved,10/8/18,10/18/18,10d,,,,,,,,,,,,,,,,
1230,A417 FttC Serviceability,MW417R000541-2DRG-20-STELLAR NPDL_MWR (A417)-Dorrigo,Variation Proposal,Approved,10/8/18,10/18/18,10d,,,,,,,,,,,,,,,,
1231,A417 MDU New Devs,"MW417R000704-AYCA-57Y170-2BRY-01-17 Hitchcocks Ln, Berry",Request for PC,Approved,10/9/18,10/18/18,9d,,,,,,,,,,,,,,,,
1232,A417 MDU New Devs,"MW417R000395 - AYCA-56PP6W-2BAN-67-55-57 Chelmsford Ave, Bankstown",Variation Proposal,Approved,10/9/18,11/14/18,36d,,,,,,,,,,,,,,,,
1233,A401 Greenfields,MW22433-AYCA-4OJUJI-2GLB-04-20 Cathcart St Goulburn ,Payment Claim,Payment Schedule Received,10/9/18,10/16/18,7d,2d,,,Payment Date 18/10/18,,10/18/18,,,,,,,,,,
