,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sum of Amount,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,5/13/18,5/26/18,6/1/18,6/7/18,6/19/18,6/20/18,6/26/18,6/27/18,6/30/18,7/1/18,7/5/18,7/11/18,7/16/18,7/25/18,7/26/18,7/31/18,8/13/18,8/31/18,9/3/18,9/5/18,9/11/18,9/17/18,9/20/18,9/24/18,9/25/18,9/28/18,9/30/18,10/1/18,10/12/18,10/16/18,10/25/18,10/29/18,10/31/18,11/1/18,11/6/18,11/22/18,11/23/18,11/26/18,11/30/18,12/10/18,12/31/18,(blank),Grand Total,
Altus,,,,,,,,,"$1,954.03",,,,,,,$285.00,,"$5,877.57",,,,,,,,,"$2,002.92",,,,,,"$3,567.37",,,,,,$599.55,,"$13,443.09",,"$27,729.53",
Craig Comms,,,,,,,,,,,,,,,,"$21,775.64",,,,,,,,,,,,,,,,,,,,,,,"$92,060.59",,,,"$113,836.23",
(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qubicon,,,,,,,,,"$7,628.67",,,,,,,,,,,,,,,,,,"$6,022.93",,,,,,"$6,112.80",,,,,,"$1,770.88",,,,"$21,535.28",
L&M Trenchless,,,,,,,,,"$13,346.45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$13,346.45",
KSJDA,,,,,,,,,,,,,,,,,,,,,,,,,,,"$10,881.50",,,,,,"$8,594.35",,,,,,"$14,222.52",,"$8,155.48",,"$41,853.85",
Hills Council,,,,,,,,,,,,,,,,"$3,361.68",,,,,,,,,,,,,,,,,,"$9,106.00",,,,,,,,,"$12,467.68",
Pacific Utilities,,,,,,,,,,,,,,,"$2,528.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,528.60",
LCC,,,,,,,,,,,,,,,,,,"$7,896.80",,,,,,,,,,,,,,,,,,,,,,,,,"$7,896.80",
Global Elite technologies   ,,,,,,,,,"$7,196.71",,,,,,,"$14,648.56",,,,,,,,,,,"$11,986.18",,,,,,"$14,521.60",,,,,,"$4,995.26","$6,082.63",,,"$59,430.94",
Cumberland Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$4,025.00",,,,,,"$4,025.00",
Cylas,,,,,,,,,"$78,064.88",,,,,,,"$58,226.44",,"$50,796.69",,,,,,,,,"$35,415.95",,,,,,"$42,590.70",,,,,,,,,,"$265,094.66",
Hunter West Civil & Data,,,,,,,,,"$11,925.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$11,925.35",
Comms Connect,,,,,,,,,"$13,671.90",,,,,,,"$9,784.30",,"$106,676.82",,,,,,,,,"$18,864.62",,,,,,"$6,842.50",,,,,,$275.83,,,,"$156,115.97",
Nintey Nine Group,"$3,000.00","$9,760.00","$11,080.00","$15,304.00","$11,345.00","$34,356.00","$5,136.50","$9,452.00",,"$9,325.25","$12,875.00","$42,296.00","$20,672.00","$15,876.00",,"$11,768.00","$8,454.06",,"$1,500.00","$25,934.75","$14,770.00","$38,306.50",,"$50,142.00",,,"$14,135.00","$33,858.50",,,"$9,930.00","$6,831.00","$28,802.85",,"$10,878.00",,,,$480.00,"$1,500.00",,,"$457,768.41",
Corrosion Control Engineering,,,,,,,,,"$1,720.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,720.00",
Paramount Telecom,,,,,,,,,$900.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$2,508.04",,"$3,408.04",
Canterbury Concil,,,,,,,,,"$1,051.00",,,,,,,"$2,695.00",,,,,,,,,,,,,$762.75,,,,,,,"$1,070.25",,,,,,,"$5,579.00",
Blacktown Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$1,036.80",,,,"$1,036.80",
Michael Gale,,,,,,,,,"$4,173.34",,,,,,,"$5,665.02",,"$17,499.92",,,,,,,,,"$8,953.77",,,,,,"$20,593.24",,,,,,,,,,"$56,885.29",
Marshall Directional Drilling,,,,,,,,,,,,,,,,,,"$13,053.53",,,,,,,,,"$6,400.00",,,,,,,,,,,,,,,,"$19,453.53",
Burwood Council,,,,,,,,,,,,,,,,,,"$1,664.00",,,,,,,,,,,,,,,,,,,,,,,,,"$1,664.00",
AusGrid,,,,,,,,,,,,,,,,,,$990.00,,,,,,,,,,,,,,,,,,,,,,,,,$990.00,
OSGA,,,,,,,,,,,,,,,,,,"$65,242.00",,,,,,,"$320,222.05",,,,,"$124,784.00","$145,617.00",,,,,,,"$17,305.00",,,,"$244,028.00","$917,198.05",
Hornsby Council,,,,,,,,,,,,,,,,,,,,,,,,,,,"$5,292.00",,,,,,,,,,,,,,,,"$5,292.00",
Ablas Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,194.01",,,,,,"$24,159.48",,,,,,"$30,883.43",,,,"$75,236.92",
RDJ Tranz,,,,,,,,,,,,,,,,,,,,,,,$436.36,,,,,,,,,,,,,,,,,,,,$436.36,
Coms R US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,000.00",,,,,,,,,,"$17,000.00",
Penrith Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$17,464.95",,,,,,,,,,"$17,464.95",
Kennards,,,,,,,,,,,,,,,,,,,,,,,,,,$936.36,,,,,,,,,,,,,,,,,$936.36,
CDA Earthworx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$33,452.50",,,,,,,,,,"$33,452.50",
Coffey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$300.00,,,,,,,,$300.00,
Liverpool Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$612.64,,,,,,$612.64,
Tactix Civil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$32,219.22",,,,"$32,219.22",
Worksafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$20,221.33",,,,"$20,221.33",
VS Connect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$87,679.60",,,,"$87,679.60",
Jemena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$600.00,,,,$600.00,
Sutherland Council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,$928.18,,$928.18,
Grand Total,"$3,000.00","$9,760.00","$11,080.00","$15,304.00","$11,345.00","$34,356.00","$5,136.50","$9,452.00","$141,632.33","$9,325.25","$12,875.00","$42,296.00","$20,672.00","$15,876.00","$2,528.60","$128,209.64","$8,454.06","$269,697.33","$1,500.00","$25,934.75","$14,770.00","$38,306.50",$436.36,"$50,142.00","$320,222.05",$936.36,"$140,148.88","$33,858.50",$762.75,"$124,784.00","$155,547.00","$6,831.00","$223,702.34","$9,106.00","$11,178.00","$1,070.25","$4,637.64","$17,305.00","$287,045.01","$7,582.63","$25,034.79","$244,028.00","$2,495,869.52",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of Amount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AYCA-5BXC86 - 2ROC-02 - 78-98 ARNCLIFFE ST, WOLLI CREEK ", $	436.36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hornsby Project," $	5,292.00 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW20778 - 2PTH-02 - AYCA-40UXV5 - 163 Parker St ," $	2,580.65 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW20888 - 2HOR-62 - AYCA-39AB50 -2HOR-62 -JAAN – 1," $	2,974.72 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW20917 - AYCA-3A485K -2LID-03 -  Lidbury Street Berala - 1 - EXTERNAL," $	4,651.88 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW21097 - 2LIV-04 - AYCA-476RM9 - NSB - 87-91 Campbell St Build," $	2,828.60 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
