,,,,,,,,,,,
,2016 - 17 Financials,,,,,,,,,,
,,,,,,,,,,,
,"2BLK11 LNDN, Aerial & Drops: Rev Vs Cost",,,,,,,,,,
,Total Rev,DJC  Cost,Overhead,Total Cost,Margin,Margin %,,,,,
,,,, $	-   ,$0.00,,,Added 2015-16 figures,,,
,,,,,,,,,,,
,Canberra Net Shortfall: Rev Vs Cost,,,,,,,,,,
,Total Rev,DJC  Cost,Overhead,Total Cost,Margin,Margin %,,,,,
,,,, $	-   ,$0.00,,,,,,
,,,,,,,,,,,
,Sydney Net Shortfall: Rev Vs Cost,,,,,,,,,,
,Total Rev,DJC  Cost,Overhead,Total Cost,Margin,Margin %,,,,,
,,,, $	-   ,$0.00,,,,,,
,,,,,,,,,,,
,Central Coast  Net Shortfall: Rev Vs Cost,,,,,,,,,,
,Total Rev,DJC  Cost,Overhead,Total Cost,Margin,Margin %,,,,,
,,,, $	-   ,$0.00,,,,,,
,,,,,,,,,,,
,PipeNetworks: Rev Vs Cost,,,,,,,,,,
,Total Rev,DJC  Cost,Overhead,Total Cost,Margin,Margin %,,,,,
,,,, $	-   ,$0.00,,,,,,
,,,,,,,,,,,
,ServiceStream: Rev Vs Cost,,,,,,,,,,
,Total Rev,DJC  Cost,Overhead,Total Cost,Margin,Margin %,,,,,
,,,, $	-   ,$0.00,,,,,,
,,,,,,,,,,,
,Sydeticom: Rev Vs Cost,,,,,,,,,,
,Total Rev,DJC  Cost,Overhead,Total Cost,Margin,Margin %,,,,,
,,,, $	-   ,$0.00,,,,,,
,,,,,,,,,,,
,NBN Greenfields Rev Vs Cost,,,,,,,,,,
,Total Rev,DJC  Cost,Overhead,Total Cost,Margin,Margin %,,,,,
,,,, $	-   ,$0.00,,,,,, 
,,,,,,,,,,,
,2GOS-04 Drops,,,,,,,,,,
,Total Rev,DJC  Cost,Overhead,Total Cost,Margin,Margin %,,,,,
,,,, $	-   ,$0.00,,,,,,
,,,,,,,,,,,
,2GOS-05 Drops,,,,,,,,,,
,Total Rev,DJC  Cost,Overhead,Total Cost,Margin,Margin %,,,,,
,,,, $	-   ,$0.00,,,,,,
,,,,,,,,,,,
,2COR Drops Rev Vs Cost,,,,,,,,,,
,Total Rev,DJC  Cost,Overhead,Total Cost,Margin,Margin %,,,,,
,," $	64,967.62 ",," $	64,967.62 ","-$64,967.62",,,,,,
,,,,,,,,,,,
,NBN Minor Works Various Rev Vs Cost,,,,,,,,,,
,Total Rev,DJC  Cost,Overhead,Total Cost,Margin,Margin %,,,,,
,,,, $	-   ,$0.00,,,,,,
,,,,,,,,,,,
,2LJT-05 Drops Rev Vs Cost,,,,,,,,,,
,Total Rev,DJC  Cost,Overhead,Total Cost,Margin,Margin %,,,,,
,,,, $	-   ,$0.00,,,Include in the figure is the 2015-16 numbers,,,
,,,,,,,,,,,
,2LJT-04 LNDN Rev Vs Cost,,,,,,,,,,
,Total Rev,DJC  Cost,Overhead,Total Cost,Margin,Margin %,,,,,
,,,, $	-   ,$0.00,,,Include in the figure is the 2015-16 numbers,,,
,,,,,,,,,,,
,,,,,"-$64,967.62",Total Net Margin,,,,,
,,,,,,,,,,,
,,,,,,Average Net Margin,,,,,
