Company,Invoice No,Date of Invoice,Payment Month,Client,FSAM / Job,FDA,Cat,Amount,
Hunter West Civil & Data,Inv 0008,5/3/18,6/30/18,NBN Co,NBN A401,MW21756-AYCA-3K4RCM-2RIV-03-Marsden Park Tonzat Development - 2,NBN New Devs,"$9,927.23",
Hunter West Civil & Data,Inv 0009,5/3/18,6/30/18,NBN Co,NBN A417,MW21704 - AYCA-4RDSRL - 2BLK-12-bedford gardens - 1,NBN New Devs,"$1,294.92",
Hunter West Civil & Data,Inv 0010,5/3/18,6/30/18,NBN Co,NBN A417,"MW21637-AYCA-4OHMS3 - 2BLK-07 -35 Holbeche road, Arndell Park - EXT",NBN New Devs,$703.20,
Nintey Nine Group,Inv 553,5/12/18,5/26/18,NBN Co,NBN Project Fusion,MW417R000172-2MON-25-STELLAR NPDL_MWR (A417)-Mona Vale,NBN Project Fusion,"$9,760.00",
Nintey Nine Group,Inv 552,4/29/18,5/13/18,NBN Co,NBN Project Fusion,MW417R000169-2MIR-29-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$3,000.00",
L&M Trenchless,Inv 4157A,5/15/18,6/30/18,NBN Co,NBN A401,MW22100 - AYCA-4QBUIV - 2KTB-02 -  NSB - Letitia St Katoomb,NBN New Devs,"$12,047.70",
L&M Trenchless,Inv 4158A,5/15/18,6/30/18,NBN Co,NBN A401,MW22100 - AYCA-4QBUIV - 2KTB-02 -  NSB - Letitia St Katoomb,NBN New Devs,"$1,298.75",
Altus,Inv 161363,5/13/18,6/30/18,NBN Co,VPL New Devs,VPL New Devs - 2PET-69-AYCA-3G34XT,NBN New Devs,"$1,954.03",
Nintey Nine Group,Inv 554,5/18/18,6/1/18,NBN Co,NBN Project Fusion,MW417R000170-2MIR-22-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$11,080.00",
Comms Connect,Inv 10498,5/23/18,6/30/18,NBN Co,NBN A401,"MW22011-AYCA-4GRO21-2RTC-20-55 Kingston Parade, Heatherbae",NBN New Devs,"$5,405.07",
Nintey Nine Group,Inv 556,5/24/18,6/7/18,NBN Co,NBN Project Fusion,MW417R000174-2MIR-26-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$15,304.00",
Comms Connect,Inv 10497,5/23/18,6/30/18,NBN Co,NBN A401,"MW22196 - AYCA-4VVND3 - 2ORG-01 - 258 CLERGATE RD, ORANGE",NBN New Devs,"$8,266.83",
Qubicon,Inv 568,5/21/18,6/30/18,NBN Co,NBN A417,MW22366-AYCA-117I3H-2RIV-01-34 Station Street Schofields,NBN New Devs,"$4,548.67",
Qubicon,Inv 569,5/21/18,6/30/18,NBN Co,NBN A401,MW22333 - AYCA-54SUCD - 2PKE-06 - Warehouse Pl Berkeley,NBN New Devs,"$1,960.00",
Corrosion Control Engineering,Inv CNI13357,5/28/18,6/30/18,NBN Co,NBN A417,"MW21820-AYCA-4W4BKH-2HOM-02-38 Weeroona Rd, Strathfield EXT",NBN New Devs,"$1,720.00",
Cylas,Inv 1115,5/30/18,6/30/18,NBN Co,NBN A417,MW22454-AYCA-2CVKCU-2ROT-60-60 Wallgrove Rd Easter Creek ,NBN New Devs,"$1,704.24",
Cylas,Inv 1116,5/30/18,6/30/18,NBN Co,NBN A417,MW22366-AYCA-117I3H-2RIV-01-34 Station Street Schofields,NBN New Devs,"$4,902.82",
Cylas,Inv 1117,5/30/18,6/30/18,NBN Co,NBN A417,"MW22022--AYCA-3TBATE-2PAR-6111 Hassall St, Paramatta",NBN New Devs,"$4,761.73",
Cylas,Inv 1118,5/30/18,6/30/18,NBN Co,NBN A417,MW22265-AYCA-4R1HNT-2MIL-62-6-8 Facey Cres Lurnea ,NBN New Devs,"$4,761.20",
