Contract,Project Name,Location,PE,Inv No.,Date Invoice Created,Date Project Completions handed over,PC Request Date Submitted,Variation Request submitted,Variation Approval,PC Due,Payment Date,Month Claimed,Actual Payment Date,Maximo work order,FSAM/MPS,Suburb,CSPO Amount,Variation,Total Revenue,GST Inc,DJC Cost,Internal DJC Cost,Total Cost,Margin,%,NBN PO/PM,Project Quote Submitted,Project Award Date,Days to Award,Customer required date,Difference CRD to Award
A417 RFQ,A417 RFQ New Devs,Sydney Nth,Mickey Tran,Inv 13693,06/06/2018,02/05/2018,03/05/2018,08/05/2018,09/05/2018,17/05/2018,05/06/2018,May-18,Jun-18,,MW20507 - AYCA-2Y5DX4 - Bridgeland Investment,Epping,"$6,265.77","$7,637.88","$13,903.65"," $	15,294.02 ","$3,486.54",,"$3,486.54","$10,417.11",75%,Andrew Partalis,23/03/2017,08/04/2017,16d,07/04/2017,-1d
A417 New Devs,A417 Greenfield MDU,Sydney West,Dane Harrington,,,,30/08/2019,,,,,Aug-19,Jan-00,,MW20698 - AYCA-1SQ3K5 - 189 Macquarie Street,Parramatta,"$1,056.78",,"$1,056.78"," $	1,162.46 ",$235.00,,$235.00,$821.78,78%,Lindy Chan,Direct Award,08/05/2017,,,
A417 New Devs,A417 Greenfield MDU,Sydney Nth,Mickey Tran,Inv 14141,11/09/2018,03/08/2018,03/08/2018,03/07/2018,29/08/2018,17/08/2018,31/08/2018,Aug-18,Aug-18,,MW20888 - AYCA-39AB50 -2HOR-62 -JAAN – 1,Asquith,"$1,035.19","$4,631.11","$5,666.30"," $	6,232.93 ","$2,974.72",,"$2,974.72","$2,691.58",48%,Andrew Partalis,Direct Award,04/07/2017,,,
A417 RFQ,A417 RFQ New Devs,Sydney Sth,Damien Marov,Inv 14582,07/01/2019,12/11/2018,12/11/2018,27/11/2018,13/12/2018,26/11/2018,08/01/2019,Nov-18,Jan-19,,MW21097 - 2LIV-04 - AYCA-476RM9 - NSB - 87-91 Campbell St Build,Liverpool,"$8,773.94","$11,072.91","$19,846.85"," $	21,831.54 ","$10,967.35",,"$10,967.35","$8,879.50",45%,Andrew Mahassy,22/08/2017,,,30/09/2017,
A417 RFQ,A417 RFQ New Devs,Sydney Sth,Marshell Antonio,,,,30/01/2020,,,,,Jan-20,Jan-00,,MW21325 - 2NRL-20 - AYCA-2QFUTJ - Camden Day Hospital - 1,Elderslie,"$2,322.69",,"$2,322.69"," $	2,554.96 ",,,$0.00,"$2,322.69",100%,Nabeel Jaimon,29/09/2017,18/10/2017,19d,26/10/2017,8d
A417 New Devs,A417 Greenfield MDU,Sydney West,Mickey Tran,Inv 13697,06/06/2018,17/05/2018,17/05/2018,18/05/2018,30/05/2018,30/05/2018,07/06/2018,May-18,Jun-18,,MW20917 - AYCA-3A485K -2LID-03 -  Lidbury Street Berala - 1 - EXTERNAL,Berala,$82.91,"$6,597.00","$6,679.91"," $	7,347.90 ","$4,651.88",,"$4,651.88","$2,028.03",30%,Lindy Chan,Direct Award,19/10/2017,,22/11/2017,34d
A417 RFQ,A417 RFQ New Devs,Central West,Marshell Antonio,Inv 14543,14/12/2018,16/11/2018,16/11/2018,16/11/2018,28/11/2018,30/11/2018,14/12/2018,Nov-18,Dec-18,,MW21395 - 2BTH-01 - AYCA-4LYVIU - Arndilly - 2,Bathurst,"$4,802.37","$3,300.75","$8,103.12"," $	8,913.44 ",,,$0.00,"$8,103.12",100%,Mark Leal,27/09/2017,23/10/2017,26d,01/11/2017,9d
A417 New Devs,A417 Greenfield MDU,Sydney West,Mickey Tran,Inv 13910,24/07/2018,06/06/2018,07/06/2018,06/06/2018,19/06/2018,21/06/2018,24/07/2018,Jun-18,Jul-18,,MW21524 -  AYCA-47C97W-2BLK-01 -51 Kildare Rd Blacktown,Blacktown,"$1,711.60","$1,825.26","$3,536.86"," $	3,890.55 ","$4,587.91",,"$4,587.91","-$1,051.05",-30%,Ertan Cicek,Direct Award,07/12/2017,,15/12/2017,8d
A417 New Devs,A417 Greenfield MDU,Sydney West,Mickey Tran,Inv 14211,09/10/2018,05/09/2018,05/09/2018,05/09/2018,25/09/2018,19/09/2018,09/10/2018,Sep-18,Oct-18,,MW21570-AYCA-1L7010  - 2LID-08 - Mixed Use Development - Tower A and B,Auburn,"$2,066.42","$8,430.59","$10,497.01"," $	11,546.71 ","$4,673.01",,"$4,673.01","$5,824.00",55%,Ertan Cicek ,Direct Award,12/12/2017,,04/01/2018,23d
A417 New Devs,A417 Greenfield MDU,Sydney West,Dane Harrington,Inv 14932,10/04/2019,20/02/2019,20/02/2019,27/02/2019,26/03/2019,09/04/2019,11/04/2019,Feb-19,Apr-19,,MW21705-AYCA-468RZY-2LID-04-23 RAILWAY PARADE - Ext,Lidcombe,$671.72,"$2,114.60","$2,786.32"," $	3,064.95 ",,,$0.00,"$2,786.32",100%,Nabeel Jaimon,Direct Award,04/01/2018,,15/02/2018,42d
