Count of Project Status,Column Labels,,,,,,,,,,,
Row Labels,Apr-18,Aug-18,Jul-18,Jun-18,Mar-18,May-18,(blank),Sep-18,Oct-18,Nov-18,Grand Total,
Completed,13,29,32,33,2,32,20,29,10,13,213,
Developer Delay,,,,,,,59,,,,59,
Heritage Delay,,,,,,,2,,,,2,
In Construction,,,,,,,19,,,,19,
In Design,,,,,,,4,,,,4,
NBN Delay,,,,,,,8,,,,8,
NBN External Delay,,,,,,,1,,,,1,
NBN Internal Delay,,,,,,,2,,,,2,
Parent Site Delay,,,,,,,3,,,,3,
Pre-construction,,,,,,,19,,,,19,
Site Visit,,,,,,,36,,,,36,
Site Visit ,,,,,,,1,,,,1,
Survey and Design,,,,,,,1,,,,1,
Site Viit,,,,,,,1,,,,1,
(blank),,,,,,,,,,,,
Complete,,,,,,,1,,,,1,
Ste Visit,,,,,,,1,,,,1,
Site Vist,,,,,,,1,,,,1,
Council Delay,,,,,,,1,,,,1,
Grand Total,13,29,32,33,2,32,180,29,10,13,373,
