Request ID,Name,Application Name,Active Status,Application Status,No. of Premises,Technology Deployed,State,Suburb,Address,Post Code,Finance Project Number,Build Type(s),Estimated First Service Connection Date,Pathway Design Status,Trans / Dist NDD Status,Trans / Dist Contract Type,Trans / Dist Order Status,Trans / Dist WR/WI Issued Date,CLAAN Status,NBN Co Project Manager (Trans / Dist),Supplier (Trans / Dist)
AYCA-476RM9,2LIV-04,"Non Standard Builds - 87-91 Campbell St,",Active,Dev Transferred to Build,76,,NSW,Liverpool,87-91 Campbell St,2170,159520,B + E,2/15/17,,Reservation Response Received,MWA - RFQ,WI Issued,9/21/17 12:00,,Andrew Mahasay,Datateks
AYCA-4QG9AV,2KIA-02,Non Standard Builds - 33 Shoalhaven St K,Active,Dev Transferred to Build,12,FTTP – Type 2,NSW,Kiama,33 Shoalhaven St,2533,174993,B + E,9/8/17,,Reservation Response Received,MWA - RFQ,WI Issued,2/23/18 12:00,,Andrew Mahasay,Datateks
AYCA-4TBHNX,2SHH-05,Non Standard Builds - 125 Lake Entrance,Active,Dev Transferred to Build,18,FTTN,NSW,Barrack Heights,"125 Lake Entrance Road,",2528,169541,B + E,10/4/17,,Completed (No Telstra Duct),MWA - RFQ,WI Issued,2/15/18 12:00,,Mark Leal,Datateks
AYCA-4EIN5M,2KCL-02,171 Casuarina Way Pty Ltd - 1,Active,Supply Order Raised,17,FTTP – Type 2,NSW,Casuarina,Lot 171 Casuarina Way,2487,159992,B + E,3/23/18,Design Accepted,Completed (No Telstra Duct),MWA - SOPR,WI Issued,10/19/17 12:00,,Ertan Cicek,Datateks
AYCA-52381N,2SUX-01,David Kirkwood - 1,Active,Supply Order Raised,4,FTTN,NSW,Sussex Inlet,284 River Rd,2540,180917,B + E,5/1/18,Design Accepted,Completed (No Telstra Duct),MWA - RFQ,WI Issued,6/12/18 12:00,,Ertan Cicek,Datateks
AYCA-57CH4J,2CRO-01,KURNELL 1 - 4,Active,Supply Order Raised,5,FTTP – Type 3 (MT-LFN),NSW,Kurnell,8/268A Captain Cook Dr,2231,181281,B + E,5/1/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,6/28/18 12:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-4MNF1P,2NRN-10,Gregory Hill Health Hub - 0,Active,Supply Order Raised,29,FTTP – Type 3 (MT-LFN),NSW,Gregory Hills,Gregory Hills Dr,2557,178033,B + E,5/19/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,4/24/18 12:00,,Nabeel Jaimon,Datateks
AYCA-5DBDK2,2ABN-03,"8 Werrang St, Albion Park Rail NSW 2527,",Active,Developer Contract Signed,4,FTTN,NSW,Albion Park Rail,8 Werrang Street,2527,183801,B + E,6/1/18,Design Accepted,Completed (No Telstra Duct),MWA - RFQ,Recommendation Endorsed,,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-5DPOWN,2APN-01,"13 Technology Dr, Appin NSW 2560, Austra",Active,Supply Order Raised,4,FTTP – Type 3 (MT-LFN),NSW,Appin,13 Technology Drive,2560,183808,B + E,6/1/18,Design Accepted,Reservation Response Received,MWA - SOPR,WI Issued,6/20/18 12:00,CLAAN Sent to DP,Ertan Cicek,Datateks
AYCA-5F1RYP,2EDG-66,"114 New South Head Road, Edgecliff - 1",Active,Supply Order Raised,8,FTTP – Type 3 (MT-LFN),NSW,Edgecliff,114 New South Head Road,2027,183814,B + E,6/1/18,,Reservation Response Received,MWA - SOPR,WI Issued,6/22/18 12:00,CLAAN Sent to LASE,Ertan Cicek,Datateks
