RequestID,Application Name,,,
AYCA-1XN8L5,"9 Affleck Circuit, 9 Affleck Circuit, NSW 2155",,,
AYCA-21PVTM,5 Second Avenue,,,
AYCA-24QAXK,"10 Martin Avenue, Arncliffe",,,
AYCA-26KP9Q,Caddies Boulevarde and White Hart Drive,,,
AYCA-2HEWWI,"337-339 Beamish Street, Campsie, NSW 2194 ",,,
AYCA-2I98H3,113-117A Wigram St23-29 Hassall St ,,,
AYCA-2LCFXK,"Skyview - 1 - 248-252 Liverpool Road, Enfield",,,
AYCA-2M3M8J,"72-84 Empire Circuit, Penrith, NSW 2750",,,
AYCA-2Q0B3G," 148-150 Great Western Hwy, Westmead, NSW, 2145",,,
AYCA-2RG791,"15-19 Toongabbie Rd , Toongabbie, NSW, 2146 - Mixed used",,,
AYCA-2T05DV,752 George St South Windsor NSW 2756,,,
AYCA-2V9V2D,"2 Cowan Road & 540A-542 Pacific Highway, Mount Colah, 2079",,,
AYCA-2XJBL7,3 Olympic Blvd Sydney Olympic Park ,,,
AYCA-30GQWB,"16-20 Withers Rd, Kellyville, NSW- 2155",,,
AYCA-31DCKF,"18-20 Neild Avenue, Darlinghurst",,,
AYCA-33L9HP,Restwell & Leonard St,,,
AYCA-34MTV2,"133 Parramatta Rd, Homebush, NSW, 2140",,,
AYCA-35DF0W,1A & 1B President Road,,,
AYCA-35V4R1,"208-214 Parramatta Rd, Homebush, NSW 2140",,,
AYCA-397TA7,"6-8 Painters Lane, Terrigal",,,
AYCA-39AB50,"JAAN – 1
12-14 Bouvardia St",,,
AYCA-3AVVT5,"70 seventeenth Avenue, Austral, NSW 2179",,,
AYCA-3CIGB0,"1-3 Balmoral St, Waitara, NSW 2077",,,
AYCA-3D0J11,"15-21 Willis St, Wolli Creek",,,
AYCA-3E5O97,Hancy - 85-89 Samantha Riley Drive,,,
AYCA-3G1TZ6,"9-17 Eastern Rd, Turramurra, NSW 2074",,,
AYCA-3JJIX9,"13-21 University Rd and 1-5 Pinnacle St, Miranda, NSW, 2228",,,
AYCA-3NFID7,Tench Ave Jamisontown – 1,,,
AYCA-3O1ZGP,"4-6 Elger St, Glebe, NSW 2037",,,
AYCA-3O2CEB,"5 Elger St, Glebe, NSW- 2037",,,
AYCA-3S7B4B,University of Technology Sydney,,,
AYCA-413Z64,"2B Darcy Road, Westmead",,,
AYCA-41DSOU,"38 Hezlett Road, Kellyville, NSW- 2155",,,
AYCA-41DY76,38 Hezlett Road Kellyville NSW,,,
AYCA-42HX6R,"34-42 Spring St, Bondi Junction, NSW2022",,,
AYCA-42N8QF,38 Macklin Street,,,
AYCA-43APKG,"6-14 Cosgrove Road, Strathfield, NSW 2136",,,
AYCA-44H3AU,13 Marshall Avenue St Leonards NSW 2065,,,
AYCA-44MH0G,133-137 Bowden Street,,,
AYCA-45LS90,"8 Withers Rd, Kellyville, NSW- 2155",,,
AYCA-45U68U,"5 CULLEN AV, JORDAN SPRINGS, NSW, 2747",,,
AYCA-468RZY,23 Railway Parade,,,
AYCA-468RZY,23 Railway Parade- Internals,,,
AYCA-476RM9,87-91 Campbell Street Liverpool,,,
AYCA-47OO3O,188 Moore Street,,,
AYCA-47STWW," 130 Elizabeth St, Sydney, NSW 2000",,,
AYCA-48280D,906 Bourke Street - THE RESERVE,,,
AYCA-48HHL8,"22 University Rd & 660-664 Kingsway, Miranda",,,
AYCA-48OYT0,240 New South Head Road Edgecliff NSW 2027,,,
AYCA-48S696,3-7 Wallace Street,,,
AYCA-49OZC4,257 Oxford St – 1,,,
AYCA-4BA1DQ,"3 Rowe Drive Potts Hill, NSW 2143",,,
AYCA-4BBYMK,"184 & 186 Old Pitt Town Rd Box Hill, NSW 2765",,,
AYCA-4BC75L,"Fairwater Boulevarde, Blacktown",,,
AYCA-4C0Z5Y, Hamptons - Rose Bay - 1 ,,,
AYCA-4CG9U4,"Dunning Avenue, Roseberry",,,
AYCA-4DBFGM,"87 Parramatta Rd, Camperdown, NSW 2050",,,
AYCA-4DQ6PX,645 Cobbitty Road - 3,,,
AYCA-4DQ9I8,645 Cobbitty Road - 2,,,
AYCA-4EITU0,The Pinnacle - 100 Castlereagh Street,,,
AYCA-4EZRCH,"1-3 Higherdale Avenue, Miranda",,,
AYCA-4F75OS,"66-68 Cambridge St, Blacktown, Blacktown 2148 ",,,
AYCA-4JM0L9,CINQUE - 50-52 East St,,,
AYCA-4KBL5R,14-18 Primrose Ave & 27-29 Roseberry Ave Rosberry NSW 2018,,,
AYCA-4KKMW0,"55 Foxall Road, Kellyville, NSW- 2155",,,
AYCA-4KNB05,"20 Myrtle St, Teralba, NSW- 2284 ",,,
AYCA-4KZ476,38-40 Doonmore St - Penrith 1,,,
AYCA-4L1IJG,"19 Gregory St South West Rocks, NSW 2431",,,
