Company,Invoice No,Date of Invoice,Payment Month,Client,FSAM / Job,FDA,Cat,Amount
Arboreport Vegetation Management,Inv arb01955,21/01/2019,04/02/2019,NBN Co,NBN A417,MW417R001505-AYCA-4ZNBL1-2EPP-60-The Gateway on Pembroke Epping DFN,NBN New Devs DFN HFC,$800.00
Nintey Nine Group,Inv 552,29/04/2018,13/05/2018,NBN Co,NBN Project Fusion,MW417R000169-2MIR-29-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$3,000.00"
Hunter West Civil & Data,Inv 0008,03/05/2018,30/06/2018,NBN Co,NBN A401,MW21756-AYCA-3K4RCM-2RIV-03-Marsden Park Tonzat Development - 2,NBN New Devs,"$9,927.23"
Hunter West Civil & Data,Inv 0009,03/05/2018,30/06/2018,NBN Co,NBN A417,MW21704 - AYCA-4RDSRL - 2BLK-12-bedford gardens - 1,NBN New Devs,"$1,294.92"
Hunter West Civil & Data,Inv 0010,03/05/2018,30/06/2018,NBN Co,NBN A417,"MW21637-AYCA-4OHMS3 - 2BLK-07 -35 Holbeche road, Arndell Park - EXT",NBN New Devs,$703.20
Nintey Nine Group,Inv 553,12/05/2018,26/05/2018,NBN Co,NBN Project Fusion,MW417R000172-2MON-25-STELLAR NPDL_MWR (A417)-Mona Vale,NBN Project Fusion,"$9,760.00"
Altus,Inv 161363,13/05/2018,30/06/2018,NBN Co,VPL New Devs,VPL New Devs - 2PET-69-AYCA-3G34XT,NBN New Devs,"$1,954.03"
Michael Gale,Inv 116105,14/05/2018,30/06/2018,NBN Co,NBN A417,MW22223-AYCA-4S0RD5-2RIV-03-14 Argowan Rd Schofields,NBN New Devs,"$1,443.94"
Michael Gale,Inv 116105,14/05/2018,30/06/2018,NBN Co,NBN A417,"MW22314-AYCA-4A5XPU-2BLK-11-29 Norfolk Street, Blacktown",NBN New Devs,$306.40
Michael Gale,Inv 116105,14/05/2018,30/06/2018,NBN Co,NBN A417,"MW22091-AYCA-4MNF1P-2NRN-10-11 & 15 Holborn Circuit, Gregory Hills ",NBN New Devs,"$2,423.00"
L&M Trenchless,Inv 4157A,15/05/2018,30/06/2018,NBN Co,NBN A401,MW22100 - AYCA-4QBUIV - 2KTB-02 -  NSB - Letitia St Katoomb,NBN New Devs,"$12,047.70"
L&M Trenchless,Inv 4158A,15/05/2018,30/06/2018,NBN Co,NBN A401,MW22100 - AYCA-4QBUIV - 2KTB-02 -  NSB - Letitia St Katoomb,NBN New Devs,"$1,298.75"
Nintey Nine Group,Inv 554,18/05/2018,01/06/2018,NBN Co,NBN Project Fusion,MW417R000170-2MIR-22-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$11,080.00"
Qubicon,Inv 568,21/05/2018,30/06/2018,NBN Co,NBN A417,MW22366-AYCA-117I3H-2RIV-01-34 Station Street Schofields,NBN New Devs,"$4,548.67"
Qubicon,Inv 569,21/05/2018,30/06/2018,NBN Co,NBN A401,MW22333 - AYCA-54SUCD - 2PKE-06 - Warehouse Pl Berkeley,NBN New Devs,"$1,960.00"
Comms Connect,Inv 10498,23/05/2018,30/06/2018,NBN Co,NBN A401,"MW22011-AYCA-4GRO21-2RTC-20-55 Kingston Parade, Heatherbae",NBN New Devs,"$5,405.07"
Comms Connect,Inv 10497,23/05/2018,30/06/2018,NBN Co,NBN A401,"MW22196 - AYCA-4VVND3 - 2ORG-01 - 258 CLERGATE RD, ORANGE",NBN New Devs,"$8,266.83"
Nintey Nine Group,Inv 556,24/05/2018,07/06/2018,NBN Co,NBN Project Fusion,MW417R000174-2MIR-26-STELLAR NPDL_MWR (A417)-Miranda,NBN Project Fusion,"$15,304.00"
Paramount Telecom,Inv 092,25/05/2018,30/06/2018,NBN Co,NBN A401,MW21097 - 2LIV-04 - AYCA-476RM9 - NSB - 87-91 Campbell St Build,NBN New Devs,$300.00
Paramount Telecom,Inv 092,25/05/2018,30/06/2018,NBN Co,NBN Minor Works,MW21456 - 2BLK-07-16 - 51 Huntingwood Drive,NBN Minor Works,$600.00
Global Elite technologies   ,Inv 118,26/05/2018,30/06/2018,NBN Co,NBN A417,MW22223-AYCA-4S0RD5-2RIV-03-14 Argowan Rd Schofields,NBN New Devs,"$1,713.10"
Global Elite technologies   ,Inv 118,26/05/2018,30/06/2018,NBN Co,NBN A417,MW22208-AYCA-4PWSOZ- 2KEL-07-1B Fairway Dr Kellyville,NBN New Devs,"$1,203.80"
Global Elite technologies   ,Inv 118,26/05/2018,30/06/2018,NBN Co,VPL New Devs,VPL New Devs - 2NRN-05-AYCA-4B5K39,NBN New Devs,$443.04
Global Elite technologies   ,Inv 118,26/05/2018,30/06/2018,NBN Co,NBN A401,"MW22288-AYCA-4R7UP6-2MIL-04-40 Government Rd, Hinchinbrook",NBN New Devs,"$1,143.61"
