RequestID,EFSCD,Project Status,Comments:
AYCA-117I3H,,Completed,
AYCA-1L7010,,Completed,"18/05 - Internal PDH Dependent - waiting on PDH
06/08 - No change
10/08- Ertan advises PDH to be installed late August"
AYCA-1SQ3K5,28/02/2019,Heritage Delay,"26/07-On hold per Heritage issue
26/07: No change
03/08 - no change
25/10- NBN to meet with council next week
06/12- Soon to commence
28/03- Hauling and splicing remaining, waiting for LAANs
28/05- Waiting for new LAANs to haul and splice
31/05- No change"
AYCA-1WRX9J,,Completed,31/08 - Require site visit - check road crossings if linked and FDH pon patching only
AYCA-21PVTM,06/04/2019,Developer Delay,"06/07 foreman thinks he will start building comms room next week, pathway not started, he is unsure of LIC location and needs to speak with electrician. contact Moey 0481194966.
17/07- Could not contact developer
18/07- Developer advised call in another two weeks 
03/08- Developer advised call in another 2 weeks
23/08- Developer advises atleast another 2 weeks. 
05/09- Unable to contact 
07/09 - Another 2 weeks
21/09 - Developer confirmed will be ready by 16/10
19/10- Unable to contact
14/03- Unable to contact
28/03- Requested alternate contact, developer being non-responsive"
AYCA-33L9HP,,Developer Delay,"29/06 - Site not ready, still few months out per dev from 04/05. 6 pit require upgrade, badly damage and requires to be linked up. Follow up required
26/07: No change
03/08 - no change
15/08- Requires follow up
31/08 - Advised site lead-in will be ready to commence WS 03/09. Require to confirm Monday. Splicing schedule WS 10/09
07/09 - Scheduled civils WS 10/09 and splicing later in week
14/09 - Concrete slab, no structure... postponed by dev
09/11- likely to be terminated
16/11- Still awaiting a response from Ertan
22/11- On hold
14/03- Project possibly terminated, waiting for confirmation"
AYCA-24QAXK,10/05/2019,Completed,"06/07 - Waiting for PDH Installation to complete haul, hauled to lead-in pit
26/07: No change
03/08 - no change"
AYCA-35DF0W,,Developer Delay,"06/07 - Site fenced with no building, base or structure per visit 04/04. Not ready. Incorrect EFSCD
16/07 - RRP and hauled cable from A END up to lead-in pit outside, left 100m coil for internal haul.
26/07: No change
03/08 - no change
28/03- Project on hold"
AYCA-2CVKCU,,Completed,
AYCA-2EBL4P,,Completed,
AYCA-2HEWWI,30/04/2019,Completed,"12/03- Developer has installed lead in not to depth
22/03- Scheduled for splicing WS 01/04"
AYCA-4SBJVB,,Site Visit,15/04- Site not even demolished yet
AYCA-52UVXU,,Site Visit,"11/12- Dependent project in service date 29/03/2019
02/03- Civils complete, waiting on A end
28/05- PC pushed to mid June for dependent site"
AYCA-2LIFV6,,Completed,
AYCA-2M3M8J,,Completed,"26/10- Need to attend site again once developer moves spoil to prove road crossing. Likely to drop a pit over existing in front of development
08/11- Scheduled for Monday
16/11- LAANs submitted, waiver applied for
01/12- Amy Dunbar 047327958 0402105874amy.dunbar@penrith.city"
AYCA-2Q0B3G,,Completed,"06/07 - Cancelled due to condition of lead-in, scaffold in the way. Waiting for dev to remove scaffolding before lead-in complete. Should be within 2 weeks from 29/06
12/07- Developer has not answered phone calls the last 2 attempts
13/07- Developer still not answering or returning calls
17/07 -  Developer advises scaff down early next week and will call as soon as it happens 
24/07- Developer has pushed out the end date again. could not give me a time frame 
26/07: scaffolding should be down end of this week. Waiting for contact from the developer. assuming start construction 01/08
27/07- ROL extended
02/08 - no change. waiting for developer to give us confirmation
09/08- Developer double booked work in our area, could not start civils until lunch time 
10/08-  Splicing scheduled week starting 13/08
15/08- Developer renigged on parking access, further delay for splicing"
AYCA-2RG791,19/01/2019,Completed,"19/09-  Dependant on Visionstream project. with EFSCD 28/09/2018
20/09 - Emailed Ertan regarding dependency site, ordered materials
26/09 - Issue with dependency site, Ertan requested to tap from different A END
04/10 - Require new materials ordered, LAANs start 22/10
05/10 - Ordered materials additional due to new scope plus LAANs commencement 22/10
25/10- Give Ertan dates as soon as we RRP
09/11- Cables hauled, DJL installed, waiting on NBN confirmation of CTL location, and what to do about lead in installed by developer
15/11- No change, Advised to leave pit as is
22/11- Internal contract not yet released. 
29/11- ETA for internals 2 weeks
14/12- Internals complete
18/01- Complete, pending new workbook"
AYCA-26L0VY,04/11/2020,Site Visit,"08/05- Council response to LAANs stipulates need ROL, not give out until after 31st July."
AYCA-2V9V2D,29/03/2019,Completed,"06/07 - Ordered materials, require site visit
26/07: No change
03/08 - no change
12/10- Developer will contact next week with a progress update
18/10- Developer advises hopefully ready in two weeks. follow up next friday 
25/10- Still not ready advised to call back tomorrow for update
26/10- Unable to contact
08/11- Still a while away from internal pathways being ready
14/12- Scope first  week back next year to organise lead in with developer
18/01- Civils complete
15/02- Scheduled week starting 18/02
01/03 - Booked in Monday 04/03 for hauling alt. route, splicing all ready after"
AYCA-2XJBL7,18/01/2019,Completed,"06/07 - Advised by developer site not ready till 2 months away from 20/06. 
26/07: Follow up on the 20th of August
03/08 - no change
23/08- Unable to contact 
30/08- Awaiting SOPA permits, will schedule as soon as received - submitted on 30/08
21/09 - Pending SOPA, but schedule WS 01/10
28/09- Sopa permit valid until November 30
28/09- Awaiting PDH
04/10 - Blockages outside and inside development. Require further investigation and possible civils dig down. Possibly breakout of pavers
05/10 - Blockages, require dig down and further investigation WS 08/10
11/10- Confirm we can use alternate DJL
17/10- no response from NBN, SOPA permit clause does not allow us to work in this area from 17/10-28/10
02/11/- PDH to be installed soon
08/11- Link up not actually done, haul complete"
AYCA-2Y5DX4,,Completed,
AYCA-56Z0PS,30/08/2019,Developer Delay,"07/07 - Site not ready until few months from 06/07. Requires link up between pits. 
26/07: No change. Follow up on early September
03/08 - No change
14/09 - Site on-hold because builder is fired, pushed out
11/10- Unable to contact
12/10- Site has been on hold during handover period to new construction company. Looking at completing inside by late December
23/11- Unable to contact
30/11-Unable to contact"
