ILM List,
Item Number ,Item Description 
10000181,Site Manager IP Camera Fixed Dome High Res
10000182,Site Manager Door Switch Magnetic
10000201,Site Manager RMB-2
10000202,Systems Alarm and Power Distribution Panel Switch 4 Port
10000203,Site Manager Alarm Management Device RMX-3200
10000204,Site Manager Shock Sensor
10000205,Site Manager SiteBus Temp Sensor -55C to +125C
10000206,Multiport Pit Single 1200 Series C5
10000207,Multiport B-Series 4+2 4 050m
10000208,Multiport Series 4
10000209,Multiport 12 port with 5m tail
10000209,Multiport 12 port with 5m tail
10000209,Multiport 12 port with 5m tail
10000210,Active Ethernet Switch Aggregation Line Cards 48 Port
10000211,Active Ethernet Switch Aggregation Line Cards 12 Port
10000212,Active Optical Line Terminal CPU Card
10000213,Active Optical Line Terminal GPON Card
10000221,Site Manager RMM-1400 NO RMB-2 NO WAN
10000222,Zone Terminal 1000m 144F
10000223,Supply -96F Zone Terminal (1000m)
10000224,Closure Gator Repair Kit 12F
10000224,Closure Gator Repair Kit 12F
10000225,Multiport 4 port with 100m tail
10000225,Multiport 4 port with 100m tail
10000226,4F RPX CON2RMT SCA326 25m
10000226,4F RPX CON2RMT SCA326 25m
10000227,FDH Cabinet Indoor 72F
10000228,Multiport 8 port with 25m tail
10000229,Multiport 8 port with 75m tail
10000229,Multiport 8 port with 75m tail
10000229,Multiport 8 port with 75m tail
10000230,F/PRS Joint Enclosure 144F
10000231,F/PRS Joint Enclosure 312F
10000232,FDH Splitter 1:32 Type 2 CORNING Pre DF up to 3 splitters
10000232,FDH Splitter 1:32 Type 2 CORNING Pre DF up to 3 splitters
10000232,FDH Splitter 1:32 Type 2 CORNING Pre DF up to 3 splitters
10000232,FDH Splitter 1:32 Type 2 CORNING Pre DF up to 3 splitters
10000233,FDH Cabinet 200m tails 288F
10000234,Cable Underground 200m 12F
10000235,Cable Underground 700m 12F
10000241,Site Manager 19inch Rack Camera Bracket
10000242,Site Manager 1RU 21inch Extension Bracket
10000243,Site Manager Tiebar for 19inch racks
10000244,Site Manager Cat 5 with RJ45 connectors 5m
10000245,Site Manager Dual Feed 48VDC Power Kit
10000246,Cable Aerial Stranded Overmould 12F
10000247,Cable Aerial Stranded Overmould Dual
10000248,Site Manager Ancillary Installation Material per Rack
10000249,Cable Aerial Stranded Factory Terminated 144F
10000250,Cable Aerial Stranded Factory Terminated 312F
10000251,Cable Aerial Stranded Factory Terminated 72F
10000252,Cable Aerial Stranded Factory Terminated 216F
10000253,Cable Aerial Stranded Factory Terminated 288F
10000254,to be reused
10000255,Cable 312F ADSS
10000261,Cable Underground Stranded 312F
10000281,Active Ethernet Switch Aggregation 7 Slot
10000282,Active Ethernet Switch Aggregation 12 Slot
10000321,Site Manager cable serial 5m RJ45 Connectors
10000341,NTD Internal
10002129,Site Manager Connector D type
10002130,Site Manager Camera Bracket 1RU 19 inch rack
10002131,Site Manager Extension Bracket 1RU 19 inch unit in 21 inch rack
10002132,Site Manager 2 Pair Alarm Cable 2m
10002133,Site Manager 2 Pair Alarm Cable 5m
10002134,Site Manager 2 Pair Comms Cable 100m Roll
10002135,Site Manager 3 slot Flexible Expansion Unit
10002136,Site Manager 3Phase AC Meter Kit
10002137,Site Manager 4 pair CAT 5e Cables 305m Roll
10002138,Site Manager 40 Degree Angle Bracket
10002139,Site Manager 8 10/100 Ethernet Port Expansion Module
10002140,Site Manager 8 10/100 Serial Expansion Module
10002141,Site Manager 64 in 12 out analog expansion module
10002142,Site Manager Covert IP Camera
10002143,Site Manager IP Camera Fixed Dome Normal Res
10002144,Site Manager Bag of RJ45 Connectors and Boots
10002145,Site Manager Blank Cover for RME1000
