3-Jun,FTTB Cabinets, , , 
06-03-00-01/01-01,Installation of an internal small FTTB Cabinet,Per FTTB Cabinet,FTTX,"$2,774.24 "
06-03-00-02/01-01,Installation of an internal medium FTTB Cabinet,Per FTTB Cabinet,FTTX,"$3,316.87 "
06-03-00-03/01-01,Installation of an internal large FTTB Cabinet,Per FTTB Cabinet,FTTX,"$3,859.50 "
06-03-00-04/01-01,Extra over rate for supply and install AC power cable for FTTB Cabinet,Per linear metre,FTTX,$11.84 
06-03-00-05/01-01,Extra over rate for supply and install earth cable for FTTB Cabinet,Per linear metre,FTTX,$22.58 
06-03-00-06/01-01,Supply and install new service earth bar,Per service earth bar,FTTX,$178.46 
06-03-00-07/01-01,Supply and install new service earth stake (earth stake provided),Per service earth stake,FTTX,$152.11 
06-03-00-08/01-01,"Extra over rate for the installation of a copper cable sheaths from main distribution frame to FTTB Cabinet, via riser, shaft or cable tray",Per linear metre,FTTX,$9.44 
06-03-00-09/01-01,"Extra over rate for the installation of copper cable sheaths via ceiling space, floor cavity or crawl space",Per linear metre,FTTX,$7.56 
06-03-00-10/01-01,Install a 10 pair MDF terminal block,Per 10 pair MDF terminal block,FTTX,$53.35 
06-03-00-11/01-01,Install a 100 pair MDF terminal frame,Per 100 pair MDF terminal frame,FTTX,$106.72 
