SCHEDULE 2a - LABOUR AND CONSTRUCTION SCHEDULE OF RATES(Minor Works),,,,
,,,"Sydney 
Metro",
,,,,
Item ID,Item Description,Unit of Measure (UoM),,
02-02-01-01,Supply and install 1 x P50 PVC pipe in open trench in OTR (Other Than Rock),Per metre, $	30.64 ,
02-02-01-02,Supply and install 1 x P100 PVC pipe in open trench in OTR (Other Than Rock),Per metre, $	33.59 ,
02-02-01-08,Supply and install 1 x P50 PVC pipe in open trench in Rock,Per metre, $	88.62 ,
02-02-01-09,Supply and install 1 x P100 PVC pipe in open trench in Rock,Per metre, $	104.44 ,
02-02-01-15,"Extra over for all pipe size road crossings kerb to kerb (OTR), this extra over applies to 02-02-01-01 to 02-02-01-07.",Per metre, $	63.13 ,
02-02-01-16,"Extra over for all pipe size road crossings kerb to kerb (Rock), this extra over applies to 02-02-01-08 to 02-02-01-14.",Per metre, $	85.73 ,
02-02-02-01,Supply and install 1 x P50 (63 OD) pipe using boring techniques in OTR (Other Than Rock) less than 250m,Per metre, $	42.71 ,
02-02-02-02,Supply and install 1 x P100 (110 OD) pipe using boring techniques in OTR (Other Than Rock) less than 250m,Per metre, $	67.88 ,
02-02-02-05,Supply and install 1 x P50 (63 OD) pipe using boring techniques in Rock less than 250m,Per metre, $	202.76 ,
02-02-02-06,Supply and install 1 x P100 (110 OD) pipe using boring techniques in Rock less than 250m,Per metre, $	267.62 ,
02-02-03-01,Supply and install 1 x P50 PVC pipe in open trench provided and reinstated by others,Per metre, $	8.18 ,
02-02-03-02,Supply and install 1 x P100 PVC pipe in open trench provided and reinstated by others,Per metre, $	10.47 ,
02-02-04-01,Supply and install pipe seal 50mm (Tyco product Jackmoon),Each seal, $	47.68 ,
02-02-04-02,Supply and install pipe seal 100mm (Tyco product Jackmoon),Each seal, $	52.14 ,
02-02-04-05,Supply and install pipe seal of TDUX 50mm,Each Seal, $	50.90 ,
02-02-04-06,Supply and install pipe seal of TDUX 100mm,Each Seal, $	54.44 ,
02-02-04-07,Removal of TDUX (50mm or 100mm),Each seal, $	30.24 ,
02-03-01-01,Installation only of small pits at new locations in OTR (Other Than Rock),Each pit, $	210.74 ,
02-03-01-02,Installation only of medium pits at new locations in OTR (Other Than Rock),Each pit, $	292.97 ,
02-03-01-03,Installation only of large pits at new locations in OTR (Other Than Rock),Each pit, $	545.62 ,
02-03-02-01,Extra over for excavation in Rock for pit and manhole installations,Per cubic metre, $	132.73 ,
02-03-03-01,Installation only of small pits with excavation and reinstatement provided by others (i.e. new development),Per Pit, $	104.90 ,
02-03-03-02,Installation only of medium pits with excavation and reinstatement provided by others (i.e. new development),Per Pit, $	135.14 ,
02-03-03-03,Installation only of large pits with excavation and reinstatement provided by others (i.e. new development),Per Pit, $	294.84 ,
02-03-04-01,Installation only of small pits over existing infrastructure in OTR (Other Than Rock),Each Pit, $	285.86 ,
02-03-04-02,Installation only of medium pits over existing infrastructure in OTR (Other Than Rock),Each Pit, $	489.20 ,
02-03-04-03,Installation only of large pits over existing infrastructure in OTR (Other Than Rock),Each Pit, $	992.52 ,
02-04-01-01,Core bore concrete – 50mm diameter hole,Per 100mm depth, $	142.81 ,
02-04-01-02,Core bore concrete – 100mm diameter hole,Per 100mm depth, $	156.92 ,
02-04-01-03,Core bore concrete – 20mm diameter hole,Per 100mm depth, $	87.32 ,
02-04-01-04,"Extra over to be used in conjunction with 02-04-01-01, core bore concrete 
– 50mm diameter hole per additional 100mm depth",Per 100mm depth, $	69.66 ,
02-04-01-05,"Extra over to be used in conjunction with 02-04-01-02, core bore concrete 
– 100mm diameter hole per additional 100mm depth",Per 100mm depth, $	69.66 ,
02-04-01-06,"Extra over to be used in conjunction with 02-04-01-03, core bore concrete 
– 20mm diameter hole per additional 100mm depth",Per 100mm depth, $	54.05 ,
02-06-01-02,"Breakout surface material, concrete (reinforced or unreinforced) up to 150mm thick",Per square metre, $	67.24 ,
