Schedule of Rates Pricing,,,
Respondent,Datateks,,
Note:,,,
"1.   Where the Delivery Partner intends to provide pricing, the Delivery Partner must price in all Regions within the State & sectioned columns",,,
2.   All Schedule of Rates items are to be priced where the Delivery Partner intends to provide Region & State pricing,,,
3.  The SOR item shall be quoted exclusive of margin and a value shall be stated in all yellow cells with the exception of Quotable items and provisional sums,,,
,,Regions >>>,NSW Regional North
Item ID,Item Description,Unit of Measure (UoM),Total per Unit ($/UOM)
PD,PLANNING & DESIGN,,
PD-01-01,FTTP Planning,,
PD-01-01-01,Provision for planning for a FTTP design,Per Work Order," $	1,560.30 "
PD-01-02,FTTN Planning,,
PD-01-02-01,Provision for planning for a FTTN design,Per Work Order," $	1,560.30 "
PD-01-03,FTTB Planning,,
PD-01-03-01,Provision for planning for a FTTB design,Per Work Order," $	1,224.30 "
PD-01-04,HFC Planning,,
PD-01-04-01,Provision for planning for a HFC design,Per Work Order," $	1,560.30 "
PD-01-05,FTTC Planning,,
PD-01-05-01,Provision for planning for a FTTC design,Per Work Order," $	1,560.30 "
PD-01-06,Point to Point Planning,,
PD-01-06-01,Provision for planning for a Point to Point design,Per Work Order," $	1,392.30 "
PD-02,Design - Construction/New Build,,
PD-02-02,For Construction Design,,
PD-02-02-01,Pre-Work Order release survey,Per Work Order, $	940.80 
PD-02-02-02,"Provision for design services for Work Orders less than or equal to $2,000",Per Work Order, $	947.62 
PD-02-02-03,"Provision for design services for Work Orders greater than $2,000 and less than or equal to $5,000",Per Work Order," $	1,456.07 "
PD-02-02-04,"Provision for design services for Work Orders greater than $5,000 and less than or equal to $10,000",Per Work Order," $	2,416.67 "
PD-02-02-05,"Provision for design services for Work Orders greater than $10,000 and less than or equal to $20,000",Per Work Order," $	3,724.14 "
PD-02-02-06,"Provision for design services for Work Orders greater than $20,000 and less than or equal to $50,000",Per Work Order," $	7,019.70 "
PD-02-02-07,"Provision for design services for Work Orders greater than $50,000",Per Work Order," $	9,573.89 "
PD-05,Pre-Construction Review,,
PD-05-01,Pit & Pipe Inspection,,
PD-05-01-01,Pit and Pipe inspection for certification of Third Party Works,Per Pit, $	94.66 
CW,CIVIL WORKS,,
CW-01,Conduit,,
CW-01-01,Install Conduit,,
CW-01-01-01,Supply and install underground pipe with an internal diameter of more than 25mm and equal to or less than 50mm by any means in other than Rock,Per linear metre, $	94.66 
CW-01-01-02,Supply and install underground pipe with an internal diameter of greater than 50mm by any means in other than Rock,Per linear metre, $	122.45 
CW-01-01-03,Extra over for supply and install an additional underground pipe in an existing trench with an internal diameter of greater than 25mm,Per linear metre, $	25.01 
CW-01-01-04,Extra over for supply and install an additional underground pipe by boring technique with an internal diameter of greater than 25mm,Per linear metre, $	69.26 
CW-01-01-05,Supply and install riser on pole or building,Per riser, $	225.81 
CW-01-02,Rock,,
CW-01-02-01,Extra over rate for the supply and install of pipe in Rock by any means,Per linear metre, $	321.11 
CW-02,Pits,,
CW-02-01,Install Pits,,
CW-02-01-01,Supply and installation of small pits (P2) at any locations in other than Rock,Per pit, $	461.67 
CW-02-01-02,Supply and installation of medium pits (P4 and P5) at any locations in other than Rock,Per pit, $	841.78 
CW-02-01-03,Supply and installation of large pits (P6 and P8) at any locations in other than Rock,Per pit," $	1,956.48 "
CW-02-01-04,Supply and installation of extra-large (P9) pits at any locations in other than Rock,Per pit," $	2,885.41 "
CW-02-01-05,Supply and install pit riser,Each pit riser, $	312.33 
CW-02-01-06,Supply and install pit lids,Each pit lids, $	80.89 
CW-02-01-07,Extra over flagfall for composite pit lid replacements in trafficable locations,Per Work Order, $	120.07 
CW-02-02,Rock,,
CW-02-02-01,Extra over rate for the supply and installation of a pit in Rock,Per cubic metre, $	398.48 
CW-02-03,Remove & Dispose Asbestos Contaminated Material (ACM) Pits,,
CW-02-03-01,Removal and disposal of small (P2) ACM Pit,Each ACM Pit," $	1,048.38 "
CW-02-03-02,Removal and disposal of medium (P4 or P5) ACM Pit,Each ACM Pit," $	1,320.31 "
CW-02-03-03,Removal and disposal of large (P6 or P8) ACM Pit,Each ACM Pit," $	2,096.77 "
CW-02-03-04,Removal and disposal of extra large (P9) ACM Pit,Each ACM Pit," $	2,555.44 "
CW-03,Core bore,,
CW-03-01,Core bore,,
CW-03-01-01,Core bore,Each core bore, $	263.74 
CW-04,Direct Buried Cable,,
CW-04-01,Cable Install,,
CW-04-01-01,Installation only of single cable by direct buried techniques by any means,Per linear metre, $	21.95 
CW-04-02,Rock,,
