Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 204741143,CI-01-01-01 - Pipe Proving in Existing duct,13.5
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900720809,CI-01-01-01 - Pipe Proving in Existing duct,114.2
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900720812,CI-01-01-01 - Pipe Proving in Existing duct,23.2
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900720826,CI-01-01-01 - Pipe Proving in Existing duct,85.5
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900720834,CI-01-01-01 - Pipe Proving in Existing duct,52.1
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900720911,CI-01-01-01 - Pipe Proving in Existing duct,48.7
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900720921,CI-01-01-01 - Pipe Proving in Existing duct,28.7
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900720922,CI-01-01-01 - Pipe Proving in Existing duct,81.1
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900720923,CI-01-01-01 - Pipe Proving in Existing duct,73.2
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900720980,CI-01-01-01 - Pipe Proving in Existing duct,49.9
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721002,CI-01-01-01 - Pipe Proving in Existing duct,17.1
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721030,CI-01-01-01 - Pipe Proving in Existing duct,149
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721031,CI-01-01-01 - Pipe Proving in Existing duct,23.9
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721052,CI-01-01-01 - Pipe Proving in Existing duct,94
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721063,CI-01-01-01 - Pipe Proving in Existing duct,152.1
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721082,CI-01-01-01 - Pipe Proving in Existing duct,24
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721119,CI-01-01-01 - Pipe Proving in Existing duct,17.7
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721123,CI-01-01-01 - Pipe Proving in Existing duct,52.1
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721124,CI-01-01-01 - Pipe Proving in Existing duct,16.2
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721138,CI-01-01-01 - Pipe Proving in Existing duct,50
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721139,CI-01-01-01 - Pipe Proving in Existing duct,17.7
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721141,CI-01-01-01 - Pipe Proving in Existing duct,110.9
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721169,CI-01-01-01 - Pipe Proving in Existing duct,121.3
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721191,CI-01-01-01 - Pipe Proving in Existing duct,100.9
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721195,CI-01-01-01 - Pipe Proving in Existing duct,150.6
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721233,CI-01-01-01 - Pipe Proving in Existing duct,104.5
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721236,CI-01-01-01 - Pipe Proving in Existing duct,103.3
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721515,CI-01-01-01 - Pipe Proving in Existing duct,48.8
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721519,CI-01-01-01 - Pipe Proving in Existing duct,37.9
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721550,CI-01-01-01 - Pipe Proving in Existing duct,2.4
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721553,CI-01-01-01 - Pipe Proving in Existing duct,205
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721554,CI-01-01-01 - Pipe Proving in Existing duct,50.6
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721587,CI-01-01-01 - Pipe Proving in Existing duct,8
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-00 | 900721589,CI-01-01-01 - Pipe Proving in Existing duct,8.6
