Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000000900729955,CI-01-01-01 - Pipe Proving in Existing duct,12.90
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000000900729956,CI-01-01-01 - Pipe Proving in Existing duct,44.70
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000000900729958,CI-01-01-01 - Pipe Proving in Existing duct,41.50
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000000900729990-1,CI-01-01-01 - Pipe Proving in Existing duct,21.20
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000000900729990-2,CI-01-01-01 - Pipe Proving in Existing duct,24.00
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077740,CI-01-01-01 - Pipe Proving in Existing duct,25.90
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077741,CI-01-01-01 - Pipe Proving in Existing duct,18.10
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077745,CI-01-01-01 - Pipe Proving in Existing duct,43.70
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077746,CI-01-01-01 - Pipe Proving in Existing duct,32.10
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077747,CI-01-01-01 - Pipe Proving in Existing duct,33.50
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077748,CI-01-01-01 - Pipe Proving in Existing duct,24.40
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077751,CI-01-01-01 - Pipe Proving in Existing duct,26.60
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077752,CI-01-01-01 - Pipe Proving in Existing duct,21.60
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077755,CI-01-01-01 - Pipe Proving in Existing duct,52.20
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077757,CI-01-01-01 - Pipe Proving in Existing duct,38.50
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077759,CI-01-01-01 - Pipe Proving in Existing duct,42.50
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077762,CI-01-01-01 - Pipe Proving in Existing duct,16.60
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077763,CI-01-01-01 - Pipe Proving in Existing duct,24.70
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077764,CI-01-01-01 - Pipe Proving in Existing duct,49.90
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077766,CI-01-01-01 - Pipe Proving in Existing duct,15.70
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077767,CI-01-01-01 - Pipe Proving in Existing duct,31.40
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077769,CI-01-01-01 - Pipe Proving in Existing duct,7.40
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077770,CI-01-01-01 - Pipe Proving in Existing duct,23.80
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077771,CI-01-01-01 - Pipe Proving in Existing duct,63.10
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077772,CI-01-01-01 - Pipe Proving in Existing duct,20.20
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077775,CI-01-01-01 - Pipe Proving in Existing duct,24.70
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077776,CI-01-01-01 - Pipe Proving in Existing duct,41.30
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077784,CI-01-01-01 - Pipe Proving in Existing duct,9.30
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077787,CI-01-01-01 - Pipe Proving in Existing duct,51.30
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077788,CI-01-01-01 - Pipe Proving in Existing duct,8.50
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077789,CI-01-01-01 - Pipe Proving in Existing duct,12.00
Downer - ODM,Downer - ODM Rate Card,2CAS-04,N2P-2CAS-04-06 | 000000001600077792,CI-01-01-01 - Pipe Proving in Existing duct,65.00
