Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSD-302,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,7.015384615
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSD-302,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,7.817142857
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSD-303,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,7.015384615
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSD-303,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,7.817142857
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSD-304,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,7.015384615
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSD-304,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,7.817142857
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSD-305,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,7.015384615
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSD-305,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,7.817142857
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSD-306,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,8.256410256
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSD-306,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,9.2
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSL-641,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,214.6
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSL-641,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,239.1257143
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSL-642,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,378.6410256
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSL-642,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,421.9142857
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSL-643,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,265.6410256
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSL-643,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,296
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSL-644,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,261.0615385
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSL-644,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,290.8971429
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSL-645,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,176.1538462
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSL-645,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,196.2857143
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSL-646,CI-02-01-12O | Installation of 12 fibre cable sheath in occupied underground duct all- inclusive by any means,367.2974359
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-FSL-646,CI-02-01-12V | Installation of 12 fibre cable sheath in vacant underground duct all-inclusive by any means,409.2742857
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-642,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,81
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-642,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,81
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-643,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,105.6388889
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-643,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,105.6388889
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-644,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,174
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-644,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,174
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-645,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,260
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-645,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,260
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-646,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,254
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-646,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,254
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-647,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,133
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-647,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,133
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-648,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,243.9722222
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-648,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,243.9722222
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-649,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,73
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-649,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,73
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-650,CI-02-01-13O | Installation of single fibre cable sheath in occupied underground duct all- inclusive by any means,156
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-22 - Construction,2CAS-22-03-SSS-650,CI-02-01-13V | Installation of single fibre cable sheath in vacant underground duct all- inclusive by any means,156
