Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-65 - Construction,2CAS-65-02-BJL-641,FB-01-01-03 | Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-65 - Construction,2CAS-65-02-BJL-641,FB-03-01-02 | Splicing of single fibre,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-65 - Construction,2CAS-65-02-BJL-641,FB-03-01-04 | De ribbonise 12 fibre ribbon,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-65 - Construction,2CAS-65-02-BJL-642,FB-01-01-03 | Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-65 - Construction,2CAS-65-02-BJL-642,FB-03-01-02 | Splicing of single fibre,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-65 - Construction,2CAS-65-02-BJL-642,FB-03-01-04 | De ribbonise 12 fibre ribbon,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-65 - Construction,2CAS-65-02-BJL-643,FB-01-01-03 | Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-65 - Construction,2CAS-65-02-BJL-643,FB-03-01-02 | Splicing of single fibre,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-65 - Construction,2CAS-65-02-BJL-643,FB-03-01-04 | De ribbonise 12 fibre ribbon,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-65 - Construction,2CAS-65-02-BJL-644,FB-01-01-03 | Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-65 - Construction,2CAS-65-02-BJL-644,FB-03-01-02 | Splicing of single fibre,1
Downer - ODM- N2P Trial,Downer - ODM - N2P Trial Rate Card,2CAS-65 - Construction,2CAS-65-02-BJL-644,FB-03-01-04 | De ribbonise 12 fibre ribbon,1
