Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-01-FJL-001,FB-03-01-04 - De ribbonise 12 fibre ribbon,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-01-FJL-001,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-01-FJL-001,FB-03-01-02 - Splicing of single fibre,6
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-01-FJL-001,FB-04-01-01 - Uni-directional OTDR Testing,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-01-FJL-001,FB-01-04-03 - Installation of splitter within an existing FJL enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-001,FB-03-01-04 - De ribbonise 12 fibre ribbon,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-001,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-001,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-001,FB-03-01-02 - Splicing of single fibre,4
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-002,FB-03-01-04 - De ribbonise 12 fibre ribbon,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-002,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-002,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-002,FB-03-01-02 - Splicing of single fibre,4
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-003,FB-03-01-04 - De ribbonise 12 fibre ribbon,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-003,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-003,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-003,FB-03-01-02 - Splicing of single fibre,4
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-004,FB-03-01-04 - De ribbonise 12 fibre ribbon,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-004,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-004,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-004,FB-03-01-02 - Splicing of single fibre,4
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-005,FB-03-01-04 - De ribbonise 12 fibre ribbon,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-005,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-005,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-005,FB-03-01-02 - Splicing of single fibre,4
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-006,FB-03-01-04 - De ribbonise 12 fibre ribbon,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-006,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-006,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-006,FB-03-01-02 - Splicing of single fibre,4
Downer - Fusion,Downer - Fusion Rate Card,2DUR-24-FLIPB,2DUR-24-02-BJL-007,FB-03-01-04 - De ribbonise 12 fibre ribbon,1
