Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Datateks - MWA,Datateks - MWA Rate Card,2GUI-23 - L0401 Construction,2GUI-23-01-BJL-002,FB-01-02-04 - Prepare Single fibre cable sheath to be connected to fibre joint enclosures,1
Datateks - MWA,Datateks - MWA Rate Card,2GUI-23 - L0401 Construction,2GUI-23-01-BJL-002,FB-01-03-01 - Re-Äêentry into a fibre joint enclosure,1
Datateks - MWA,Datateks - MWA Rate Card,2GUI-23 - L0401 Construction,2GUI-23-01-BJL-002,FB-03-01-02 - Splicing of single fibre (at a BJL or a FJL),1
Datateks - MWA,Datateks - MWA Rate Card,2GUI-23 - L0401 Construction,2GUI-23-01-BJL-005,FB-01-02-04 - Prepare Single fibre cable sheath to be connected to fibre joint enclosures,1
Datateks - MWA,Datateks - MWA Rate Card,2GUI-23 - L0401 Construction,2GUI-23-01-BJL-005,FB-01-03-01 - Re-Äêentry into a fibre joint enclosure,1
Datateks - MWA,Datateks - MWA Rate Card,2GUI-23 - L0401 Construction,2GUI-23-01-BJL-005,FB-03-01-02 - Splicing of single fibre (at a BJL or a FJL),1
Datateks - MWA,Datateks - MWA Rate Card,2GUI-23 - L0401 Construction,2GUI-23-01-DPU-042,FC-01-01-01 - Installation and commissioning of a non‚Äêaerial DPU terminal device,1
Datateks - MWA,Datateks - MWA Rate Card,2GUI-23 - L0401 Construction,2GUI-23-01-DPU-042,FB-04-01-07 - PON Power Meter Test,1
Datateks - MWA,Datateks - MWA Rate Card,2GUI-23 - L0401 Construction,2GUI-23-01-DPU-043,FC-01-01-01 - Installation and commissioning of a non‚Äêaerial DPU terminal device,1
Datateks - MWA,Datateks - MWA Rate Card,2GUI-23 - L0401 Construction,2GUI-23-01-DPU-043,FB-04-01-07 - PON Power Meter Test,1
Datateks - MWA,Datateks - MWA Rate Card,2GUI-23 - L0401 Construction,2GUI-23-02-BJL-010,FB-01-02-04 - Prepare Single fibre cable sheath to be connected to fibre joint enclosures,1
Datateks - MWA,Datateks - MWA Rate Card,2GUI-23 - L0401 Construction,2GUI-23-02-BJL-010,FB-01-03-01 - Re-Äêentry into a fibre joint enclosure,1
