Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-16-SSS-001,CI-02-01-04O - Installation of single fibre cable sheath in Occupied underground,189
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-001,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-002,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-003,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-004,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-005,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-006,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-007,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-008,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-009,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-010,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-011,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-012,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-013,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-014,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-015,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-016,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-017,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-018,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-019,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-020,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-021,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-022,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-023,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-024,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-025,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-026,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-027,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-028,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-029,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-030,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-031,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-032,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-033,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-034,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-035,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-036,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-037,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-038,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-039,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-040,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-041,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-042,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-043,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-044,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-045,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-046,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-047,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-17-CDS-048,FC-03-01-01 - Existing copper drop sheath validation,1
