Client,Rate Card,Project Title,Job Title,Line Item Type,Qty
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-001,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-002,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-003,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-004,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-005,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-006,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-007,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-008,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-009,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-010,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-011,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-012,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-013,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-014,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-015,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-016,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-017,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-018,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-019,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-020,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-021,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-022,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-023,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-024,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-025,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-026,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-027,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-028,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-029,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-030,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-031,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-032,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-033,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-034,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-035,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-036,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-037,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-038,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-039,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-040,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-041,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-042,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-043,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-001,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-002,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-003,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-004,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-005,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-006,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-007,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-008,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-009,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-010,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-011,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-012,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-013,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-014,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-015,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-016,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-017,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-018,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-019,FB-04-01-07 - PON Power Meter Test,1
Downer,Downer - Fusion Rate Card,2KEL-01-FLIP,2KEL-01-18-DPU-020,FB-04-01-07 - PON Power Meter Test,1
