Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-01-BJL-004,FB-01-02-04 - Prepare Single fibre cable sheath to be connected to fibre joint enclosures,1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-01-BJL-004,FB-01-03-01 - Re-Äêentry into a fibre joint enclosure,1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-01-BJL-004,FB-03-01-02 - Splicing of single fibre (at a BJL or a FJL),1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-01-DPU-038,FC-01-01-01 - Installation and commissioning of a non aerial DPU terminal device,1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-01-DPU-038,FB-04-01-07 - PON Power Meter Test,1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-01-DPU-038,FB-04-01-01 - Uni directional OTDR Testing,1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-02-BJL-006,FB-01-02-04 - Prepare Single fibre cable sheath to be connected to fibre joint enclosures,1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-02-BJL-006,FB-01-03-01 - Re-Äêentry into a fibre joint enclosure,1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-02-BJL-006,FB-03-01-02 - Splicing of single fibre (at a BJL or a FJL),1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-02-DPU-036,FC-01-01-01 - Installation and commissioning of a non aerial DPU terminal device,1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-02-DPU-036,FB-04-01-07 - PON Power Meter Test,1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-02-DPU-036,FB-04-01-01 - Uni directional OTDR Testing,1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-03-BJL-002,FB-01-02-04 - Prepare Single fibre cable sheath to be connected to fibre joint enclosures,1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-03-BJL-002,FB-01-03-01 - Re-Äêentry into a fibre joint enclosure,1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-03-BJL-002,FB-03-01-02 - Splicing of single fibre (at a BJL or a FJL),1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-03-DPU-042,FC-01-01-01 - Installation and commissioning of a non aerial DPU terminal device,1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-03-DPU-042,FB-04-01-07 - PON Power Meter Test,1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-03-DPU-042,FB-04-01-01 - Uni directional OTDR Testing,1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-04-BJL-007,FB-01-02-04 - Prepare Single fibre cable sheath to be connected to fibre joint enclosures,1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-04-BJL-007,FB-01-03-01 - Re-Äêentry into a fibre joint enclosure,1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-04-BJL-007,FB-03-01-02 - Splicing of single fibre (at a BJL or a FJL),1
Datateks - MWA,Datateks - MWA Rate Card,2KOG-22 L0401 - Construction,2KOG-22-04-DPU-038,FC-01-01-01 - Installation and commissioning of a non aerial DPU terminal device,1
