Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Downer - Fusion,Downer - Fusion Rate Card,2KTB-02-L0120,2KTB-02-07-DPU-101,FC-02-01-01 - Installation of a new non-aerial openable joint enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2KTB-02-L0120,2KTB-02-07-DPU-101,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2KTB-02-L0120,2KTB-02-07-DPU-101,FC-02-01-04 - Jointing of copper drop sheath to DPU copper lead in a new or existing openable joint enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2KTB-02-L0120,2KTB-02-07-DPU-101,FC-02-01-07 - Supply and installation of a DPU copper lead extension from DPU copper lead to a non-aerial copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2KTB-02-L0120,2KTB-02-07-DPU-101,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KTB-02-L0120,2KTB-02-07-DPU-102,FC-02-01-01 - Installation of a new non-aerial openable joint enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2KTB-02-L0120,2KTB-02-07-DPU-102,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2KTB-02-L0120,2KTB-02-07-DPU-102,FC-02-01-04 - Jointing of copper drop sheath to DPU copper lead in a new or existing openable joint enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2KTB-02-L0120,2KTB-02-07-DPU-102,FC-02-01-07 - Supply and installation of a DPU copper lead extension from DPU copper lead to a non-aerial copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2KTB-02-L0120,2KTB-02-07-DPU-102,FC-03-01-01 - Existing copper drop sheath validation,1
Downer - Fusion,Downer - Fusion Rate Card,2KTB-02-L0120,2KTB-02-07-DPU-103,FC-02-01-01 - Installation of a new non-aerial openable joint enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2KTB-02-L0120,2KTB-02-07-DPU-103,FC-02-01-03 - Jointing of copper drop sheath to DPU copper lead using a copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2KTB-02-L0120,2KTB-02-07-DPU-103,FC-02-01-04 - Jointing of copper drop sheath to DPU copper lead in a new or existing openable joint enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2KTB-02-L0120,2KTB-02-07-DPU-103,FC-02-01-07 - Supply and installation of a DPU copper lead extension from DPU copper lead to a non-aerial copper interconnect unit,1
Downer - Fusion,Downer - Fusion Rate Card,2KTB-02-L0120,2KTB-02-07-DPU-103,FC-03-01-01 - Existing copper drop sheath validation,1
