Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSL-643,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,225.9
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSD-306,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,155.5
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSL-645,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,414.2
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSL-642,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,237.2
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSL-644,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,414.5
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSL-648,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,296
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSL-649,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,282.1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSL-651,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,282.8
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSL-652,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,337.5
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSL-647,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,109.2
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSL-646,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,222.7
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSL-650,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,183.9
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSL-653,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,191.2
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSD-305,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,43.9
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSL-641,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,29.1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSD-301,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,43.9
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSD-302,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,43.9
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSD-303,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,43.9
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FSD-304,CI-02-01-12-01 - Installation of 12 fibre cable sheath in underground duct by any means,43.9
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SSS-671,CI-02-01-13-01 - Installation of single fibre cable sheath in underground duct by any means,78
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SSS-669,CI-02-01-13-01 - Installation of single fibre cable sheath in underground duct by any means,168.8
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SSS-683,CI-02-01-13-01 - Installation of single fibre cable sheath in underground duct by any means,115.8
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SSS-661,CI-02-01-13-01 - Installation of single fibre cable sheath in underground duct by any means,107.6
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SSS-667,CI-02-01-13-01 - Installation of single fibre cable sheath in underground duct by any means,73.6
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SSS-685,CI-02-01-13-01 - Installation of single fibre cable sheath in underground duct by any means,53.1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SSS-654,CI-02-01-13-01 - Installation of single fibre cable sheath in underground duct by any means,131.9
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SSS-648,CI-02-01-13-01 - Installation of single fibre cable sheath in underground duct by any means,172.4
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SSS-652,CI-02-01-13-01 - Installation of single fibre cable sheath in underground duct by any means,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SSS-655,CI-02-01-13-01 - Installation of single fibre cable sheath in underground duct by any means,161.4
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SSS-681,CI-02-01-13-01 - Installation of single fibre cable sheath in underground duct by any means,49.2
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SSS-679,CI-02-01-13-01 - Installation of single fibre cable sheath in underground duct by any means,16.7
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SSS-653,CI-02-01-13-01 - Installation of single fibre cable sheath in underground duct by any means,65.9
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SSS-650,CI-02-01-13-01 - Installation of single fibre cable sheath in underground duct by any means,120.7
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SSS-651,CI-02-01-13-01 - Installation of single fibre cable sheath in underground duct by any means,80.7
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SSS-664,CI-02-01-13-01 - Installation of single fibre cable sheath in underground duct by any means,35.1
