Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-BJL-641,MR-01-01-04-01 - Install BJL including splicing and Cable preparation,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-BJL-642,MR-01-01-04-01 - Install BJL including splicing and Cable preparation,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-BJL-643,MR-01-01-04-01 - Install BJL including splicing and Cable preparation,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-BJL-644,MR-01-01-04-01 - Install BJL including splicing and Cable preparation,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-BJL-645,MR-01-01-04-01 - Install BJL including splicing and Cable preparation,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-BJL-646,MR-01-01-04-01 - Install BJL including splicing and Cable preparation,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-BJL-647,MR-01-01-04-01 - Install BJL including splicing and Cable preparation,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-BJL-648,MR-01-01-04-01 - Install BJL including splicing and Cable preparation,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-BJL-649,MR-01-01-04-01 - Install BJL including splicing and Cable preparation,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-BJL-650,MR-01-01-04-01 - Install BJL including splicing and Cable preparation,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-BJL-651,MR-01-01-04-01 - Install BJL including splicing and Cable preparation,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-BJL-652,MR-01-01-04-01 - Install BJL including splicing and Cable preparation,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-BJL-653,MR-01-01-04-01 - Install BJL including splicing and Cable preparation,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FJL-301,MR-01-01-03-01 - Install FJL including splicing and Cable preparation,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-FJL-302,MR-01-01-03-01 - Install FJL including splicing and Cable preparation,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SMP-641,MR-01-02-01-01 - Installation of multiport or splitter multiport in underground pit or manhole all inclusive,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SMP-642,MR-01-02-01-01 - Installation of multiport or splitter multiport in underground pit or manhole all inclusive,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SMP-643,MR-01-02-01-01 - Installation of multiport or splitter multiport in underground pit or manhole all inclusive,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SMP-644,MR-01-02-01-01 - Installation of multiport or splitter multiport in underground pit or manhole all inclusive,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SMP-645,MR-01-02-01-01 - Installation of multiport or splitter multiport in underground pit or manhole all inclusive,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SMP-646,MR-01-02-01-01 - Installation of multiport or splitter multiport in underground pit or manhole all inclusive,1
Visionstream - N2P (NSW),Visionstream - N2P (NSW) Rate Card,2MIL-01 ADA-18 Construction,2MIL-01-18-SMP-647,MR-01-02-01-01 - Installation of multiport or splitter multiport in underground pit or manhole all inclusive,1
