Contract,Rate Card,Proejct Title,Job Title,Line Item Type,Qty
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-20-00-DJL-007,FB-01-03-01 - Re-entry into a fibre joint enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-20-00-DJL-007,FB-01-02-07 - Prepare a loose tube fibre cable sheath greater 12 fibres and up to and including 144 fibres to be connected to fibre joint enclosures,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-20-00-DJL-007,FB-03-01-01 - Splicing of optic fibre ribbons,
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-00-DJL-001,FB-01-01-02 - Installation and preparation of a new fibre joint enclosure greater than 12 fibres and up to and including 144 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-00-DJL-001,FB-03-01-01 - Splicing of optic fibre ribbons,
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-00-DSS-001,CI-02-01-02O - Installation of a cable sheath greater than 12 fibre and up to and including 144 fibre in Occupied underground duct.,1700
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-BJL-001,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-BJL-001,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-BJL-001,FB-03-01-02 - Splicing of single fibre,
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-BJL-002,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-BJL-002,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-BJL-002,FB-03-01-02 - Splicing of single fibre,
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-BJL-003,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-BJL-003,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-BJL-003,FB-03-01-02 - Splicing of single fibre,
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-BJL-004,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-BJL-004,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-BJL-004,FB-03-01-02 - Splicing of single fibre,
Downer - Fusion,Downer - Fusion Rate Card,2ORC-23-FLIP,2ORC-23-01-BJL-005,FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
