Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Procab - MWA,Procab - MWA Rate Card,2PRA-64,2PRA-64-00-DSS-002,CI-02-01-01 - Installation of a cable sheath greater than 144 fibre in underground duct by any means ,912
Procab - MWA,Procab - MWA Rate Card,2PRA-64,2PRA-64-00-DSS-002,CI-01-01-01 - Pipe Proving in existing duct,912
Procab - MWA,Procab - MWA Rate Card,2PRA-64,2PRA-64-00-DSS-002,TB-01-03-03-AH - Labourer - outside working hours,40
Procab - MWA,Procab - MWA Rate Card,2PRA-64,2PRA-64-00-DSS-002 (haul out),CI-02-01-01 - Installation of a cable sheath greater than 144 fibre in underground duct by any means ,912
Procab - MWA,Procab - MWA Rate Card,2PRA-64,2PRA-64-00-DSS-002 (haul out),TB-01-03-03-AH - Labourer - outside working hours,40
Procab - MWA,Procab - MWA Rate Card,2PRA-64,2PRA-64-00-DJL-001,TB-01-03-02 - Fibre Technician (inclusive plant and equipment),10
Procab - MWA,Procab - MWA Rate Card,2PRA-64,2PRA-64-00-DJL-001,FB-01-03-01 - Re-entry into a fibre joint enclosure,1
Procab - MWA,Procab - MWA Rate Card,2PRA-64,2PRA-64-00-DJL-001,FB-01-02-01 - Prepare a fibre cable sheath greater than 144 fibres  to be connected to fibre joint enclosures,1
Procab - MWA,Procab - MWA Rate Card,2PRA-64,2PRA-64-00-DJL-001,FB-03-01-01 - Splicing of optic fibre ribbons,24
Procab - MWA,Procab - MWA Rate Card,2PRA-64,2PRA-64-00-DJL-002,TB-01-03-02 - Fibre Technician (inclusive plant and equipment),10
Procab - MWA,Procab - MWA Rate Card,2PRA-64,2PRA-64-00-DJL-002,FB-01-03-01 - Re-entry into a fibre joint enclosure,1
Procab - MWA,Procab - MWA Rate Card,2PRA-64,2PRA-64-00-DJL-002,FB-01-02-01 - Prepare a fibre cable sheath greater than 144 fibres  to be connected to fibre joint enclosures,1
Procab - MWA,Procab - MWA Rate Card,2PRA-64,2PRA-64-00-DJL-002,FB-03-01-01 - Splicing of optic fibre ribbons,24
Procab - MWA,Procab - MWA Rate Card,2PRA-64,2PRA-64-00-ODF-001,FB-04-02-01 - Uni-directional OTDR Testing to the first fibre tested,1
Procab - MWA,Procab - MWA Rate Card,2PRA-64,2PRA-64-00-ODF-001,FB-04-02-02 - Extra over for additional Uni-directional OTDR Testing,287
Procab - MWA,Procab - MWA Rate Card,2PRA-64,2PRA-64-00-ODF-001,FB-05-03-03 - Supply and install patching cable within a HDODF or equivalent environment,7
