Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-01-BJL-013,FB-01-02-04 - Prepare Single fibre cable sheath to be connected to fibre joint enclosures,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-01-BJL-013,FB-01-03-01 - Re-€�entry into a fibre joint enclosure,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-01-BJL-013,FB-03-01-02 - Splicing of single fibre (at a BJL or a FJL),1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-01-DPU-051,FC-01-01-01 - Installation and commissioning of a non aerial DPU terminal device,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-01-DPU-051,FB-04-01-07 - PON Power Meter Test,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-01-DPU-051,FB-04-01-01 - Uni directional OTDR Testing,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-01-SSS-051,CI-02-01-04a - Installation of single fibre cable sheath in underground duct by any means,214.6
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-01-SSS-051,CI-01-01-01a - Pipe Proving in existing duct,214.6
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-01-SSS-051,CW-05-01-02a - Clear pipe blockage using high pressure water,0
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-03-BJL-006,FB-01-02-04 - Prepare Single fibre cable sheath to be connected to fibre joint enclosures,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-03-BJL-006,FB-01-03-01 - Re-€�entry into a fibre joint enclosure,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-03-BJL-006,FB-03-01-02 - Splicing of single fibre (at a BJL or a FJL),1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-03-DPU-042,FC-01-01-01 - Installation and commissioning of a non aerial DPU terminal device,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-03-DPU-042,FB-04-01-07 - PON Power Meter Test,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-03-DPU-042,FB-04-01-01 - Uni directional OTDR Testing,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-03-SSS-035,CI-02-01-04a - Installation of single fibre cable sheath in underground duct by any means,230.9
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-03-SSS-035,CI-01-01-01a - Pipe Proving in existing duct,230.9
Datateks - MWA,Datateks - MWA Rate Card,2RAM-04 L0401 - Construction,2RAM-04-03-SSS-035,CW-05-01-02a - Clear pipe blockage using high pressure water,0
