Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-01-BJL-004,FB-01-02-04 - Prepare Single fibre cable sheath to be connected to fibre joint enclosures,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-01-BJL-004,FB-01-03-01 - Re-Äêentry into a fibre joint enclosure,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-01-BJL-004,FB-03-01-02 - Splicing of single fibre (at a BJL or a FJL),1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-01-DPU-030,FC-01-01-01 - Installation and commissioning of a non aerial DPU terminal device,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-01-DPU-030,FB-04-01-07 - PON Power Meter Test,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-01-DPU-030,FB-04-01-01 - Uni directional OTDR Testing,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-01-SSS-028,CI-02-01-04a - Installation of single fibre cable sheath in underground duct by any means,0
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-01-SSS-028,CI-01-01-01a - Pipe Proving in existing duct,0
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-01-SSS-028,CW-05-01-02a - Clear pipe blockage using high pressure water,0
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-11-BJL-008,FB-01-02-04 - Prepare Single fibre cable sheath to be connected to fibre joint enclosures,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-11-BJL-008,FB-01-03-01 - Re-Äêentry into a fibre joint enclosure,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-11-BJL-008,FB-03-01-02 - Splicing of single fibre (at a BJL or a FJL),1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-11-DPU-046,FC-01-01-01 - Installation and commissioning of a non aerial DPU terminal device,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-11-DPU-046,FB-04-01-07 - PON Power Meter Test,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-11-DPU-046,FB-04-01-01 - Uni directional OTDR Testing,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-11-SSS-039,CI-02-01-04a - Installation of single fibre cable sheath in underground duct by any means,0
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-11-SSS-039,CI-01-01-01a - Pipe Proving in existing duct,0
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-11-SSS-039,CW-05-01-02a - Clear pipe blockage using high pressure water,0
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-12-BJL-002,FB-01-02-04 - Prepare Single fibre cable sheath to be connected to fibre joint enclosures,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-12-BJL-002,FB-01-03-01 - Re-Äêentry into a fibre joint enclosure,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-12-BJL-002,FB-03-01-02 - Splicing of single fibre (at a BJL or a FJL),1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-12-DPU-049,FC-01-01-01 - Installation and commissioning of a non aerial DPU terminal device,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-12-DPU-049,FB-04-01-07 - PON Power Meter Test,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-12-DPU-049,FB-04-01-01 - Uni directional OTDR Testing,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-12-SSS-037,CI-02-01-04a - Installation of single fibre cable sheath in underground duct by any means,0
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-12-SSS-037,CI-01-01-01a - Pipe Proving in existing duct,0
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-12-SSS-037,CW-05-01-02a - Clear pipe blockage using high pressure water,0
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-13-BJL-008,FB-01-02-04 - Prepare Single fibre cable sheath to be connected to fibre joint enclosures,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-13-BJL-008,FB-01-03-01 - Re-Äêentry into a fibre joint enclosure,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-13-BJL-008,FB-03-01-02 - Splicing of single fibre (at a BJL or a FJL),1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-13-DPU-054,FC-01-01-01 - Installation and commissioning of a non aerial DPU terminal device,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-13-DPU-054,FB-04-01-07 - PON Power Meter Test,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-13-DPU-054,FB-04-01-01 - Uni directional OTDR Testing,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-13-SSS-036,CI-02-01-04a - Installation of single fibre cable sheath in underground duct by any means,0
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-13-SSS-036,CI-01-01-01a - Pipe Proving in existing duct,0
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-13-SSS-036,CW-05-01-02a - Clear pipe blockage using high pressure water,0
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-16-BJL-007,FB-01-02-04 - Prepare Single fibre cable sheath to be connected to fibre joint enclosures,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-16-BJL-007,FB-01-03-01 - Re-Äêentry into a fibre joint enclosure,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-16-BJL-007,FB-03-01-02 - Splicing of single fibre (at a BJL or a FJL),1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-16-DPU-035,FC-01-01-01 - Installation and commissioning of a non aerial DPU terminal device,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-16-DPU-035,FB-04-01-07 - PON Power Meter Test,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-16-DPU-035,FB-04-01-01 - Uni directional OTDR Testing,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-16-DPU-036,FC-01-01-01 - Installation and commissioning of a non aerial DPU terminal device,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-16-DPU-036,FB-04-01-07 - PON Power Meter Test,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-16-DPU-036,FB-04-01-01 - Uni directional OTDR Testing,1
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-16-SSS-026,CI-02-01-04a - Installation of single fibre cable sheath in underground duct by any means,0
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-16-SSS-026,CI-01-01-01a - Pipe Proving in existing duct,0
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-16-SSS-026,CW-05-01-02a - Clear pipe blockage using high pressure water,0
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-16-SSS-027,CI-02-01-04a - Installation of single fibre cable sheath in underground duct by any means,0
Datateks - MWA,Datateks - MWA Rate Card,2RAM-20 - L0401 - Construction,2RAM-20-16-SSS-027,CI-01-01-01a - Pipe Proving in existing duct,0
