Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-MSS-048,CI-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-PCD-002,MD-01-07-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-002,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-003,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-PCD-004,MD-01-07-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-005,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-006,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-007,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-008,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-009,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-010,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-011,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-012,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-013,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-014,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-015,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-016,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-017,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-018,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-019,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-020,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-021,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-022,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-023,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-024,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-025,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-026,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-027,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-028,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-029,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-030,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-031,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-033,SD-02-01-03/01-01,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RCH-02,2RCH-02-13-SDS-034,SD-02-01-03/01-01,1
