Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-00-DJL-009,FB-01-03-01/01-01 - Re-entry into a fibre joint enclosure,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-00-DJL-009,FB-03-01-01/01-01 - Splicing of optic fibre ribbons,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-00-DJL-009,FB-01-02-03/01-01 - Prepare a 12 fibre cable to be connected to fibre joint enclosures,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-BJL-001,FB-01-01-03/01-01 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-BJL-001,FB-03-01-02/01-01 - Splicing of single fibre,5
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-BJL-002,FB-01-01-03/01-01 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-BJL-002,FB-03-01-02/01-01 - Splicing of single fibre,2
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-FJL-001,FB-01-01-03/01-01 - Installation and preparation of a fibre joint enclosure up to and including 12 fibres,1
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-FJL-001,FB-01-04-03/-01-01 - Installation of splitter within an existing FJL enclosure,2
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-FJL-001,FB-03-01-02/01-01 - Splicing of single fibre,7
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-FJL-001,FB-04-02-01/01-01 - Uni-directional OTDR Testing to the first fibre tested,5
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-FSD-001,CI-01-01-01/01-01 - Pipe Proving in existing duct,778
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-FSD-001,CI-02-01-03/01-01 - Installation of 12 fibre  cable sheath in underground duct by any means,778
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-FSD-001,CW-05-01-02/01-01 - Clear pipe blockage using high pressure water,0
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-FSL-001,CI-01-01-01/01-01 - Pipe Proving in existing duct,74
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-FSL-001,CI-02-01-03/01-01 - Installation of 12 fibre  cable sheath in underground duct by any means,74
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-FSL-001,CW-05-01-02/01-01 - Clear pipe blockage using high pressure water,0
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-FSL-002,CI-01-01-01/01-01 - Pipe Proving in existing duct,340
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-FSL-002,CI-02-01-03/01-01 - Installation of 12 fibre  cable sheath in underground duct by any means,340
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-FSL-002,CW-05-01-02/01-01 - Clear pipe blockage using high pressure water,0
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-PCD-001,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.3
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-PCD-002,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.3
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-PCD-003,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.3
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-PCD-004,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.3
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-PCD-005,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.3
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-PCD-006,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.3
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-PCD-007,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.3
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-PCD-008,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.3
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-PCD-009,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.3
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-PCD-010,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.3
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-PCD-011,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.3
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-PCD-012,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.3
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-PCD-013,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.3
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-PCD-014,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.3
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-PCD-015,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.3
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-PCD-016,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.3
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-SDS-001,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.7
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-SDS-002,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.7
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-SDS-003,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.7
Lend Lease - MWA,Lend Lease - MWA Rate Card,2RIV-03 L0109 Construction,2RIV-03-04-SDS-004,SD-02-01-03/01-01 - Installation of service drop sheath underground to a single dwelling unit,0.7
