Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-FSD-001,CI-02-01-03O - Installation of 12 fibre cable sheath in Occupied underground duct,522
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-FSL-001,CI-02-01-03O - Installation of 12 fibre cable sheath in Occupied underground duct,17
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-FSL-002,CI-02-01-03O - Installation of 12 fibre cable sheath in Occupied underground duct,166
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SSS-001,CI-02-01-04O - Installation of single fibre cable sheath in Occupied underground,70
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SSS-002,CI-02-01-04O - Installation of single fibre cable sheath in Occupied underground,198
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SSS-003,CI-02-01-04O - Installation of single fibre cable sheath in Occupied underground,387
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SSS-004,CI-02-01-04O - Installation of single fibre cable sheath in Occupied underground,416
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SSS-005,CI-02-01-04O - Installation of single fibre cable sheath in Occupied underground,458
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SSS-006,CI-02-01-04O - Installation of single fibre cable sheath in Occupied underground,57
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SSS-007,CI-02-01-04O - Installation of single fibre cable sheath in Occupied underground,193
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-001,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-002,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-003,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-004,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-005,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-006,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-007,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-008,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-009,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-010,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-011,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-012,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-013,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-014,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-015,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-016,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-017,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-018,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-019,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-020,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
Downer - Fusion,Downer - Fusion Rate Card,2RYD-03,2RYD-03-01-SDS-021,SD-02-01-03 - Installation of service drop sheath underground to a single dwelling unit,1
