Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-001,FC-01-01-02 | Installation and commissioning of an aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-002,FC-01-01-02 | Installation and commissioning of an aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-003,FC-01-01-02 | Installation and commissioning of an aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-004,FC-01-01-02 | Installation and commissioning of an aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-005,FC-01-01-02 | Installation and commissioning of an aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-006,FC-01-01-02 | Installation and commissioning of an aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-007,FC-01-01-02 | Installation and commissioning of an aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-008,FC-01-01-02 | Installation and commissioning of an aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-009,FC-01-01-02 | Installation and commissioning of an aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-010,FC-01-01-02 | Installation and commissioning of an aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-011,FC-01-01-02 | Installation and commissioning of an aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-012,FC-01-01-02 | Installation and commissioning of an aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-013,FC-01-01-02 | Installation and commissioning of an aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-014,FC-01-01-02 | Installation and commissioning of an aerial DPU terminal device,1
