Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-20-00-DJL-002,FB-01-03-01 - Re-entry into a fibre joint enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-20-00-DJL-002,FB-03-01-01 - Splicing of optic fibre ribbons,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-20-00-DJL-004,FB-01-03-01 - Re-entry into a fibre joint enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-20-00-DJL-004,FB-03-01-01 - Splicing of optic fibre ribbons,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-20-00-DJL-008,FB-01-03-01 - Re-entry into a fibre joint enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-20-00-DJL-008,FB-03-01-01 - Splicing of optic fibre ribbons,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-00-ODF-001,"FB-05-01-05 - Prepare and splice a fibre cable sheath greater 12 fibres and up to and including 144 fibres to be connected within a
HDODF environment",1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-00-ODF-001,FB-04-01-01 - Uni-directional OTDR Testing,36
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-00-ODF-001,FB-05-01-08 - Supply and install patching cable,9
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-BJL-001,"FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to
and including 12 fibres",1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-BJL-001,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-BJL-001,FB-03-01-02 - Splicing of single fibre,12
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-BJL-002,"FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to
and including 12 fibres",1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-BJL-002,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-BJL-002,FB-03-01-02 - Splicing of single fibre,12
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-BJL-003,"FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to
and including 12 fibres",1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-BJL-003,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-BJL-003,FB-03-01-02 - Splicing of single fibre,12
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-BJL-004,"FB-01-01-03 - Installation and preparation of a fibre joint enclosure up to
and including 12 fibres",1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-BJL-004,FB-01-04-02 - Installation of splitter within an existing BJL enclosure,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-BJL-004,FB-03-01-02 - Splicing of single fibre,12
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-001,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-001,FB-04-01-07 - PON Power Meter Test,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-002,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-002,FB-04-01-07 - PON Power Meter Test,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-003,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-003,FB-04-01-07 - PON Power Meter Test,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-004,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-004,FB-04-01-07 - PON Power Meter Test,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-005,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-005,FB-04-01-07 - PON Power Meter Test,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-006,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-006,FB-04-01-07 - PON Power Meter Test,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-007,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-007,FB-04-01-07 - PON Power Meter Test,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-008,FC-01-01-01 - Installation and commissioning of a non-aerial DPU terminal device,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-22 FLIP,2URR-22-01-DPU-008,FB-04-01-07 - PON Power Meter Test,1
