Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-ODF-001,FB-05-01-05 - Prepare and splice a fibre cable sheath greater 12 fibres and up to and including 144 fibres to be connected within a HDODF environment,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-ODF-001,FB-04-01-01 - Uni-directional OTDR Testing,144
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-ODF-001,FB-05-01-08 - Supply and install patching cable,25
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-DJL-001,FB-01-01-02 - Installation and preparation of a new fibre joint enclosure greater than 12 fibres and up to and including 144 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-DJL-001,FB-03-01-01 - Splicing of optic fibre ribbons,12
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-DJL-002,FB-01-01-02 - Installation and preparation of a new fibre joint enclosure greater than 12 fibres and up to and including 144 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-DJL-002,FB-03-01-01 - Splicing of optic fibre ribbons,12
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-DJL-003,FB-01-01-02 - Installation and preparation of a new fibre joint enclosure greater than 12 fibres and up to and including 144 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-DJL-003,FB-03-01-01 - Splicing of optic fibre ribbons,12
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-DJL-004,FB-01-01-02 - Installation and preparation of a new fibre joint enclosure greater than 12 fibres and up to and including 144 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-DJL-004,FB-03-01-01 - Splicing of optic fibre ribbons,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-DJL-005,FB-01-01-02 - Installation and preparation of a new fibre joint enclosure greater than 12 fibres and up to and including 144 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-DJL-005,FB-03-01-01 - Splicing of optic fibre ribbons,6
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-DJL-006,FB-01-01-02 - Installation and preparation of a new fibre joint enclosure greater than 12 fibres and up to and including 144 fibres,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-DJL-006,FB-03-01-01 - Splicing of optic fibre ribbons,1
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-DSS-001,CI-02-01-02O - Installation of a cable sheath greater than 12 fibre and up to and including 144 fibre in Occupied underground duct.,1601
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-DSS-001,CI-01-01-01 - Pipe Proving in existing duct,0
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-DSS-001,CW-05-01-02 - Clear pipe blockage using high pressure water,0
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-DSS-001,CI-04-01-01 - Installation of cable sheath within a cable chamber,20
Downer - Fusion,Downer - Fusion Rate Card,2URR-21 FLIP,2URR-21-00-DSS-002,CI-02-01-02O - Installation of a cable sheath greater than 12 fibre and up to and including 144 fibre in Occupied underground duct.,726.5
