Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
CPB - M6 Stage 1,CPB - M6 Stage 1 - Rate Card,M6 Stage 1,ITC53110M-LSR53010-E1C1 at ITC53110M,M6-01-01-05 | Terminate and Test Cat6A Cable,1
CPB - M6 Stage 1,CPB - M6 Stage 1 - Rate Card,M6 Stage 1,ITC53110M-LSR53010-E1C1 at ITC53110M,M6-01-01-05 | Terminate and Test Cat6A Cable,1
CPB - M6 Stage 1,CPB - M6 Stage 1 - Rate Card,M6 Stage 1,ITC53110M-LSR53010-E1C1 at LSR53010,M6-01-01-05 | Terminate and Test Cat6A Cable,1
CPB - M6 Stage 1,CPB - M6 Stage 1 - Rate Card,M6 Stage 1,ITC53110M-LSR53010-E1C1 at LSR53010,M6-01-01-05 | Terminate and Test Cat6A Cable,1
CPB - M6 Stage 1,CPB - M6 Stage 1 - Rate Card,M6 Stage 1,SPC53010-VSD53101A-C1E1 at SPC53010,M6-01-01-05 | Terminate and Test Cat6A Cable,1
CPB - M6 Stage 1,CPB - M6 Stage 1 - Rate Card,M6 Stage 1,SPC53010-VSD53101A-C1E1 at SPC53010,M6-01-01-05 | Terminate and Test Cat6A Cable,1
CPB - M6 Stage 1,CPB - M6 Stage 1 - Rate Card,M6 Stage 1,SPC53010-VSD53101A-C1E1 at VSD53101A,M6-01-01-05 | Terminate and Test Cat6A Cable,1
CPB - M6 Stage 1,CPB - M6 Stage 1 - Rate Card,M6 Stage 1,SPC53010-VSD53101A-C1E1 at VSD53101A,M6-01-01-05 | Terminate and Test Cat6A Cable,1
CPB - M6 Stage 1,CPB - M6 Stage 1 - Rate Card,M6 Stage 1,SPC53011-VSD53003B-C1E3 at SPC53011,M6-01-01-05 | Terminate and Test Cat6A Cable,1
CPB - M6 Stage 1,CPB - M6 Stage 1 - Rate Card,M6 Stage 1,SPC53011-VSD53003B-C1E3 at SPC53011,M6-01-01-05 | Terminate and Test Cat6A Cable,1
CPB - M6 Stage 1,CPB - M6 Stage 1 - Rate Card,M6 Stage 1,SPC53011-VSD53003B-C1E3 at VSD53003B,M6-01-01-05 | Terminate and Test Cat6A Cable,1
CPB - M6 Stage 1,CPB - M6 Stage 1 - Rate Card,M6 Stage 1,SPC53011-VSD53003B-C1E3 at VSD53003B,M6-01-01-05 | Terminate and Test Cat6A Cable,1
CPB - M6 Stage 1,CPB - M6 Stage 1 - Rate Card,M6 Stage 1,SPC53012-VSD53002A-C1E1 at SPC53012,M6-01-01-05 | Terminate and Test Cat6A Cable,1
CPB - M6 Stage 1,CPB - M6 Stage 1 - Rate Card,M6 Stage 1,SPC53012-VSD53002A-C1E1 at SPC53012,M6-01-01-05 | Terminate and Test Cat6A Cable,1
CPB - M6 Stage 1,CPB - M6 Stage 1 - Rate Card,M6 Stage 1,SPC53012-VSD53002A-C1E1 at VSD53002A,M6-01-01-05 | Terminate and Test Cat6A Cable,1
