Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,1 - 2600603780 - Cu 1500/0.40 PIUT UA - TRAL01 c2:M1-1500,CID-01-01-01 | Copper Identification for Copper Recovery,103.5
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,2 - 2201231096 - Cu 800/0.40 CPFUT PE - TRAL01 c2:M901-1500,CID-01-01-01 | Copper Identification for Copper Recovery,62.1
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,3 - 2201231101 - Cu 800/0.40 CPFUT PE - TRAL01 c2:M901-1500,CID-01-01-01 | Copper Identification for Copper Recovery,124.5
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,4 - 2600604135 - Cu 1500/0.40 PIUT UA - TRAL01 c2:M1-1500,CID-01-01-01 | Copper Identification for Copper Recovery,4.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,5 - 2600604260 - Cu 1500/0.40 PIUT UA - TRAL01 c2:M1-1500,CID-01-01-01 | Copper Identification for Copper Recovery,129.1
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,6 - 2600604266 - Cu 1000/0.40 CPIUT MB - TRAL UNK:-1-100 TRAL01 c2:M1-900,CID-01-01-01 | Copper Identification for Copper Recovery,215.4
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,7 - 2600604271 - Cu 600/0.40 CPIUT MB - TRAL01 c2:M1-600,CID-01-01-01 | Copper Identification for Copper Recovery,157.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,8 - 2600604698 - Cu 1500/0.40 PIUT UA - TRAL01 c2:M1-1500,CID-01-01-01 | Copper Identification for Copper Recovery,182.4
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,9 - 2600622343 - Cu 1500/0.40 PIUT UA - TRAL01 c2:M1-1500,CID-01-01-01 | Copper Identification for Copper Recovery,181.7
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,10 - 2600622369 - Cu 1500/0.40 PIUT UA - TRAL01 c2:M1-1500,CID-01-01-01 | Copper Identification for Copper Recovery,58.4
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,11 - 6500310438 - Cu 800/0.40 CPFUT PE - TRAL01 c2:M901-1500,CID-01-01-01 | Copper Identification for Copper Recovery,161.7
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,12 - 6501541369 - Cu 600/0.40 CPIUT MB - TRAL01 c2:M1-600,CID-01-01-01 | Copper Identification for Copper Recovery,133.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,13 - 6501541374 - Cu 600/0.40 CPIUT MB - TRAL01 c2:M1-600,CID-01-01-01 | Copper Identification for Copper Recovery,29.4
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,19 - 6502619817 - Cu 1500/0.40 PIUT UA - TRAL01 c2:M1-1500,CID-01-01-01 | Copper Identification for Copper Recovery,146.1
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,20 - 15038685665 - Cu 600/0.40 CPIUT MB - TRAL01 c2:M1-600,CID-01-01-01 | Copper Identification for Copper Recovery,94
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,21 - 15038685749 - Cu 1500/0.40 PIUT UA - TRAL01 c2:M1-1500,CID-01-01-01 | Copper Identification for Copper Recovery,70.1
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,27 - 0 - Cu 1500/0.40 PIUT UA - TRAL01 c2:M1-1500,CID-01-01-01 | Copper Identification for Copper Recovery,4.1
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,1 - 2600961555 - Cu 1800/0.40 PIUT UA - QNBN01 c16:M1-1800,CID-01-01-01 | Copper Identification for Copper Recovery,105.3
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,2 - 2600961579 - Cu 1800/0.40 PIUT UA - QNBN01 c16:M1-1800,CID-01-01-01 | Copper Identification for Copper Recovery,131.7
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,3 - 2600961809 - Cu 1200/0.40 PIUT UA - QNBN01 c16:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,140
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,9 - 2600964427 - Cu 1800/0.40 PIUT UA - QNBN01 c16:M1-1800,CID-01-01-01 | Copper Identification for Copper Recovery,24.4
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,10 - 2600964486 - Cu 1800/0.40 PIUT UA - QNBN01 c16:M1-1800,CID-01-01-01 | Copper Identification for Copper Recovery,40.7
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,14 - 2600967761 - Cu 1800/0.40 PIUT UA - QNBN01 c16:M1-1800,CID-01-01-01 | Copper Identification for Copper Recovery,51.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,17 - 2600961585 - Cu 1800/0.40 PIUT UA - QNBN01 c16:M1-1800,CID-01-01-01 | Copper Identification for Copper Recovery,124
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,18 - 2600961071 - Cu 600/0.40 PIUT UA - QNBN01 c16:M1-600,CID-01-01-01 | Copper Identification for Copper Recovery,209.9
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,18 - 2600961070 - Cu 400/0.40 PIUT UA - QNBN01 c16:M601-1000,CID-01-01-01 | Copper Identification for Copper Recovery,209.9
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,22 - 2600961796 - Cu 1200/0.40 PIUT UA - QNBN01 c16:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,43.7
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,23 - 2600961817 - Cu 1200/0.40 PIUT UA - QNBN01 c16:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,97
