Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,12 - 601243766 - Cu 1000/0.40 PIUT PE - CVIC01 c81:M1-900,CID-01-01-01 | Copper Identification for Copper Recovery,91
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,13 - 601243772 - Cu 1000/0.40 PIUT PE - CVIC01 c81:M1-900,CID-01-01-01 | Copper Identification for Copper Recovery,90.4
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,14 - 601243790 - Cu 600/0.40 PIUT PE - CVIC01 c81:M1-500,CID-01-01-01 | Copper Identification for Copper Recovery,16.3
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,15 - 601243795 - Cu 600/0.40 PIUT PE - CVIC01 c81:M1-500,CID-01-01-01 | Copper Identification for Copper Recovery,7
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,16 - 601243799 - Cu 600/0.40 PIUT PE - CVIC01 c81:M1-500,CID-01-01-01 | Copper Identification for Copper Recovery,7.2
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,17 - 601243803 - Cu 600/0.40 PIUT PE - CVIC01 c81:M1-500,CID-01-01-01 | Copper Identification for Copper Recovery,114.3
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,18 - 601271624 - Cu 1200/0.64 PIQL PE - CVIC01 c38:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,49.9
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,19 - 601271785 - Cu 1200/0.64 PIQL PE - CVIC01 c38:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,70.1
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,20 - 601271845 - Cu 1200/0.64 PIQL PE - CVIC01 c38:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,27.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,21 - 601271885 - Cu 1200/0.64 PIQL PE - CVIC01 c38:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,67.3
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,22 - 601271907 - Cu 1200/0.64 PIQL PE - CVIC01 c38:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,47.2
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,23 - 601271921 - Cu 1200/0.64 PIQL PE - CVIC01 c38:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,18.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,27 - 601272668 - Cu 1200/0.64 PIQL PE - CVIC01 c38:M1-700 CVIC01 c38:M922-923 CVIC01 c38:M1101-1200,CID-01-01-01 | Copper Identification for Copper Recovery,19.7
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,28 - 601272677 - Cu 1200/0.64 PIQL PE - CVIC01 c38:M1-700 CVIC01 c38:M922-923 CVIC01 c38:M1101-1200,CID-01-01-01 | Copper Identification for Copper Recovery,42.9
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,29 - 601272686 - Cu 1200/0.64 PIQL PE - CVIC01 c38:M1-700 CVIC01 c38:M922-923 CVIC01 c38:M1101-1200,CID-01-01-01 | Copper Identification for Copper Recovery,52.8
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,30 - 601272695 - Cu 1200/0.64 PIQL PE - CVIC01 c38:M1-700 CVIC01 c38:M922-923 CVIC01 c38:M1101-1200,CID-01-01-01 | Copper Identification for Copper Recovery,46.1
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,31 - 601279354 - Cu 1000/0.40 PIUT PE - CVIC01 c81:M1-900,CID-01-01-01 | Copper Identification for Copper Recovery,25.3
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,32 - 601279363 - Cu 1000/0.40 PIUT PE - CVIC01 c81:M1-900,CID-01-01-01 | Copper Identification for Copper Recovery,86.7
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,36 - 601283295 - Cu 1200/0.64 PIQL PE - CVIC01 c38:M1-700 CVIC01 c38:M922-923 CVIC01 c38:M1101-1200,CID-01-01-01 | Copper Identification for Copper Recovery,133.4
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,37 - 601283320 - Cu 1200/0.64 PIQL PE - CVIC01 c38:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,16.2
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,38 - 601283327 - Cu 1200/0.64 PIQL PE - CVIC01 c38:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,101.2
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,39 - 601283456 - Cu 1200/0.64 PIQL PE - CVIC01 c38:M1-1200,CID-01-01-01 | Copper Identification for Copper Recovery,76
