Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,44 - 601284857 - Cu 2700/0.40 PIUT PE - CVIC01 c44:M1-2400 CVIC01 c44:M2501-2600,CR-01-01-01-01 | Cable Recovery of all sizes,84.5
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,45 - 601284862 - Cu 2700/0.40 PIUT PE - CVIC01 c44:M1-2400 CVIC01 c44:M2501-2600,CR-01-01-01-01 | Cable Recovery of all sizes,75.3
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,46 - 601285070 - Cu 2700/0.40 PIUT PE - CVIC01 c44:M1-2700,CR-01-01-01-01 | Cable Recovery of all sizes,132
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,47 - 601285088 - Cu 2700/0.40 PIUT PE - CVIC01 c44:M1-2700,CR-01-01-01-01 | Cable Recovery of all sizes,9.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,48 - 601285157 - Cu 2700/0.40 PIUT PE - CVIC01 c44:M1-2400 CVIC01 c44:M2501-2600,CR-01-01-01-01 | Cable Recovery of all sizes,13.8
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,65 - 601290440 - Cu 2700/0.40 PIUT PE - CVIC01 c44:M1-2700,CR-01-01-01-01 | Cable Recovery of all sizes,27.7
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,66 - 601290455 - Cu 2700/0.40 PIUT PE - CVIC01 c44:M1-2700,CR-01-01-01-01 | Cable Recovery of all sizes,27.3
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,67 - 601290469 - Cu 2700/0.40 PIUT PE - CVIC01 c44:M1-2700,CR-01-01-01-01 | Cable Recovery of all sizes,41
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,68 - 601290478 - Cu 2700/0.40 PIUT PE - CVIC01 c44:M1-2700,CR-01-01-01-01 | Cable Recovery of all sizes,88.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,69 - 601290490 - Cu 2700/0.40 PIUT PE - CVIC01 c44:M1-2700,CR-01-01-01-01 | Cable Recovery of all sizes,122.2
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,70 - 601290500 - Cu 2700/0.40 PIUT PE - CVIC01 c44:M1-2700,CR-01-01-01-01 | Cable Recovery of all sizes,39.2
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,71 - 601290510 - Cu 2700/0.40 PIUT PE - CVIC01 c44:M1-2700,CR-01-01-01-01 | Cable Recovery of all sizes,127.1
