Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,1 - 601236124 - Cu 400/0.51 PIQL UA - CVIC01 c4:M1001-1400,CR-01-01-01-01 | Cable Recovery of all sizes,47.4
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,2 - 601236131 - Cu 400/0.51 PIQL UA - CVIC01 c4:M1001-1400,CR-01-01-01-01 | Cable Recovery of all sizes,43.4
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,3 - 601236141 - Cu 400/0.51 PIQL UA - CVIC01 c4:M1001-1400,CR-01-01-01-01 | Cable Recovery of all sizes,41.1
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,4 - 601236150 - Cu 400/0.51 PIQL UA - CVIC01 c4:M1001-1400,CR-01-01-01-01 | Cable Recovery of all sizes,28.2
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,5 - 601236159 - Cu 400/0.51 PIQL UA - CVIC01 c4:M1001-1400,CR-01-01-01-01 | Cable Recovery of all sizes,59.5
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,6 - 601236188 - Cu 400/0.51 PIQL UA - CVIC01 c4:M1001-1400,CR-01-01-01-01 | Cable Recovery of all sizes,98.1
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,7 - 601236201 - Cu 400/0.51 PIQL UA - CVIC01 c4:M1001-1400,CR-01-01-01-01 | Cable Recovery of all sizes,53.6
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,8 - 601236295 - Cu 400/0.51 PIQL UA - CVIC01 c4:M1001-1400,CR-01-01-01-01 | Cable Recovery of all sizes,54.7
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,9 - 601236305 - Cu 400/0.51 PIQL UA - CVIC01 c4:M1001-1400,CR-01-01-01-01 | Cable Recovery of all sizes,112.4
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,10 - 601237076 - Cu 400/0.51 PIQL UA - CVIC01 c4:M1001-1400,CR-01-01-01-01 | Cable Recovery of all sizes,20.5
FNE - Cable Recovery,FNE - Copper Cable Recovery Rate Card,T2Q2 - ACT1 - Civic,11 - 601237087 - Cu 400/0.51 PIQL UA - CVIC01 c4:M1001-1400,CR-01-01-01-01 | Cable Recovery of all sizes,61
