Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,1 - 602128907 - Cu 1400/0.40 PIUT UA - DKIN01 c14:M1-1400,CR-01-01-01-01 | Cable Recovery of all sizes,66.05028534
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,1 - 602128943 - Cu 1800/0.40 PIUT UA - DKIN01 c2:M1-1800,CR-01-01-01-01 | Cable Recovery of all sizes,66.05028534
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,1 - 602128925 - Cu 1200/0.40 PIUT UA - DKIN01 c22:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,66.05028534
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,1 - 602128912 - Cu 2700/0.40 PIUT UA - DKIN01 c23:M1-2700,CR-01-01-01-01 | Cable Recovery of all sizes,66.05028534
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,1 - 602128914 - Cu 2700/0.40 PIUT UA - DKIN01 c32:M1-2700,CR-01-01-01-01 | Cable Recovery of all sizes,66.05028534
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,1 - 602128898 - Cu 1000/0.51 PIQL UA - DKIN01 c8:M1-1000,CR-01-01-01-01 | Cable Recovery of all sizes,66.05028534
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,1 - 602128915 - Cu 800/0.40 CPFUT MB - DKIN01 c9:M1-800,CR-01-01-01-01 | Cable Recovery of all sizes,66.05028534
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,1 - 602128899 - Cu 600/0.90 PIUT UA - DKIN01 c12:M1-600,CR-01-01-01-01 | Cable Recovery of all sizes,66.05028534
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,2 - 602128992 - Cu 1200/0.40 PIUT UA - DKIN01 c22:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,55.17787933
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,2 - 602128978 - Cu 800/0.40 CPFUT MB - DKIN01 c9:M1-800,CR-01-01-01-01 | Cable Recovery of all sizes,55.17787933
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,2 - 602129010 - Cu 1800/0.40 PIUT UA - DKIN01 c2:M1-1800,CR-01-01-01-01 | Cable Recovery of all sizes,55.17787933
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,3 - 602129415 - Cu 800/0.64 PIUT UA - DKIN01 c9:M1-800,CR-01-01-01-01 | Cable Recovery of all sizes,9.525481224
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,3 - 602129411 - Cu 1200/0.40 PIUT UA - DKIN01 c22:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,9.525481224
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,4 - 602129634 - Cu 800/0.64 PIUT UA - DKIN01 c9:M1-800,CR-01-01-01-01 | Cable Recovery of all sizes,25.61297607
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,4 - 602129630 - Cu 1200/0.40 PIUT UA - DKIN01 c22:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,25.61297607
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,5 - 602129672 - Cu 800/0.64 PIUT UA - DKIN01 c9:M1-800,CR-01-01-01-01 | Cable Recovery of all sizes,15.95279503
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,5 - 602129668 - Cu 1200/0.40 PIUT UA - DKIN01 c22:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,15.95279503
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,6 - 602129768 - Cu 800/0.64 PIUT UA - DKIN01 c9:M1-800,CR-01-01-01-01 | Cable Recovery of all sizes,98.70083618
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q2 - ACT2 - Deakin,6 - 602129764 - Cu 1200/0.40 PIUT UA - DKIN01 c22:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,98.70083618
