Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,1 - 13000801880 - Cu 1200/0.64 PIUT MB - FREN01 c73:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,97.3
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,2 - 13000802256 - Cu 1200/0.64 PIUT MB - FREN01 c73:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,79.7
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,3 - 13000802365 - Cu 1200/0.64 PIUT MB - FREN01 c73:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,49.7
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,4 - 13000802533 - Cu 1200/0.64 PIUT MB - FREN01 c73:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,19.8
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,5 - 13000831952 - Cu 1200/0.64 PIUT MB - FREN01 c73:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,17.9
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,6 - 13000900710 - Cu 1200/0.64 CPFUT MB - FREN01 c73:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,93
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,7 - 13000901311 - Cu 1200/0.64 PIUT MB - FREN01 c73:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,70.6
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,8 - 13000901923 - Cu 1200/0.64 PIUT MB - FREN01 c73:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,20.7
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,9 - 13000920626 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200,CR-01-01-01-01 | Cable Recovery of all sizes,97.9
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,10 - 13000920710 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200 150DEAD 400DEAD,CR-01-01-01-01 | Cable Recovery of all sizes,168.2
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,11 - 13000920791 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200 150DEAD 400DEAD,CR-01-01-01-01 | Cable Recovery of all sizes,151
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,12 - 13000921250 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200 150DEAD 400DEAD,CR-01-01-01-01 | Cable Recovery of all sizes,25
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,13 - 13000927705 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200 150DEAD 400DEAD,CR-01-01-01-01 | Cable Recovery of all sizes,196.9
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,14 - 13000927772 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200 150DEAD 400DEAD,CR-01-01-01-01 | Cable Recovery of all sizes,47.6
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,15 - 13000927835 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200 150DEAD 400DEAD,CR-01-01-01-01 | Cable Recovery of all sizes,96.5
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,16 - 13000927897 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200 150DEAD 400DEAD,CR-01-01-01-01 | Cable Recovery of all sizes,152.3
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,17 - 13000935065 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200 150DEAD 400DEAD,CR-01-01-01-01 | Cable Recovery of all sizes,129.7
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,18 - 13000935152 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200 150DEAD 400DEAD,CR-01-01-01-01 | Cable Recovery of all sizes,26.1
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,19 - 13000935228 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200 150DEAD 400DEAD,CR-01-01-01-01 | Cable Recovery of all sizes,89.1
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,20 - 13000935338 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200 150DEAD 400DEAD,CR-01-01-01-01 | Cable Recovery of all sizes,139.9
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,21 - 13000935482 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200 150DEAD 400DEAD,CR-01-01-01-01 | Cable Recovery of all sizes,156.8
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,22 - 13000935580 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200 150DEAD 400DEAD,CR-01-01-01-01 | Cable Recovery of all sizes,149.7
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,23 - 13000938180 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200,CR-01-01-01-01 | Cable Recovery of all sizes,78.8
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,24 - 15018621477 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200,CR-01-01-01-01 | Cable Recovery of all sizes,27.6
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,25 - 15018621478 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200,CR-01-01-01-01 | Cable Recovery of all sizes,34.9
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,26 - 15018621479 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200,CR-01-01-01-01 | Cable Recovery of all sizes,8.5
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,27 - 15029112742 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200 150DEAD 400DEAD,CR-01-01-01-01 | Cable Recovery of all sizes,8.5
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,28 - 15037280452 - Cu 1200/0.64 PIUT MB - FREN01 c73:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,44.6
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,29 - 15045524713 - Cu 1200/0.64 PIUT MB - FREN01 c73:M401-600 FREN01 c73:M751-1200,CR-01-01-01-01 | Cable Recovery of all sizes,161.6
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,30 - 1603594942 - Cu 1200/0.64 CPEIUT MB - FREN01 c73:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,13.3
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,31 - 13000802042 - Cu 1200/0.64 PIUT MB - FREN01 c73:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,93.5
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,32 - 13000802139 - Cu 1200/0.64 PIUT MB - FREN01 c73:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,28.3
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,33 - 13000802319 - Cu 1200/0.64 PIUT MB - FREN01 c73:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,15.9
MTA - Cable Recovery,MTA - CRDF Cable Recovery Rate Card,T2Q3 - NSW10 - Frenchs Forest,34 - 13000900943 - Cu 1200/0.64 CPEIUT MB - FREN01 c73:M1-1200,CR-01-01-01-01 | Cable Recovery of all sizes,48.7
