Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
MTA - Cable Recovery,MTA - Cable Recovery Rate Card,T2Q3 - NSW2 - Mayfield,1 - 2200646479 - Cu 1800/0.40 PIUT MB - MAYF01 c10:M1-1800,CID-01-01-01-01 | Cable Identification for Copper Cable Recovery,36.9
MTA - Cable Recovery,MTA - Cable Recovery Rate Card,T2Q3 - NSW2 - Mayfield,2 - 2200683287 - Cu 1800/0.40 PIUT MB - MAYF01 c10:M1-1800,CID-01-01-01-01 | Cable Identification for Copper Cable Recovery,10.9
MTA - Cable Recovery,MTA - Cable Recovery Rate Card,T2Q3 - NSW2 - Mayfield,3 - 2200683314 - Cu 1800/0.40 PIUT MB - MAYF01 c10:M1-1800,CID-01-01-01-01 | Cable Identification for Copper Cable Recovery,31.2
MTA - Cable Recovery,MTA - Cable Recovery Rate Card,T2Q3 - NSW2 - Mayfield,4 - 2200625202 - Cu 600/0.51 PIUT MB - MAYF01 c10:M1-600,CID-01-01-01-01 | Cable Identification for Copper Cable Recovery,48.9
MTA - Cable Recovery,MTA - Cable Recovery Rate Card,T2Q3 - NSW2 - Mayfield,4 - 2200625204 - Cu 400/0.40 PIUT MB - MAYF01 c10:M701-1000,CID-01-01-01-01 | Cable Identification for Copper Cable Recovery,48.9
MTA - Cable Recovery,MTA - Cable Recovery Rate Card,T2Q3 - NSW2 - Mayfield,5 - 2200625213 - Cu 600/0.51 PIUT MB - MAYF01 c10:M1-600,CID-01-01-01-01 | Cable Identification for Copper Cable Recovery,22.3
MTA - Cable Recovery,MTA - Cable Recovery Rate Card,T2Q3 - NSW2 - Mayfield,5 - 2200625214 - Cu 400/0.40 PIUT MB - MAYF01 c10:M701-1000,CID-01-01-01-01 | Cable Identification for Copper Cable Recovery,22.3
MTA - Cable Recovery,MTA - Cable Recovery Rate Card,T2Q3 - NSW2 - Mayfield,6 - 2200625217 - Cu 600/0.51 PIUT MB - MAYF01 c10:M1-600,CID-01-01-01-01 | Cable Identification for Copper Cable Recovery,58.9
MTA - Cable Recovery,MTA - Cable Recovery Rate Card,T2Q3 - NSW2 - Mayfield,6 - 2200625218 - Cu 400/0.40 PIUT MB - MAYF01 c10:M701-1000,CID-01-01-01-01 | Cable Identification for Copper Cable Recovery,58.9
MTA - Cable Recovery,MTA - Cable Recovery Rate Card,T2Q3 - NSW2 - Mayfield,7 - 2200625221 - Cu 600/0.51 PIUT MB - MAYF01 c10:M1-600,CID-01-01-01-01 | Cable Identification for Copper Cable Recovery,97
MTA - Cable Recovery,MTA - Cable Recovery Rate Card,T2Q3 - NSW2 - Mayfield,7 - 2200625223 - Cu 400/0.40 PIUT MB - MAYF01 c10:M701-1000,CID-01-01-01-01 | Cable Identification for Copper Cable Recovery,97
MTA - Cable Recovery,MTA - Cable Recovery Rate Card,T2Q3 - NSW2 - Mayfield,8 - 2200691820 - Cu 400/0.51 PIUT MB - MAYF01 c10:M101-500,CID-01-01-01-01 | Cable Identification for Copper Cable Recovery,14.8
MTA - Cable Recovery,MTA - Cable Recovery Rate Card,T2Q3 - NSW2 - Mayfield,9 - 2200625210 - Cu 600/0.51 PIUT MB - MAYF01 c10:M1-600,CID-01-01-01-01 | Cable Identification for Copper Cable Recovery,50.9
MTA - Cable Recovery,MTA - Cable Recovery Rate Card,T2Q3 - NSW2 - Mayfield,9 - 2200625208 - Cu 400/0.40 PIUT MB - MAYF01 c10:M701-1000,CID-01-01-01-01 | Cable Identification for Copper Cable Recovery,50.9
