Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9028,W11324 - Fibre Splicing (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9028,A11306 - Setup and Test and Commissioning of First Fibre on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9028,A11308 - Test and Commissioning of  Second & Subsequent Fibres on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9028,W11320 - Install and prepare additional optic fibre cable into existing joint up to 25-60 Fibre (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9028,W11313 - Install 2nd and subsequent Pigtail/corded fibre/patch lead (extra over to OO-6el) (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9028,W5740 - Optical fibre Terminal Unit - 25 - 60 fibre W1243 (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9029,W11324 - Fibre Splicing (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9029,A11306 - Setup and Test and Commissioning of First Fibre on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9029,A11308 - Test and Commissioning of  Second & Subsequent Fibres on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9029,W11320 - Install and prepare additional optic fibre cable into existing joint up to 25-60 Fibre (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9029,W11313 - Install 2nd and subsequent Pigtail/corded fibre/patch lead (extra over to OO-6el) (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9029,W5740 - Optical fibre Terminal Unit - 25 - 60 fibre W1243 (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9101,W11321 - Install and prepare additional optic fibre cable into existing joint up to 24 Fibre (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9101,W11324 - Fibre Splicing (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9101,A11306 - Setup and Test and Commissioning of First Fibre on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9101,A11308 - Test and Commissioning of  Second & Subsequent Fibres on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9101,W11313 - Install 2nd and subsequent Pigtail/corded fibre/patch lead (extra over to OO-6el) (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9101,W5740 - Optical fibre Terminal Unit - 25 - 60 fibre W1243 (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9102,W11321 - Install and prepare additional optic fibre cable into existing joint up to 24 Fibre (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9102,W11324 - Fibre Splicing (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9102,A11306 - Setup and Test and Commissioning of First Fibre on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9102,A11308 - Test and Commissioning of  Second & Subsequent Fibres on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9102,W11313 - Install 2nd and subsequent Pigtail/corded fibre/patch lead (extra over to OO-6el) (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9102,W5740 - Optical fibre Terminal Unit - 25 - 60 fibre W1243 (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9121,W11321 - Install and prepare additional optic fibre cable into existing joint up to 24 Fibre (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9121,W11324 - Fibre Splicing (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9121,A11306 - Setup and Test and Commissioning of First Fibre on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9121,A11308 - Test and Commissioning of  Second & Subsequent Fibres on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9121,W11313 - Install 2nd and subsequent Pigtail/corded fibre/patch lead (extra over to OO-6el) (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9121,W5740 - Optical fibre Terminal Unit - 25 - 60 fibre W1243 (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9122,W11321 - Install and prepare additional optic fibre cable into existing joint up to 24 Fibre (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9122,W11324 - Fibre Splicing (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9122,A11306 - Setup and Test and Commissioning of First Fibre on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9122,A11308 - Test and Commissioning of  Second & Subsequent Fibres on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9122,W11313 - Install 2nd and subsequent Pigtail/corded fibre/patch lead (extra over to OO-6el) (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9122,W5740 - Optical fibre Terminal Unit - 25 - 60 fibre W1243 (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9501,W11321 - Install and prepare additional optic fibre cable into existing joint up to 24 Fibre (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9501,W11324 - Fibre Splicing (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9501,A11306 - Setup and Test and Commissioning of First Fibre on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,T_572 - Fibre Terminations,SPS0-O9501,A11308 - Test and Commissioning of  Second & Subsequent Fibres on Single Run/Cable (DE),1
