Contract,Rate Card,Project Title,Job Title,Line Item Type,Qty
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCR0-O9505,W5208 - Cable hauling in rail corridor - Optical Fibre (DE),1000
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCR0-O9505,W11324 - Fibre Splicing (DE),96
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCR0-O9505,A11306 - Setup and Test and Commissioning of First Fibre on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCR0-O9505,A11308 - Test and Commissioning of  Second & Subsequent Fibres on Single Run/Cable (DE),47
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCR0-O9505,W11320 - Install and prepare additional optic fibre cable into existing joint up to 25-60 Fibre (DE),2
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCR0-O9505,W11313 - Supply Install 2nd and subsequent Pigtail/corded fibre/patch lead (extra over to OO-6el) (DE),96
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCR0-O9505,W5740 - Optical fibre Terminal Unit - 25 - 60 fibre W1243 (DE),2
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCR0-O9525,W5208 - Cable hauling in rail corridor - Optical Fibre (DE),1000
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCR0-O9525,W11324 - Fibre Splicing (DE),96
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCR0-O9525,A11306 - Setup and Test and Commissioning of First Fibre on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCR0-O9525,A11308 - Test and Commissioning of  Second & Subsequent Fibres on Single Run/Cable (DE),47
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCR0-O9525,W11320 - Install and prepare additional optic fibre cable into existing joint up to 25-60 Fibre (DE),2
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCR0-O9525,W11313 - Supply Install 2nd and subsequent Pigtail/corded fibre/patch lead (extra over to OO-6el) (DE),96
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCR0-O9525,W5740 - Optical fibre Terminal Unit - 25 - 60 fibre W1243 (DE),2
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCS0-O9505,W5208 - Cable hauling in rail corridor - Optical Fibre (DE),1400
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCS0-O9505,W11324 - Fibre Splicing (DE),96
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCS0-O9505,A11306 - Setup and Test and Commissioning of First Fibre on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCS0-O9505,A11308 - Test and Commissioning of  Second & Subsequent Fibres on Single Run/Cable (DE),47
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCS0-O9505,W11320 - Install and prepare additional optic fibre cable into existing joint up to 25-60 Fibre (DE),2
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCS0-O9505,W11313 - Supply Install 2nd and subsequent Pigtail/corded fibre/patch lead (extra over to OO-6el) (DE),96
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCS0-O9505,W5740 - Optical fibre Terminal Unit - 25 - 60 fibre W1243 (DE),2
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCS0-O9525,W5208 - Cable hauling in rail corridor - Optical Fibre (DE),1400
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCS0-O9525,W11324 - Fibre Splicing (DE),96
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCS0-O9525,A11306 - Setup and Test and Commissioning of First Fibre on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCS0-O9525,A11308 - Test and Commissioning of  Second & Subsequent Fibres on Single Run/Cable (DE),47
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCS0-O9525,W11320 - Install and prepare additional optic fibre cable into existing joint up to 25-60 Fibre (DE),2
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCS0-O9525,W11313 - Supply Install 2nd and subsequent Pigtail/corded fibre/patch lead (extra over to OO-6el) (DE),96
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TCS0-O9525,W5740 - Optical fibre Terminal Unit - 25 - 60 fibre W1243 (DE),2
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TLS0-O9505,W5208 - Cable hauling in rail corridor - Optical Fibre (DE),900
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TLS0-O9505,W11324 - Fibre Splicing (DE),96
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TLS0-O9505,A11306 - Setup and Test and Commissioning of First Fibre on Single Run/Cable (DE),1
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TLS0-O9505,A11308 - Test and Commissioning of  Second & Subsequent Fibres on Single Run/Cable (DE),47
System Connect - Rail Works,Systems Connect - Rail Works Rate Card,Sydneyham to Bankstown - Rail Corridor Works,TLS0-O9505,W11320 - Install and prepare additional optic fibre cable into existing joint up to 25-60 Fibre (DE),2
