Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account,
Decon,Decon - MWA,CB-02-01-01A,"Installation only of an external small port Node Cabinet (Civils, Transport & Land cabinet)",Per external Node Cabinet," $	1,900.00 ","Installation only of an external small port Node Cabinet (Civils, Transport & Land cabinet)",45402,
Decon,Decon - MWA,CB-02-01-02A,"Installation only of an external medium port Node Cabinet (Civils, Transport & Land cabinet)",Per external Node Cabinet," $	3,400.00 ","Installation only of an external medium port Node Cabinet (Civils, Transport & Land cabinet)",45402,
Decon,Decon - MWA,CB-02-01-03A,"Installation only of an external large port Node cabinet (Civils, Transport & Land cabinet)",Per external Node Cabinet," $	3,600.00 ","Installation only of an external large port Node cabinet (Civils, Transport & Land cabinet)",45402,
Decon,Decon - MWA,CI-01-01-01,Pipe Proving in existing duct,Per linear metre, $	1.60 ,Pipe Proving in existing duct,45402,
Decon,Decon - MWA,CI-01-02-01,Pipe Proving in existing riser on a pole or in existing riser on the external face of a building,Per riser, $	9.25 ,Pipe Proving in existing riser on a pole or in existing riser on the external face of a building,45402,
Decon,Decon - MWA,CI-02-01-01,Installation of a cable sheath greater than 144 fibre in underground duct by any means,Per linear metre, $	2.80 ,Installation of a cable sheath greater than 144 fibre in underground duct by any means,45402,
Decon,Decon - MWA,CI-02-01-02,Installation of a cable sheath greater than 12 fibre and up to and including 144 fibre in underground duct by any means,Per linear metre, $	2.50 ,Installation of a cable sheath greater than 12 fibre and up to and including 144 fibre in underground duct by any means,45402,
Decon,Decon - MWA,CI-02-01-03,Installation of 12 fibre fibre cable sheath in underground duct by any means,Per linear metre, $	2.00 ,Installation of 12 fibre fibre cable sheath in underground duct by any means,45402,
Decon,Decon - MWA,CI-02-01-04,Installation of single fibre cable sheath in underground duct by any means,Per linear metre, $	2.00 ,Installation of single fibre cable sheath in underground duct by any means,45402,
Decon,Decon - MWA,CI-02-01-05,Installation of a cable sheath in existing riser on a pole or in existing riser on the external face of a building,Per cable sheath, $	39.00 ,Installation of a cable sheath in existing riser on a pole or in existing riser on the external face of a building,45402,
Decon,Decon - MWA,CI-02-02-01,Installation of copper cable of up to including 100 pair in underground duct,Per linear metre, $	3.05 ,Installation of copper cable of up to including 100 pair in underground duct,45402,
Decon,Decon - MWA,CI-02-02-02,Installation of copper cable of greater than 100 pair in underground duct,Per linear metre, $	3.50 ,Installation of copper cable of greater than 100 pair in underground duct,45402,
Decon,Decon - MWA,CI-02-03-01,Installation of hardline in underground duct by any means,Per linear metre, $	3.25 ,Installation of hardline in underground duct by any means,45402,
Decon,Decon - MWA,CI-02-03-02,Installation of hardline in an existing riser on a pole or in an existing riser on the external face of a building,Per linear metre, $	3.25 ,Installation of hardline in an existing riser on a pole or in an existing riser on the external face of a building,45402,
Decon,Decon - MWA,CI-03-01-01,Installation of cable sheath and all NBN Co infrastructure on timber poles in the communications corridor,Per Span, $	324.00 ,Installation of cable sheath and all NBN Co infrastructure on timber poles in the communications corridor,45402,
Decon,Decon - MWA,CI-03-01-03,Installation of cable sheath and all NBN Co infrastructure on concrete or steel poles in the communications corridor,Per Span, $	324.00 ,Installation of cable sheath and all NBN Co infrastructure on concrete or steel poles in the communications corridor,45402,
Decon,Decon - MWA,CI-03-01-04,Installation of cable sheath and all NBN Co infrastructure on timber poles in the power corridor,Per Span, $	649.00 ,Installation of cable sheath and all NBN Co infrastructure on timber poles in the power corridor,45402,
Decon,Decon - MWA,CI-03-01-06,Installation of cable sheath and all NBN Co infrastructure on concrete or steel poles in the power corridor,Per Span, $	649.00 ,Installation of cable sheath and all NBN Co infrastructure on concrete or steel poles in the power corridor,45402,
Decon,Decon - MWA,CI-03-02-01,Installation of copper cable sheath and all NBN Co infrastructure on timber poles in the communications corridor up to 100 pair,Per Span, $	324.00 ,Installation of copper cable sheath and all NBN Co infrastructure on timber poles in the communications corridor up to 100 pair,45402,
Decon,Decon - MWA,CI-03-02-02,Installation of copper cable sheath and all NBN Co infrastructure on stobie poles in the communications corridor up to 100 pair,Per Span, $	324.00 ,Installation of copper cable sheath and all NBN Co infrastructure on stobie poles in the communications corridor up to 100 pair,45402,
Decon,Decon - MWA,CI-03-02-03,Installation of copper cable sheath and all NBN Co infrastructure on concrete or steel poles in the communications corridor up to 100 pair,Per Span, $	324.00 ,Installation of copper cable sheath and all NBN Co infrastructure on concrete or steel poles in the communications corridor up to 100 pair,45402,
Decon,Decon - MWA,CI-03-03-01,Installation of hardline on all pole types,Per Coaxial Cable Span, $	165.00 ,Installation of hardline on all pole types,45402,
Decon,Decon - MWA,CI-03-03-02,Installation of a catenary wire only on timber poles,Per Coaxial Cable Span, $	240.00 ,Installation of a catenary wire only on timber poles,45402,
Decon,Decon - MWA,CI-03-03-03,Installation of a catenary wire only on stobie poles,Per Coaxial Cable Span, $	312.00 ,Installation of a catenary wire only on stobie poles,45402,
Decon,Decon - MWA,CI-03-03-04,Installation of a catenary wire only on concrete or steel poles,Per Coaxial Cable Span, $	312.00 ,Installation of a catenary wire only on concrete or steel poles,45402,
Decon,Decon - MWA,CI-03-03-05,Re-lashing of existing hardline to existing catenary wire,Per Coaxial Cable Span, $	137.00 ,Re-lashing of existing hardline to existing catenary wire,45402,
Decon,Decon - MWA,CI-05-01-01,Removal and disposal of cable in distribution aerial Network,Per Span, $	195.00 ,Removal and disposal of cable in distribution aerial Network,45402,
Decon,Decon - MWA,CI-05-01-02,Removal and disposal of cable in local aerial Network,Per Span, $	165.00 ,Removal and disposal of cable in local aerial Network,45402,
Decon,Decon - MWA,CI-05-01-03,Removal and disposal of catenary wire in aerial Network,Per Span, $	210.00 ,Removal and disposal of catenary wire in aerial Network,45402,
Decon,Decon - MWA,CI-05-01-04,Removal and disposal of cable in distribution underground Network,Per metre, $	1.85 ,Removal and disposal of cable in distribution underground Network,45402,
Decon,Decon - MWA,CI-05-01-05,Removal and disposal of cable in local underground Network,Per metre, $	1.50 ,Removal and disposal of cable in local underground Network,45402,
Decon,Decon - MWA,CI-05-01-06,Removal and disposal of cable in buildings,Per metre, $	3.00 ,Removal and disposal of cable in buildings,45402,
Decon,Decon - MWA,CI-05-01-10,Removal and disposal of aerial lead in cables,Per lead in, $	102.90 ,Removal and disposal of aerial lead in cables,45402,
Decon,Decon - MWA,CI-05-01-11,Relocation of aerial lead in cables,Per lead in, $	189.00 ,Relocation of aerial lead in cables,45402,
Decon,Decon - MWA,CI-05-01-12,Disconnect and re-connect of aerial lead in cables,Per lead in, $	86.10 ,Disconnect and re-connect of aerial lead in cables,45402,
Decon,Decon - MWA,CI-05-01-15,Removal and disposal of underground lead in cables,Per lead in, $	69.30 ,Removal and disposal of underground lead in cables,45402,
Decon,Decon - MWA,CP-01-01-01,Install new 900 type CCU - Plinth setup and supply / install of 2 x 45 degree 150mm  bends as per spec. Placement of CCU onto plinth,Per new 900 type CCU, $	600.00 ,Install new 900 type CCU - Plinth setup and supply / install of 2 x 45 degree 150mm  bends as per spec. Placement of CCU onto plinth,45402,
Decon,Decon - MWA,CP-01-01-02,Install new 1800 type CCU - Plinth setup and supply / install of 2 x 45 degree 150mm  bends as per spec. Placement of CCU onto plinth,Per new 1800 type CCU, $	600.00 ,Install new 1800 type CCU - Plinth setup and supply / install of 2 x 45 degree 150mm  bends as per spec. Placement of CCU onto plinth,45402,
Decon,Decon - MWA,CP-01-01-03A,"Installation of 10 cable pair bundles between two copper cable insulation displacement modules (Connection Modules), including the termination of the
bundle on each Connection Module (at BOTH Node end and CCU end).",Per 10 cable pair bundle, $	45.00 ,"Installation of 10 cable pair bundles between two copper cable insulation displacement modules (Connection Modules), including the termination of the
bundle on each Connection Module (at BOTH Node end and CCU end).",45402,
Decon,Decon - MWA,CP-01-01-03B,"Installation of 10 cable pair bundles between two copper cable insulation displacement modules (Connection Modules), termination of the bundle at Node end only, for example at retrofit pillar.",Per 10 cable pair bundle, $	27.50 ,"Installation of 10 cable pair bundles between two copper cable insulation displacement modules (Connection Modules), termination of the bundle at Node end only, for example at retrofit pillar.",45402,
Decon,Decon - MWA,CP-01-01-04,"Cutting over existing services from an existing Connection Module to a new
Connection Module",Per 10 cable pairs, $	59.40 ,"Cutting over existing services from an existing Connection Module to a new
Connection Module",45402,
Decon,Decon - MWA,CP-01-02-01,Upgrading of an existing CCU from 900 type to 1800 type,"Per CCU required to be upgraded
from 900 type to 1800 type", $	74.19 ,Upgrading of an existing CCU from 900 type to 1800 type,45402,
Decon,Decon - MWA,CP-01-02-02,Augmentation of an existing 900 type CCU (Pillar Expansion Option 1),Per Expansion CCU, $	620.00 ,Augmentation of an existing 900 type CCU (Pillar Expansion Option 1),45402,
Decon,Decon - MWA,CP-01-02-03,Augmentation of an existing 900 type CCU (Pillar Expansion Option 2),Per Expansion CCU, $	400.00 ,Augmentation of an existing 900 type CCU (Pillar Expansion Option 2),45402,
Decon,Decon - MWA,CP-01-02-03A,CIVIL augmentation of an existing 900 type CCU (Pillar Expansion Option 2 retrofit),Per Expansion CCU, $	600.00 ,CIVIL augmentation of an existing 900 type CCU (Pillar Expansion Option 2 retrofit),45402,
Decon,Decon - MWA,CP-01-03-01,Removal of an existing CCU and return to Decon depot,Per existing CCU, $	122.30 ,Removal of an existing CCU and return to Decon depot,45402,
Decon,Decon - MWA,CP-01-04-01,Replacement of Pillar Lid Lock or Pillar Cap,Per existing CCU, $	8.00 ,Replacement of Pillar Lid Lock or Pillar Cap,45402,
Decon,Decon - MWA,CP-01-04-02,Installation of 2-piece Pillar Base Repair Kit,Per existing CCU, $	35.00 ,Installation of 2-piece Pillar Base Repair Kit,45402,
Decon,Decon - MWA,CP-01-04-03,Replace Cover Lightweight (1800 Type),Per existing CCU, $	16.00 ,Replace Cover Lightweight (1800 Type),45402,
Decon,Decon - MWA,CP-01-04-04,Replacement of copper cable insulation displacement connection module (Connection Module) and termination of cable,Per existing module, $	52.00 ,Replacement of copper cable insulation displacement connection module (Connection Module) and termination of cable,45402,
Decon,Decon - MWA,CP-02-01-01,Installation of a new Distribution extra large copper joint,"Per new Distribution extra large
copper joint", $	750.00 ,Installation of a new Distribution extra large copper joint,45402,
Decon,Decon - MWA,CP-02-01-02,Installation of a new Distribution large copper joint,"Per new Distribution large copper
joint", $	480.00 ,Installation of a new Distribution large copper joint,45402,
Decon,Decon - MWA,CP-02-01-03,Installation of a new Distribution small copper joint,"Per new Distribution small copper
joint", $	280.00 ,Installation of a new Distribution small copper joint,45402,
Decon,Decon - MWA,CP-02-01-04,Installation of a new Main Cable small copper joint,"Per new Main Cable small copper
joint", $	750.00 ,Installation of a new Main Cable small copper joint,45402,
Decon,Decon - MWA,CP-02-01-05,Installation of a new Main Cable medium copper joint,"Per new Main Cable medium
Copper joint"," $	1,170.00 ",Installation of a new Main Cable medium copper joint,45402,
Decon,Decon - MWA,CP-02-01-06,"Installation of a new Main Cable large copper joint enclosure
- plus Cable rearrangement - must be full multiples of 200 pairs","Per new Main Cable large Copper
joint enclosure"," $	1,350.00 ","Installation of a new Main Cable large copper joint enclosure
- plus Cable rearrangement - must be full multiples of 200 pairs",45402,
Decon,Decon - MWA,CP-02-01-07,"Installation of a new Main Cable extra large copper joint enclosure
- plus Cable rearrangement - must be full multiples of 200 pairs","Per new Main Cable extra large
Copper joint enclosure"," $	1,530.00 ","Installation of a new Main Cable extra large copper joint enclosure
- plus Cable rearrangement - must be full multiples of 200 pairs",45402,
Decon,Decon - MWA,CP-02-01-08,Installation of a new aerial large copper joint,"Per new Distribution large copper
joint", $	690.00 ,Installation of a new aerial large copper joint,45402,
Decon,Decon - MWA,CP-02-01-09,Installation of a new aerial small copper joint,"Per new Distribution small copper
joint", $	430.00 ,Installation of a new aerial small copper joint,45402,
Decon,Decon - MWA,CP-02-02-01,Rehabilitate existing Distribution extra large or large openable copper joint,Per large openable copper joint, $	300.00 ,Rehabilitate existing Distribution extra large or large openable copper joint,45402,
Decon,Decon - MWA,CP-02-02-02,Rehabilitate existing Distribution medium or small openable copper joint,Per small openable copper joint, $	180.00 ,Rehabilitate existing Distribution medium or small openable copper joint,45402,
Decon,Decon - MWA,CP-02-02-03,"Replacement of existing Distribution in-line copper joint with a new in-line large
copper joint",Per existing copper joint replaced, $	246.24 ,"Replacement of existing Distribution in-line copper joint with a new in-line large
copper joint",45402,
Decon,Decon - MWA,CP-02-02-04,"Replacement of existing Distribution in-line copper joint with a new in-line small
copper joint",Per existing copper joint replaced, $	148.38 ,"Replacement of existing Distribution in-line copper joint with a new in-line small
copper joint",45402,
Decon,Decon - MWA,CP-02-02-05,Cutting over existing services from an existing copper joint to a new large,Per existing copper joint replaced, $	445.14 ,Cutting over existing services from an existing copper joint to a new large,45402,
Decon,Decon - MWA,CP-02-02-06,Cutting over existing services from an existing copper joint to a new small,Per existing copper joint replaced, $	296.76 ,Cutting over existing services from an existing copper joint to a new small,45402,
Decon,Decon - MWA,CP-02-02-07,Rehabilitate existing aerial extra large or large copper joint,Per existing copper joint replaced, $	503.00 ,Rehabilitate existing aerial extra large or large copper joint,45402,
Decon,Decon - MWA,CP-02-02-08,Rehabilitate existing aerial medium or small copper joint,Per existing copper joint replaced, $	378.00 ,Rehabilitate existing aerial medium or small copper joint,45402,
Decon,Decon - MWA,CP-02-02-09,Rehabilitate existing elevated copper joint,Per existing copper joint replaced, $	195.00 ,Rehabilitate existing elevated copper joint,45402,
Decon,Decon - MWA,CP-02-02-20,Joint a working cable pair into an existing joint up to and including a 10 pair,Per existing copper joint, $	60.00 ,Joint a working cable pair into an existing joint up to and including a 10 pair,45402,
