Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM), Rate ,Item Description,Xero Account,
Downer,Downer - MWA,99-00-00-04,Third Party Requirement - Quote,Quote, $-   ,Third Party Requirement - Quote,45210,
Downer,Downer - MWA,99-00-00-10,Clean out of an asbestos single lid pit ,Per Clean Out, $40.00 ,Clean out of an asbestos single lid pit ,45210,
Downer,Downer - MWA,99-00-00-12,Clean out of an asbestos double lid pit ,Per Clean Out, $50.00 ,Clean out of an asbestos double lid pit ,45210,
Downer,Downer - MWA,99-00-00-13,Clean out of an asbestos triple lid pit ,Per Clean Out, $60.00 ,Clean out of an asbestos triple lid pit ,45210,
Downer,Downer - MWA,99-00-00-14,ACM - Drilling into Asbestos wall or pit (includes transportation and disposal at Approved ACM Location),Each, $158.95 ,ACM - Drilling into Asbestos wall or pit (includes transportation and disposal at Approved ACM Location),45210,
Downer,Downer - MWA,99-00-00-14X,Extra Over ACM - Drilling into Asbestos wall or pit (includes transportation and disposal at Approved ACM Location) at the same pit / location,Each, $40.00 ,Extra Over ACM - Drilling into Asbestos wall or pit (includes transportation and disposal at Approved ACM Location) at the same pit / location,45210,
Downer,Downer - MWA,99-00-00-15,ACM - Breakout existing asbestos pipe (includes transportation and disposal at Approved ACM Location),Per Linear Metre, $204.08 ,ACM - Breakout existing asbestos pipe (includes transportation and disposal at Approved ACM Location),45210,
Downer,Downer - MWA,CB-01-01-01,Installation of an external FDH Cabinet ,Per FDH Cabinet," $1,825.00 ",Installation of an external FDH Cabinet ,45210,
Downer,Downer - MWA,CB-02-02-01,Installation of service jumpering in a FTTN/FTTB Node Cabinet,Per 48 Port Line Card, $178.36 ,Installation of service jumpering in a FTTN/FTTB Node Cabinet,45210,
Downer,Downer - MWA,CB-02-02-02,Cable layup within CJL for external small port CSD node,Per CJL, $120.13 ,Cable layup within CJL for external small port CSD node,45210,
Downer,Downer - MWA,CB-03-01-01,Installation of an internal small FTTB Cabinet,Per FTTB Cabinet," $1,600.00 ",Installation of an internal small FTTB Cabinet,45210,
Downer,Downer - MWA,CB-03-01-02,Installation of an internal medium FTTB Cabinet,Per FTTB Cabinet," $3,300.00 ",Installation of an internal medium FTTB Cabinet,45210,
Downer,Downer - MWA,CB-03-01-03,Installation of an internal large FTTB Cabinet (greater than 192 up to 384 port),Per FTTB Cabinet," $4,500.00 ",Installation of an internal large FTTB Cabinet (greater than 192 up to 384 port),45210,
Downer,Downer - MWA,CB-03-02-01,Supply and install new service earth bar,Per service earth bar, $85.00 ,Supply and install new service earth bar,45210,
Downer,Downer - MWA,CB-03-02-02,Supply and install new service earth stake,Per service earth stake, $200.00 ,Supply and install new service earth stake,45210,
Downer,Downer - MWA,CB-03-02-03,Install a 10 pair MDF terminal block,Per 10 pair MDF terminal block, $25.35 ,Install a 10 pair MDF terminal block,45210,
Downer,Downer - MWA,CB-03-02-04,Install a 100 pair MDF terminal frame,Per 100 pair MDF terminal frame, $115.56 ,Install a 100 pair MDF terminal frame,45210,
Downer,Downer - MWA,CB-04-01-01,Removal and disposal of a cabinet,Per Cabinet, $650.00 ,Removal and disposal of a cabinet,45210,
Downer,Downer - MWA,CB-04-01-02,Repair of a cabinet panel,Per Cabinet, $60.23 ,Repair of a cabinet panel,45210,
Downer,Downer - MWA,CB-04-01-03,Removal of graffiti from a cabinet,Per Cabinet, $69.56 ,Removal of graffiti from a cabinet,45210,
Downer,Downer - MWA,CB-04-01-04,Replacement of a cabinet lock,Per Cabinet, $44.25 ,Replacement of a cabinet lock,45210,
Downer,Downer - MWA,CC-01-01-01,"Installation, commissioning and integration of a Enterprise Ethernet B-NTD in a wall mounted environment",Per device, $141.70 ,"Installation, commissioning and integration of a Enterprise Ethernet B-NTD in a wall mounted environment",45210,
