Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account
Downer,Downer - ODM,CW-01-01-01B,Supply and install underground pipe with an internal diameter of more than 25mm and equal to or less than 50mm by Boring / Drilling in other than Rock,Per linear metre," $	55.81",,45214
Downer,Downer - ODM,CW-01-01-01P,Supply and install underground pipe with an internal diameter of more than 25mm and equal to or less than 50mm by use of Grundomat (or similar) in other than Rock,Per linear metre," $	55.81",,45214
Downer,Downer - ODM,CW-01-01-01T,Supply and install underground pipe with an internal diameter of more than 25mm and equal to or less than 50mm by Trenching in other than Rock,Per linear metre," $	31.83",,45214
Downer,Downer - ODM,CW-01-01-K2K,Kerb to Kerb Extra Over Rate,Per linear metre," $	105",,45214
Downer,Downer - ODM,CW-01-01-02B,Supply and install underground pipe with an internal diameter of greater than 50mm by Boring / Drilling in other than Rock,Per linear metre," $	69.5",,45214
Downer,Downer - ODM,CW-01-01-02P,Supply and install underground pipe with an internal diameter of greater than 50mm by any means in other than Rock by use of Grundomat (or similar) in other than Rock,Per linear metre," $	69.5",,45214
Downer,Downer - ODM,CW-01-01-02T,Supply and install underground pipe with an internal diameter of greater than 50mm by Trenching in other than Rock,Per linear metre," $	36.78",,45214
Downer,Downer - ODM,CW-01-01-03T01,Extra over for supply and install an additional underground pipe in an existing trench with an with an internal diameter of more than 25mm and equal to or less than 50mm,Per linear metre," $	10",,45214
Downer,Downer - ODM,CW-01-01-03T02,Extra over for supply and install an additional underground pipe in an existing trench with an internal diameter of greater than 50mm,Per linear metre," $	12",,45214
Downer,Downer - ODM,CW-01-01-04B01,Extra over for supply and install an additional underground pipe by boring technique with an with an internal diameter of more than 25mm and equal to or less than 50mm,Per linear metre," $	18",,45214
Downer,Downer - ODM,CW-01-01-04B02,Extra over for supply and install an additional underground pipe by boring technique with an internal diameter of greater than 50mm,Per linear metre," $	22",,45214
Downer,Downer - ODM,CW-01-01-05,Supply and install riser on pole or building,Per riser," $	167",,45214
Downer,Downer - ODM,CW-01-02-01T01,Extra Over Rate for the supply and install of upto and including 50mm pipe in Rock using Trenching methods,Per linear metre," $	105",,45214
Downer,Downer - ODM,CW-01-02-01T02,Extra Over Rate for the supply and install of upto and including 100mm pipe in Rock using Trenching methods,Per linear metre," $	110",,45214
