Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account
FNE Communications,FNE - Copper Cable Recovery,CR-01-01-01-01,Cable Recovery of all sizes,Per Metre, $	5.60 ,Cable Recovery of all sizes including the identification and Delinking,45471
FNE Communications,FNE - Copper Cable Recovery,BB-8b3,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,CC-13f1,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,CC-13f2,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,CC-19b1,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,CC-6b1,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,CC-7f13,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,CC-7f14,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,CC-7f5,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,CC-7f6,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,CC-7f7,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,CC-7f8,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,CC-7f8,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,CC-7f9,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,CC-8l,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,DD-2a,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,DD-5a1,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,DD-5a2,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,DD-7a1,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,DD-7c1,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,DD-7f1,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,GG-4d1,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,GG-4d2,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,GG-5d1,TBC,Per Unit,,TBC,45471
FNE Communications,FNE - Copper Cable Recovery,GG-5d2,TBC,Per Unit,,TBC,45471
