Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-01-01,Fibre termination/splice - 12C SMOF,CABLE END, $	450.00 ,,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-01-02,Fibre termination/splice - 24C SMOF,CABLE END, $	800.00 ,,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-01-03,Fibre termination/splice - 96C SMOF,CABLE END," $	3,180.00 ",,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-01-04,Fibre termination/splice - 144C SMOF,CABLE END," $	4,720.00 ",,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-01-05,Fibre termination/splice - 216C SMOF,CABLE END," $	6,930.00 ",,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-01-06,Fibre termination/splice - split 2 tubes - 96C SMOF,CABLE END," $	1,020.00 ",,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-01-07,Fibre termination/splice - split 3 tubes - 96C SMOF,CABLE END," $	1,380.00 ",,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-01-08,Fibre termination/splice - split 2 tubes - 144C SMOF,CABLE END," $	1,120.00 ",,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-01-09,Fibre termination/splice - split 3 tubes - 144C SMOF,CABLE END," $	1,480.00 ",,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-01-10,Fibre termination/splice - split 5 tubes - 144C SMOF,CABLE END," $	1,720.00 ",,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-01-11,Fibre termination/splice - split 11 tubes - 144C SMOF,CABLE END," $	4,720.00 ",,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-01-12,Fibre termination/splice - split 1 tube - 216C SMOF,CABLE END," $	1,170.00 ",,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-01-13,Fibre termination/splice - split 2 tubes - 216C SMOF,CABLE END," $	1,530.00 ",,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-01-14,Fibre termination/splice - split 5 tubes - 216C SMOF,CABLE END," $	1,770.00 ",,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-02-01,Fibre optic cable testing - OTDR + LSPM - 12C SMOF,CABLE RUN, $	420.00 ,,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-02-02,Fibre optic cable testing - OTDR + LSPM - 24C SMOF,CABLE RUN, $	840.00 ,,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-02-03,Fibre optic cable testing - OTDR + LSPM - 96C SMOF,CABLE RUN," $	3,360.00 ",,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-02-04,Fibre optic cable testing - OTDR + LSPM - 144C SMOF,CABLE RUN," $	5,040.00 ",,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-02-05,Fibre optic cable testing - OTDR + LSPM - 216C SMOF,CABLE RUN," $	7,560.00 ",,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-03-01,Supervisor,HOUR, $	80.00 ,,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-03-02,Fibre Technician,HOUR, $	70.00 ,,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-03-03,Technician ,HOUR, $	60.00 ,,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-03-04,Electrician,HOUR, $	50.00 ,,45142,
Global Network Solutions Pty Ltd,GNS - WSA,GN-01-03-05,Trade Assistant,HOUR, $	40.00 ,,45142,
