Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account

Lend Lease,Lend Lease - N2P (QLD),N2-01-01-01/01-01,Field Scoping - LOC Validation,Per LOC ID," $	8.00 ",Field Scoping - LOC Validation,45403

Lend Lease,Lend Lease - N2P (QLD),N2-01-01-01/02-01,Field Scoping - Pit Inspection,Per Pit," $	5.00 ",Field Scoping - Pit Inspection,45403

Lend Lease,Lend Lease - N2P (QLD),N2-01-01-01/06-01,Expose buried pit. - 150mm Depth,Per Pit," $	80.00 ",Expose buried pit. - 150mm Depth,45403

Lend Lease,Lend Lease - N2P (QLD),N2-01-01-01/07-01,Clean out Pit full of dirt where ducts are inaccessible  to complete pipe proving. - 150mm Depth,Per Pit," $	40.00 ",Clean out Pit full of dirt where ducts are inaccessible  to complete pipe proving. - 150mm Depth,45403

Lend Lease,Lend Lease - N2P (QLD),CW-01-01-03/01-01,"Extra over for supply and install an additional underground pipe in an existing trench with an internal diameter of greater than 25mm",Per linear metre," $	10.00 ","Extra over for supply and install an additional underground pipe in an existing trench with an internal diameter of greater than 25mm",45403

Lend Lease,Lend Lease - N2P (QLD),CW-01-01-04/01-01,"Extra over for supply and install an additional underground pipe by boring technique with an internal diameter of greater than 25mm",Per linear metre," $	38.00 ","Extra over for supply and install an additional underground pipe by boring technique with an internal diameter of greater than 25mm",45403

Lend Lease,Lend Lease - N2P (QLD),CW-01-01-05/01-01,Supply and install riser on pole or building,Per riser," $	140.00 ",Supply and install riser on pole or building,45403

Lend Lease,Lend Lease - N2P (QLD),CW-01-01-20/01-01,Supply and install underground pipe with an internal diameter of more than 25mm and equal to or less than 50mm all-inclusive by any means in other than Rock (Trenching),Per linear metre," $	38.00 ",Supply and install underground pipe with an internal diameter of more than 25mm and equal to or less than 50mm all-inclusive by any means in other than Rock (Trenching),45403

Lend Lease,Lend Lease - N2P (QLD),CW-01-01-20/01-02,Supply and install underground pipe with an internal diameter of more than 25mm and equal to or less than 50mm all-inclusive by any means in other than Rock (Boring),Per linear metre," $	55.00 ",Supply and install underground pipe with an internal diameter of more than 25mm and equal to or less than 50mm all-inclusive by any means in other than Rock (Boring),45403

Lend Lease,Lend Lease - N2P (QLD),CW-01-01-20/01-03,Supply and install underground pipe with an internal diameter of more than 25mm and equal to or less than 50mm all-inclusive by any means in other than Rock (NDD),Per linear metre," $	60.00 ",Supply and install underground pipe with an internal diameter of more than 25mm and equal to or less than 50mm all-inclusive by any means in other than Rock (NDD),45403

Lend Lease,Lend Lease - N2P (QLD),CW-01-01-21/01-01,Supply and install underground pipe with an internal diameter of greater than 50mm all- inclusive by any means in other than Rock (Trenching),Per linear metre," $	45.00 ",Supply and install underground pipe with an internal diameter of greater than 50mm all- inclusive by any means in other than Rock (Trenching),45403

